instanceID	dataIDs	label_set	non_label
pair_0_(2 Corinthians 5:17)	583_(2 Corinthians 5:17),597_(2 Corinthians 5:17)	1,2,3,4	-
pair_1_(2 Corinthians 5:17)	597_(2 Corinthians 5:17),597_(2 Corinthians 5:17)	1,2,3,4	-
pair_2_(2 Corinthians 5:17)	573_(2 Corinthians 5:17),588_(2 Corinthians 5:17)	1,2,3,4	-
pair_3_(2 Corinthians 5:17)	577_(2 Corinthians 5:17),583_(2 Corinthians 5:17)	1,2,3,4	-
pair_4_(2 Corinthians 5:17)	584_(2 Corinthians 5:17),593_(2 Corinthians 5:17)	1,2,3,4	-
pair_5_(2 Corinthians 5:17)	576_(2 Corinthians 5:17),600_(2 Corinthians 5:17)	1,2,3,4	-
pair_6_(2 Corinthians 5:17)	587_(2 Corinthians 5:17),589_(2 Corinthians 5:17)	1,2,3,4	-
pair_7_(2 Corinthians 5:17)	578_(2 Corinthians 5:17),586_(2 Corinthians 5:17)	1,2,3,4	-
pair_8_(2 Corinthians 5:17)	587_(2 Corinthians 5:17),587_(2 Corinthians 5:17)	1,2,3,4	-
pair_9_(2 Corinthians 5:17)	583_(2 Corinthians 5:17),602_(2 Corinthians 5:17)	1,2,3,4	-
pair_10_(2 Corinthians 5:17)	577_(2 Corinthians 5:17),580_(2 Corinthians 5:17)	1,2,3,4	-
pair_11_(2 Corinthians 5:17)	576_(2 Corinthians 5:17),586_(2 Corinthians 5:17)	1,2,3,4	-
pair_12_(2 Corinthians 5:17)	576_(2 Corinthians 5:17),584_(2 Corinthians 5:17)	1,2,3,4	-
pair_13_(2 Corinthians 5:17)	583_(2 Corinthians 5:17),589_(2 Corinthians 5:17)	1,2,3,4	-
pair_14_(2 Corinthians 5:17)	594_(2 Corinthians 5:17),601_(2 Corinthians 5:17)	1,2,3,4	-
pair_15_(2 Corinthians 5:17)	576_(2 Corinthians 5:17),596_(2 Corinthians 5:17)	1,2,3,4	-
pair_16_(2 Corinthians 5:17)	586_(2 Corinthians 5:17),598_(2 Corinthians 5:17)	1,2,3,4	-
pair_17_(2 Corinthians 5:17)	590_(2 Corinthians 5:17),592_(2 Corinthians 5:17)	1,2,3,4	-
pair_18_(2 Corinthians 5:17)	581_(2 Corinthians 5:17),586_(2 Corinthians 5:17)	1,2,3,4	-
pair_19_(2 Corinthians 5:17)	577_(2 Corinthians 5:17),601_(2 Corinthians 5:17)	1,2,3,4	-
pair_20_(2 Corinthians 5:17)	578_(2 Corinthians 5:17),594_(2 Corinthians 5:17)	1,2,3,4	-
pair_21_(2 Corinthians 5:17)	579_(2 Corinthians 5:17),593_(2 Corinthians 5:17)	1,2,3,4	-
pair_22_(2 Corinthians 5:17)	574_(2 Corinthians 5:17),582_(2 Corinthians 5:17)	1,2,3,4	-
pair_23_(2 Corinthians 5:17)	594_(2 Corinthians 5:17),599_(2 Corinthians 5:17)	1,2,3,4	-
pair_24_(2 Corinthians 5:17)	573_(2 Corinthians 5:17),594_(2 Corinthians 5:17)	1,2,3,4	-
pair_25_(2 Corinthians 5:17)	577_(2 Corinthians 5:17),599_(2 Corinthians 5:17)	1,2,3,4	-
pair_26_(2 Corinthians 5:17)	588_(2 Corinthians 5:17),597_(2 Corinthians 5:17)	1,2,3,4	-
pair_27_(2 Corinthians 5:17)	586_(2 Corinthians 5:17),587_(2 Corinthians 5:17)	1,2,3,4	-
pair_28_(2 Corinthians 5:17)	583_(2 Corinthians 5:17),588_(2 Corinthians 5:17)	1,2,3,4	-
pair_29_(2 Corinthians 5:17)	586_(2 Corinthians 5:17),591_(2 Corinthians 5:17)	1,2,3,4	-
pair_30_(2 Corinthians 5:17)	592_(2 Corinthians 5:17),597_(2 Corinthians 5:17)	1,2,3,4	-
pair_31_(2 Corinthians 5:17)	578_(2 Corinthians 5:17),601_(2 Corinthians 5:17)	1,2,3,4	-
pair_32_(2 Corinthians 5:17)	584_(2 Corinthians 5:17),596_(2 Corinthians 5:17)	1,2,3,4	-
pair_33_(2 Corinthians 5:17)	583_(2 Corinthians 5:17),596_(2 Corinthians 5:17)	1,2,3,4	-
pair_34_(2 Corinthians 5:17)	593_(2 Corinthians 5:17),599_(2 Corinthians 5:17)	1,2,3,4	-
pair_35_(2 Corinthians 5:17)	595_(2 Corinthians 5:17),602_(2 Corinthians 5:17)	1,2,3,4	-
pair_36_(2 Corinthians 5:17)	581_(2 Corinthians 5:17),585_(2 Corinthians 5:17)	1,2,3,4	-
pair_37_(2 Corinthians 5:17)	573_(2 Corinthians 5:17),573_(2 Corinthians 5:17)	1,2,3,4	-
pair_38_(2 Corinthians 5:17)	584_(2 Corinthians 5:17),587_(2 Corinthians 5:17)	1,2,3,4	-
pair_39_(2 Corinthians 5:17)	573_(2 Corinthians 5:17),587_(2 Corinthians 5:17)	1,2,3,4	-
pair_40_(2 Corinthians 5:17)	576_(2 Corinthians 5:17),598_(2 Corinthians 5:17)	1,2,3,4	-
pair_41_(2 Corinthians 5:17)	575_(2 Corinthians 5:17),589_(2 Corinthians 5:17)	1,2,3,4	-
pair_42_(2 Corinthians 5:17)	582_(2 Corinthians 5:17),588_(2 Corinthians 5:17)	1,2,3,4	-
pair_43_(2 Corinthians 5:17)	573_(2 Corinthians 5:17),598_(2 Corinthians 5:17)	1,2,3,4	-
pair_44_(2 Corinthians 5:17)	575_(2 Corinthians 5:17),576_(2 Corinthians 5:17)	1,2,3,4	-
pair_45_(2 Corinthians 5:17)	589_(2 Corinthians 5:17),597_(2 Corinthians 5:17)	1,2,3,4	-
