instanceID	dataIDs	label_set	non_label
pair_0_(John 8:32)	695_(John 8:32),695_(John 8:32)	1,2,3,4	-
pair_1_(John 8:32)	705_(John 8:32),716_(John 8:32)	1,2,3,4	-
pair_2_(John 8:32)	700_(John 8:32),703_(John 8:32)	1,2,3,4	-
pair_3_(John 8:32)	698_(John 8:32),710_(John 8:32)	1,2,3,4	-
pair_4_(John 8:32)	697_(John 8:32),711_(John 8:32)	1,2,3,4	-
pair_5_(John 8:32)	712_(John 8:32),712_(John 8:32)	1,2,3,4	-
pair_6_(John 8:32)	699_(John 8:32),713_(John 8:32)	1,2,3,4	-
pair_7_(John 8:32)	700_(John 8:32),700_(John 8:32)	1,2,3,4	-
pair_8_(John 8:32)	700_(John 8:32),710_(John 8:32)	1,2,3,4	-
pair_9_(John 8:32)	697_(John 8:32),713_(John 8:32)	1,2,3,4	-
pair_10_(John 8:32)	694_(John 8:32),700_(John 8:32)	1,2,3,4	-
pair_11_(John 8:32)	712_(John 8:32),716_(John 8:32)	1,2,3,4	-
pair_12_(John 8:32)	694_(John 8:32),694_(John 8:32)	1,2,3,4	-
pair_13_(John 8:32)	711_(John 8:32),717_(John 8:32)	1,2,3,4	-
pair_14_(John 8:32)	703_(John 8:32),717_(John 8:32)	1,2,3,4	-
pair_15_(John 8:32)	713_(John 8:32),713_(John 8:32)	1,2,3,4	-
pair_16_(John 8:32)	707_(John 8:32),716_(John 8:32)	1,2,3,4	-
pair_17_(John 8:32)	714_(John 8:32),716_(John 8:32)	1,2,3,4	-
pair_18_(John 8:32)	696_(John 8:32),709_(John 8:32)	1,2,3,4	-
pair_19_(John 8:32)	700_(John 8:32),708_(John 8:32)	1,2,3,4	-
pair_20_(John 8:32)	714_(John 8:32),720_(John 8:32)	1,2,3,4	-
pair_21_(John 8:32)	718_(John 8:32),721_(John 8:32)	1,2,3,4	-
pair_22_(John 8:32)	697_(John 8:32),705_(John 8:32)	1,2,3,4	-
pair_23_(John 8:32)	694_(John 8:32),711_(John 8:32)	1,2,3,4	-
pair_24_(John 8:32)	700_(John 8:32),711_(John 8:32)	1,2,3,4	-
pair_25_(John 8:32)	697_(John 8:32),714_(John 8:32)	1,2,3,4	-
pair_26_(John 8:32)	713_(John 8:32),715_(John 8:32)	1,2,3,4	-
pair_27_(John 8:32)	716_(John 8:32),721_(John 8:32)	1,2,3,4	-
pair_28_(John 8:32)	705_(John 8:32),713_(John 8:32)	1,2,3,4	-
pair_29_(John 8:32)	707_(John 8:32),721_(John 8:32)	1,2,3,4	-
pair_30_(John 8:32)	701_(John 8:32),710_(John 8:32)	1,2,3,4	-
pair_31_(John 8:32)	713_(John 8:32),720_(John 8:32)	1,2,3,4	-
pair_32_(John 8:32)	699_(John 8:32),710_(John 8:32)	1,2,3,4	-
pair_33_(John 8:32)	706_(John 8:32),718_(John 8:32)	1,2,3,4	-
pair_34_(John 8:32)	700_(John 8:32),717_(John 8:32)	1,2,3,4	-
pair_35_(John 8:32)	718_(John 8:32),718_(John 8:32)	1,2,3,4	-
pair_36_(John 8:32)	704_(John 8:32),704_(John 8:32)	1,2,3,4	-
pair_37_(John 8:32)	705_(John 8:32),719_(John 8:32)	1,2,3,4	-
pair_38_(John 8:32)	701_(John 8:32),721_(John 8:32)	1,2,3,4	-
pair_39_(John 8:32)	694_(John 8:32),698_(John 8:32)	1,2,3,4	-
pair_40_(John 8:32)	698_(John 8:32),711_(John 8:32)	1,2,3,4	-
pair_41_(John 8:32)	699_(John 8:32),711_(John 8:32)	1,2,3,4	-
pair_42_(John 8:32)	695_(John 8:32),702_(John 8:32)	1,2,3,4	-
pair_43_(John 8:32)	698_(John 8:32),700_(John 8:32)	1,2,3,4	-
pair_44_(John 8:32)	696_(John 8:32),710_(John 8:32)	1,2,3,4	-
pair_45_(John 8:32)	694_(John 8:32),707_(John 8:32)	1,2,3,4	-
pair_46_(John 8:32)	716_(John 8:32),717_(John 8:32)	1,2,3,4	-
pair_47_(John 8:32)	695_(John 8:32),698_(John 8:32)	1,2,3,4	-
pair_48_(John 8:32)	706_(John 8:32),721_(John 8:32)	1,2,3,4	-
pair_49_(John 8:32)	693_(John 8:32),693_(John 8:32)	1,2,3,4	-
pair_50_(John 8:32)	695_(John 8:32),700_(John 8:32)	1,2,3,4	-
pair_51_(John 8:32)	701_(John 8:32),712_(John 8:32)	1,2,3,4	-
pair_52_(John 8:32)	704_(John 8:32),717_(John 8:32)	1,2,3,4	-
pair_53_(John 8:32)	698_(John 8:32),701_(John 8:32)	1,2,3,4	-
pair_54_(John 8:32)	699_(John 8:32),705_(John 8:32)	1,2,3,4	-
pair_55_(John 8:32)	697_(John 8:32),702_(John 8:32)	1,2,3,4	-
pair_56_(John 8:32)	710_(John 8:32),712_(John 8:32)	1,2,3,4	-
pair_57_(John 8:32)	699_(John 8:32),715_(John 8:32)	1,2,3,4	-
pair_58_(John 8:32)	699_(John 8:32),701_(John 8:32)	1,2,3,4	-
pair_59_(John 8:32)	701_(John 8:32),705_(John 8:32)	1,2,3,4	-
pair_60_(John 8:32)	715_(John 8:32),720_(John 8:32)	1,2,3,4	-
pair_61_(John 8:32)	711_(John 8:32),719_(John 8:32)	1,2,3,4	-
pair_62_(John 8:32)	698_(John 8:32),702_(John 8:32)	1,2,3,4	-
pair_63_(John 8:32)	708_(John 8:32),710_(John 8:32)	1,2,3,4	-
pair_64_(John 8:32)	693_(John 8:32),707_(John 8:32)	1,2,3,4	-
pair_65_(John 8:32)	706_(John 8:32),719_(John 8:32)	1,2,3,4	-
pair_66_(John 8:32)	693_(John 8:32),695_(John 8:32)	1,2,3,4	-
