instanceID	dataIDs	label_set	non_label
pair_0_(Matthew 18:22)	469_(Matthew 18:22),469_(Matthew 18:22)	1,2,3,4	-
pair_1_(Matthew 18:22)	462_(Matthew 18:22),475_(Matthew 18:22)	1,2,3,4	-
pair_2_(Matthew 18:22)	477_(Matthew 18:22),478_(Matthew 18:22)	1,2,3,4	-
pair_3_(Matthew 18:22)	456_(Matthew 18:22),468_(Matthew 18:22)	1,2,3,4	-
pair_4_(Matthew 18:22)	456_(Matthew 18:22),466_(Matthew 18:22)	1,2,3,4	-
pair_5_(Matthew 18:22)	457_(Matthew 18:22),465_(Matthew 18:22)	1,2,3,4	-
pair_6_(Matthew 18:22)	459_(Matthew 18:22),479_(Matthew 18:22)	1,2,3,4	-
pair_7_(Matthew 18:22)	452_(Matthew 18:22),475_(Matthew 18:22)	1,2,3,4	-
pair_8_(Matthew 18:22)	456_(Matthew 18:22),480_(Matthew 18:22)	1,2,3,4	-
pair_9_(Matthew 18:22)	455_(Matthew 18:22),482_(Matthew 18:22)	1,2,3,4	-
pair_10_(Matthew 18:22)	461_(Matthew 18:22),466_(Matthew 18:22)	1,2,3,4	-
pair_11_(Matthew 18:22)	457_(Matthew 18:22),480_(Matthew 18:22)	1,2,3,4	-
pair_12_(Matthew 18:22)	465_(Matthew 18:22),466_(Matthew 18:22)	1,2,3,4	-
pair_13_(Matthew 18:22)	475_(Matthew 18:22),479_(Matthew 18:22)	1,2,3,4	-
pair_14_(Matthew 18:22)	457_(Matthew 18:22),466_(Matthew 18:22)	1,2,3,4	-
pair_15_(Matthew 18:22)	463_(Matthew 18:22),482_(Matthew 18:22)	1,2,3,4	-
pair_16_(Matthew 18:22)	460_(Matthew 18:22),475_(Matthew 18:22)	1,2,3,4	-
pair_17_(Matthew 18:22)	454_(Matthew 18:22),467_(Matthew 18:22)	1,2,3,4	-
pair_18_(Matthew 18:22)	469_(Matthew 18:22),474_(Matthew 18:22)	1,2,3,4	-
pair_19_(Matthew 18:22)	476_(Matthew 18:22),479_(Matthew 18:22)	1,2,3,4	-
pair_20_(Matthew 18:22)	456_(Matthew 18:22),481_(Matthew 18:22)	1,2,3,4	-
pair_21_(Matthew 18:22)	452_(Matthew 18:22),456_(Matthew 18:22)	1,2,3,4	-
pair_22_(Matthew 18:22)	476_(Matthew 18:22),482_(Matthew 18:22)	1,2,3,4	-
pair_23_(Matthew 18:22)	453_(Matthew 18:22),462_(Matthew 18:22)	1,2,3,4	-
pair_24_(Matthew 18:22)	466_(Matthew 18:22),468_(Matthew 18:22)	1,2,3,4	-
pair_25_(Matthew 18:22)	460_(Matthew 18:22),480_(Matthew 18:22)	1,2,3,4	-
pair_26_(Matthew 18:22)	457_(Matthew 18:22),459_(Matthew 18:22)	1,2,3,4	-
pair_27_(Matthew 18:22)	456_(Matthew 18:22),460_(Matthew 18:22)	1,2,3,4	-
pair_28_(Matthew 18:22)	465_(Matthew 18:22),477_(Matthew 18:22)	1,2,3,4	-
pair_29_(Matthew 18:22)	467_(Matthew 18:22),480_(Matthew 18:22)	1,2,3,4	-
pair_30_(Matthew 18:22)	459_(Matthew 18:22),459_(Matthew 18:22)	1,2,3,4	-
pair_31_(Matthew 18:22)	454_(Matthew 18:22),482_(Matthew 18:22)	1,2,3,4	-
pair_32_(Matthew 18:22)	460_(Matthew 18:22),462_(Matthew 18:22)	1,2,3,4	-
pair_33_(Matthew 18:22)	475_(Matthew 18:22),481_(Matthew 18:22)	1,2,3,4	-
pair_34_(Matthew 18:22)	459_(Matthew 18:22),465_(Matthew 18:22)	1,2,3,4	-
pair_35_(Matthew 18:22)	470_(Matthew 18:22),477_(Matthew 18:22)	1,2,3,4	-
pair_36_(Matthew 18:22)	469_(Matthew 18:22),477_(Matthew 18:22)	1,2,3,4	-
pair_37_(Matthew 18:22)	465_(Matthew 18:22),478_(Matthew 18:22)	1,2,3,4	-
pair_38_(Matthew 18:22)	452_(Matthew 18:22),473_(Matthew 18:22)	1,2,3,4	-
pair_39_(Matthew 18:22)	455_(Matthew 18:22),469_(Matthew 18:22)	1,2,3,4	-
pair_40_(Matthew 18:22)	468_(Matthew 18:22),477_(Matthew 18:22)	1,2,3,4	-
pair_41_(Matthew 18:22)	457_(Matthew 18:22),474_(Matthew 18:22)	1,2,3,4	-
pair_42_(Matthew 18:22)	474_(Matthew 18:22),477_(Matthew 18:22)	1,2,3,4	-
pair_43_(Matthew 18:22)	457_(Matthew 18:22),457_(Matthew 18:22)	1,2,3,4	-
pair_44_(Matthew 18:22)	452_(Matthew 18:22),462_(Matthew 18:22)	1,2,3,4	-
pair_45_(Matthew 18:22)	455_(Matthew 18:22),470_(Matthew 18:22)	1,2,3,4	-
