instanceID	dataIDs	label_set	non_label
pair_0_(Psalm 23:1)	201_(Psalm 23:1),224_(Psalm 23:1)	1,2,3,4	-
pair_1_(Psalm 23:1)	200_(Psalm 23:1),212_(Psalm 23:1)	1,2,3,4	-
pair_2_(Psalm 23:1)	204_(Psalm 23:1),225_(Psalm 23:1)	1,2,3,4	-
pair_3_(Psalm 23:1)	208_(Psalm 23:1),221_(Psalm 23:1)	1,2,3,4	-
pair_4_(Psalm 23:1)	209_(Psalm 23:1),218_(Psalm 23:1)	1,2,3,4	-
pair_5_(Psalm 23:1)	202_(Psalm 23:1),218_(Psalm 23:1)	1,2,3,4	-
pair_6_(Psalm 23:1)	212_(Psalm 23:1),215_(Psalm 23:1)	1,2,3,4	-
pair_7_(Psalm 23:1)	202_(Psalm 23:1),203_(Psalm 23:1)	1,2,3,4	-
pair_8_(Psalm 23:1)	196_(Psalm 23:1),204_(Psalm 23:1)	1,2,3,4	-
pair_9_(Psalm 23:1)	223_(Psalm 23:1),224_(Psalm 23:1)	1,2,3,4	-
pair_10_(Psalm 23:1)	199_(Psalm 23:1),202_(Psalm 23:1)	1,2,3,4	-
pair_11_(Psalm 23:1)	220_(Psalm 23:1),225_(Psalm 23:1)	1,2,3,4	-
pair_12_(Psalm 23:1)	212_(Psalm 23:1),214_(Psalm 23:1)	1,2,3,4	-
pair_13_(Psalm 23:1)	202_(Psalm 23:1),222_(Psalm 23:1)	1,2,3,4	-
pair_14_(Psalm 23:1)	200_(Psalm 23:1),223_(Psalm 23:1)	1,2,3,4	-
pair_15_(Psalm 23:1)	202_(Psalm 23:1),223_(Psalm 23:1)	1,2,3,4	-
pair_16_(Psalm 23:1)	196_(Psalm 23:1),206_(Psalm 23:1)	1,2,3,4	-
pair_17_(Psalm 23:1)	202_(Psalm 23:1),219_(Psalm 23:1)	1,2,3,4	-
pair_18_(Psalm 23:1)	209_(Psalm 23:1),221_(Psalm 23:1)	1,2,3,4	-
pair_19_(Psalm 23:1)	205_(Psalm 23:1),222_(Psalm 23:1)	1,2,3,4	-
pair_20_(Psalm 23:1)	211_(Psalm 23:1),219_(Psalm 23:1)	1,2,3,4	-
pair_21_(Psalm 23:1)	208_(Psalm 23:1),212_(Psalm 23:1)	1,2,3,4	-
pair_22_(Psalm 23:1)	197_(Psalm 23:1),210_(Psalm 23:1)	1,2,3,4	-
pair_23_(Psalm 23:1)	209_(Psalm 23:1),224_(Psalm 23:1)	1,2,3,4	-
pair_24_(Psalm 23:1)	202_(Psalm 23:1),210_(Psalm 23:1)	1,2,3,4	-
pair_25_(Psalm 23:1)	211_(Psalm 23:1),213_(Psalm 23:1)	1,2,3,4	-
pair_26_(Psalm 23:1)	197_(Psalm 23:1),217_(Psalm 23:1)	1,2,3,4	-
pair_27_(Psalm 23:1)	203_(Psalm 23:1),209_(Psalm 23:1)	1,2,3,4	-
pair_28_(Psalm 23:1)	213_(Psalm 23:1),221_(Psalm 23:1)	1,2,3,4	-
pair_29_(Psalm 23:1)	215_(Psalm 23:1),219_(Psalm 23:1)	1,2,3,4	-
pair_30_(Psalm 23:1)	208_(Psalm 23:1),225_(Psalm 23:1)	1,2,3,4	-
pair_31_(Psalm 23:1)	216_(Psalm 23:1),221_(Psalm 23:1)	1,2,3,4	-
pair_32_(Psalm 23:1)	201_(Psalm 23:1),207_(Psalm 23:1)	1,2,3,4	-
pair_33_(Psalm 23:1)	208_(Psalm 23:1),214_(Psalm 23:1)	1,2,3,4	-
pair_34_(Psalm 23:1)	202_(Psalm 23:1),215_(Psalm 23:1)	1,2,3,4	-
pair_35_(Psalm 23:1)	202_(Psalm 23:1),211_(Psalm 23:1)	1,2,3,4	-
pair_36_(Psalm 23:1)	221_(Psalm 23:1),221_(Psalm 23:1)	1,2,3,4	-
pair_37_(Psalm 23:1)	199_(Psalm 23:1),216_(Psalm 23:1)	1,2,3,4	-
pair_38_(Psalm 23:1)	196_(Psalm 23:1),205_(Psalm 23:1)	1,2,3,4	-
pair_39_(Psalm 23:1)	211_(Psalm 23:1),218_(Psalm 23:1)	1,2,3,4	-
pair_40_(Psalm 23:1)	200_(Psalm 23:1),213_(Psalm 23:1)	1,2,3,4	-
pair_41_(Psalm 23:1)	199_(Psalm 23:1),218_(Psalm 23:1)	1,2,3,4	-
pair_42_(Psalm 23:1)	210_(Psalm 23:1),214_(Psalm 23:1)	1,2,3,4	-
pair_43_(Psalm 23:1)	196_(Psalm 23:1),223_(Psalm 23:1)	1,2,3,4	-
pair_44_(Psalm 23:1)	215_(Psalm 23:1),222_(Psalm 23:1)	1,2,3,4	-
pair_45_(Psalm 23:1)	208_(Psalm 23:1),216_(Psalm 23:1)	1,2,3,4	-
pair_46_(Psalm 23:1)	212_(Psalm 23:1),220_(Psalm 23:1)	1,2,3,4	-
pair_47_(Psalm 23:1)	200_(Psalm 23:1),214_(Psalm 23:1)	1,2,3,4	-
pair_48_(Psalm 23:1)	202_(Psalm 23:1),213_(Psalm 23:1)	1,2,3,4	-
pair_49_(Psalm 23:1)	208_(Psalm 23:1),222_(Psalm 23:1)	1,2,3,4	-
pair_50_(Psalm 23:1)	208_(Psalm 23:1),213_(Psalm 23:1)	1,2,3,4	-
pair_51_(Psalm 23:1)	214_(Psalm 23:1),214_(Psalm 23:1)	1,2,3,4	-
pair_52_(Psalm 23:1)	197_(Psalm 23:1),219_(Psalm 23:1)	1,2,3,4	-
pair_53_(Psalm 23:1)	199_(Psalm 23:1),206_(Psalm 23:1)	1,2,3,4	-
pair_54_(Psalm 23:1)	216_(Psalm 23:1),217_(Psalm 23:1)	1,2,3,4	-
