instanceID	dataIDs	label_set	non_label
pair_0_(1 Corinthians 13:4)	46_(1 Corinthians 13:4),53_(1 Corinthians 13:4)	1,2,3,4	-
pair_1_(1 Corinthians 13:4)	50_(1 Corinthians 13:4),41_(1 Corinthians 13:4)	1,2,3,4	-
pair_2_(1 Corinthians 13:4)	60_(1 Corinthians 13:4),41_(1 Corinthians 13:4)	1,2,3,4	-
pair_3_(1 Corinthians 13:4)	50_(1 Corinthians 13:4),51_(1 Corinthians 13:4)	1,2,3,4	-
pair_4_(1 Corinthians 13:4)	38_(1 Corinthians 13:4),51_(1 Corinthians 13:4)	1,2,3,4	-
pair_5_(1 Corinthians 13:4)	59_(1 Corinthians 13:4),31_(1 Corinthians 13:4)	1,2,3,4	-
pair_6_(1 Corinthians 13:4)	34_(1 Corinthians 13:4),54_(1 Corinthians 13:4)	1,2,3,4	-
pair_7_(1 Corinthians 13:4)	44_(1 Corinthians 13:4),53_(1 Corinthians 13:4)	1,2,3,4	-
pair_8_(1 Corinthians 13:4)	59_(1 Corinthians 13:4),40_(1 Corinthians 13:4)	1,2,3,4	-
pair_9_(1 Corinthians 13:4)	37_(1 Corinthians 13:4),53_(1 Corinthians 13:4)	1,2,3,4	-
pair_10_(1 Corinthians 13:4)	49_(1 Corinthians 13:4),47_(1 Corinthians 13:4)	1,2,3,4	-
pair_11_(1 Corinthians 13:4)	38_(1 Corinthians 13:4),33_(1 Corinthians 13:4)	1,2,3,4	-
pair_12_(1 Corinthians 13:4)	50_(1 Corinthians 13:4),52_(1 Corinthians 13:4)	1,2,3,4	-
pair_13_(1 Corinthians 13:4)	59_(1 Corinthians 13:4),52_(1 Corinthians 13:4)	1,2,3,4	-
pair_14_(1 Corinthians 13:4)	44_(1 Corinthians 13:4),54_(1 Corinthians 13:4)	1,2,3,4	-
pair_15_(1 Corinthians 13:4)	37_(1 Corinthians 13:4),58_(1 Corinthians 13:4)	1,2,3,4	-
pair_16_(1 Corinthians 13:4)	38_(1 Corinthians 13:4),47_(1 Corinthians 13:4)	1,2,3,4	-
pair_17_(1 Corinthians 13:4)	34_(1 Corinthians 13:4),39_(1 Corinthians 13:4)	1,2,3,4	-
pair_18_(1 Corinthians 13:4)	60_(1 Corinthians 13:4),33_(1 Corinthians 13:4)	1,2,3,4	-
pair_19_(1 Corinthians 13:4)	32_(1 Corinthians 13:4),54_(1 Corinthians 13:4)	1,2,3,4	-
pair_20_(1 Corinthians 13:4)	35_(1 Corinthians 13:4),39_(1 Corinthians 13:4)	1,2,3,4	-
pair_21_(1 Corinthians 13:4)	38_(1 Corinthians 13:4),54_(1 Corinthians 13:4)	1,2,3,4	-
pair_22_(1 Corinthians 13:4)	49_(1 Corinthians 13:4),39_(1 Corinthians 13:4)	1,2,3,4	-
pair_23_(1 Corinthians 13:4)	59_(1 Corinthians 13:4),39_(1 Corinthians 13:4)	1,2,3,4	-
pair_24_(1 Corinthians 13:4)	60_(1 Corinthians 13:4),52_(1 Corinthians 13:4)	1,2,3,4	-
pair_25_(1 Corinthians 13:4)	34_(1 Corinthians 13:4),40_(1 Corinthians 13:4)	1,2,3,4	-
pair_26_(1 Corinthians 13:4)	35_(1 Corinthians 13:4),51_(1 Corinthians 13:4)	1,2,3,4	-
pair_27_(1 Corinthians 13:4)	48_(1 Corinthians 13:4),58_(1 Corinthians 13:4)	1,2,3,4	-
pair_28_(1 Corinthians 13:4)	35_(1 Corinthians 13:4),36_(1 Corinthians 13:4)	1,2,3,4	-
pair_29_(1 Corinthians 13:4)	48_(1 Corinthians 13:4),51_(1 Corinthians 13:4)	1,2,3,4	-
pair_30_(1 Corinthians 13:4)	49_(1 Corinthians 13:4),33_(1 Corinthians 13:4)	1,2,3,4	-
pair_31_(1 Corinthians 13:4)	35_(1 Corinthians 13:4),43_(1 Corinthians 13:4)	1,2,3,4	-
pair_32_(1 Corinthians 13:4)	32_(1 Corinthians 13:4),53_(1 Corinthians 13:4)	1,2,3,4	-
pair_33_(1 Corinthians 13:4)	46_(1 Corinthians 13:4),31_(1 Corinthians 13:4)	1,2,3,4	-
pair_34_(1 Corinthians 13:4)	57_(1 Corinthians 13:4),43_(1 Corinthians 13:4)	1,2,3,4	-
pair_35_(1 Corinthians 13:4)	48_(1 Corinthians 13:4),43_(1 Corinthians 13:4)	1,2,3,4	-
pair_36_(1 Corinthians 13:4)	57_(1 Corinthians 13:4),58_(1 Corinthians 13:4)	1,2,3,4	-
pair_37_(1 Corinthians 13:4)	57_(1 Corinthians 13:4),54_(1 Corinthians 13:4)	1,2,3,4	-
pair_38_(1 Corinthians 13:4)	37_(1 Corinthians 13:4),40_(1 Corinthians 13:4)	1,2,3,4	-
pair_39_(1 Corinthians 13:4)	44_(1 Corinthians 13:4),58_(1 Corinthians 13:4)	1,2,3,4	-
pair_40_(1 Corinthians 13:4)	48_(1 Corinthians 13:4),53_(1 Corinthians 13:4)	1,2,3,4	-
pair_41_(1 Corinthians 13:4)	56_(1 Corinthians 13:4),51_(1 Corinthians 13:4)	1,2,3,4	-
pair_42_(1 Corinthians 13:4)	56_(1 Corinthians 13:4),45_(1 Corinthians 13:4)	1,2,3,4	-
pair_43_(1 Corinthians 13:4)	46_(1 Corinthians 13:4),52_(1 Corinthians 13:4)	1,2,3,4	-
pair_44_(1 Corinthians 13:4)	56_(1 Corinthians 13:4),39_(1 Corinthians 13:4)	1,2,3,4	-
pair_45_(1 Corinthians 13:4)	38_(1 Corinthians 13:4),40_(1 Corinthians 13:4)	1,2,3,4	-
pair_46_(1 Corinthians 13:4)	37_(1 Corinthians 13:4),42_(1 Corinthians 13:4)	1,2,3,4	-
pair_47_(1 Corinthians 13:4)	57_(1 Corinthians 13:4),45_(1 Corinthians 13:4)	1,2,3,4	-
pair_48_(1 Corinthians 13:4)	56_(1 Corinthians 13:4),53_(1 Corinthians 13:4)	1,2,3,4	-
pair_49_(1 Corinthians 13:4)	55_(1 Corinthians 13:4),42_(1 Corinthians 13:4)	1,2,3,4	-
pair_50_(1 Corinthians 13:4)	32_(1 Corinthians 13:4),51_(1 Corinthians 13:4)	1,2,3,4	-
pair_51_(1 Corinthians 13:4)	44_(1 Corinthians 13:4),39_(1 Corinthians 13:4)	1,2,3,4	-
pair_52_(1 Corinthians 13:4)	46_(1 Corinthians 13:4),41_(1 Corinthians 13:4)	1,2,3,4	-
pair_53_(1 Corinthians 13:4)	49_(1 Corinthians 13:4),36_(1 Corinthians 13:4)	1,2,3,4	-
pair_54_(1 Corinthians 13:4)	56_(1 Corinthians 13:4),40_(1 Corinthians 13:4)	1,2,3,4	-
pair_55_(1 Corinthians 13:4)	48_(1 Corinthians 13:4),31_(1 Corinthians 13:4)	1,2,3,4	-
pair_56_(1 Corinthians 13:4)	32_(1 Corinthians 13:4),33_(1 Corinthians 13:4)	1,2,3,4	-
pair_57_(1 Corinthians 13:4)	60_(1 Corinthians 13:4),42_(1 Corinthians 13:4)	1,2,3,4	-
pair_58_(1 Corinthians 13:4)	60_(1 Corinthians 13:4),58_(1 Corinthians 13:4)	1,2,3,4	-
pair_59_(1 Corinthians 13:4)	38_(1 Corinthians 13:4),52_(1 Corinthians 13:4)	1,2,3,4	-
pair_60_(1 Corinthians 13:4)	59_(1 Corinthians 13:4),45_(1 Corinthians 13:4)	1,2,3,4	-
pair_61_(1 Corinthians 13:4)	44_(1 Corinthians 13:4),40_(1 Corinthians 13:4)	1,2,3,4	-
pair_62_(1 Corinthians 13:4)	34_(1 Corinthians 13:4),47_(1 Corinthians 13:4)	1,2,3,4	-
pair_63_(1 Corinthians 13:4)	44_(1 Corinthians 13:4),31_(1 Corinthians 13:4)	1,2,3,4	-
pair_64_(1 Corinthians 13:4)	34_(1 Corinthians 13:4),51_(1 Corinthians 13:4)	1,2,3,4	-
pair_65_(1 Corinthians 13:4)	37_(1 Corinthians 13:4),52_(1 Corinthians 13:4)	1,2,3,4	-
pair_66_(1 Corinthians 13:4)	59_(1 Corinthians 13:4),58_(1 Corinthians 13:4)	1,2,3,4	-
pair_67_(1 Corinthians 13:4)	32_(1 Corinthians 13:4),52_(1 Corinthians 13:4)	1,2,3,4	-
pair_68_(1 Corinthians 13:4)	35_(1 Corinthians 13:4),47_(1 Corinthians 13:4)	1,2,3,4	-
pair_69_(1 Corinthians 13:4)	46_(1 Corinthians 13:4),58_(1 Corinthians 13:4)	1,2,3,4	-
