dataID	context	indices_target_token	indices_target_sentence	lemma
35_(1 Corinthians 13:4)	The antidote for narcissism is love. Love is patient, love is kind, is humble, seeks the welfare of others, sacrificing of self.	37:66	0:128	Love is patient, love is kind
49_(1 Corinthians 13:4)	Love is patient, love is kind... but mostly patient. Love you babe!! Happy 6 years of marriage today!!	0:29	0:102	Love is patient, love is kind
44_(1 Corinthians 13:4)	Love is patient, love is kind. Love is to tolerate your wife. Love you babe	0:29	0:75	Love is patient, love is kind
56_(1 Corinthians 13:4)	Love is patient, Love is Kind. I love you Kristy Lumpkin Stone.	0:29	0:63	Love is patient, love is kind
55_(1 Corinthians 13:4)	Today's Goal: I will tell my wife and children that I love them and  will be specific as to why. Love is patient, love is kind.	97:126	0:127	Love is patient, love is kind
32_(1 Corinthians 13:4)	Love is the greatest gift of all. Love is patient, love is kind, peaceful, unconditional and unforgettable. Love heals.	34:63	0:119	Love is patient, love is kind
34_(1 Corinthians 13:4)	Dammit Elon, help me help you. I love you. Stop being impatient with with me. Love is patient, love is kind.	78:107	0:108	Love is patient, love is kind
48_(1 Corinthians 13:4)	LOVE IS NOT BLIND BECAUSE WE CAN SEE IT! The wicked world is wrong about the definition of LOVE, but the wise word is right! IT IS WRITTEN: Love is patient, love is kind. It does not envy, it does not boast, it is not proud... LOVE NEVER FAILS.	140:169	0:244	Love is patient, love is kind
57_(1 Corinthians 13:4)	Love is patient, Love is kind.  Even if I find it near impossible to love my wife - God doesn't.  So patient and kind is my goal.	0:29	0:129	Love is patient, love is kind
59_(1 Corinthians 13:4)	Let all that you do be done in love. Love is that gift from God that binds everything together in perfect harmony. Good night, my dearest darlings. Don't forget to live and love. Remember: love is patient, love is kind	189:218	0:218	Love is patient, love is kind
46_(1 Corinthians 13:4)	Love is patient, love is kind. love is safe. love is no judgement. love is infinite.	0:29	0:84	Love is patient, love is kind
38_(1 Corinthians 13:4)	Love is eternal, indestructible, and always worth fighting for. Love is patient, love is kind, and love endures forever. Father's rights are God-given.	64:93	0:151	Love is patient, love is kind
50_(1 Corinthians 13:4)	There's the Love and Patience we have for each other then there's Love & Patience we have for others. Kinda the same... yet different. The heart will always wait for what it wants. even if it's painful. Love Changes! Love is Patient, love is Kind. Trust me... it will be worth the wait.	217:246	0:286	Love is patient, love is kind
60_(1 Corinthians 13:4)	When the love is patient and kind, it is worthy to 'fight' for.	9:33	0:63	Love is patient, love is kind
37_(1 Corinthians 13:4)	Love is patient, love is kind. Love comes in many different forms. I'm thankful for the realistic love my husband and I have. It's not like in every movie, but it's real. We lack materialism, and it works for us. It was love at first sight for us!	0:29	0:247	Love is patient, love is kind
33_(1 Corinthians 13:4)	Love is patient, love is kind. It does not envy, it does not boast, it is not proud. I love you so much dear. Keep moving forward in life... Everything gonna be okay in due time my baby 	0:29	0:186	Love is patient, love is kind
58_(1 Corinthians 13:4)	Today I celebrate my children. They are indeed the loves of my life. They are also my hands-on practice of 1 Corinthians 13: 4-8 which says, Love is patient, love is kind.	141:170	0:171	Love is patient, love is kind
31_(1 Corinthians 13:4)	Love is patient, love is kind and what our love express is true, no amount of tragedy can tear or break the love I have for you. Feel the presence of love wrapped up within a hug.	0:29	0:179	Love is patient, love is kind
41_(1 Corinthians 13:4)	Love is patient, love is kind, love is forgiving. Love openly and freely don't keep it behind closed doors. Be with someone who loves and appreciates you for exactly who you are!!	0:29	0:179	Love is patient, love is kind
53_(1 Corinthians 13:4)	love is kind and patient, does not seek applause, expects nothing in return, does not bend downward, love is like the wind, you cannot see it, but you feel it	0:24	0:158	Love is patient, love is kind
47_(1 Corinthians 13:4)	See love everywhere. There nothing that beats Love is patient, love is kind.	46:75	0:76	Love is patient, love is kind
42_(1 Corinthians 13:4)	Love is patient, love is kind. Love is deliberate. Love is hard. Love is pain and sacrifice. Above all, to me, its seeing the darkness in another person and defying the impulse to jump ship. My point is this, LOVE GENUINELY... LOVE BEYOND THE PHYSICAL. Real Life.	0:29	0:263	Love is patient, love is kind
36_(1 Corinthians 13:4)	To my wife, I love you!  Love is patient, love is kind.	25:54	0:55	Love is patient, love is kind
45_(1 Corinthians 13:4)	Love is caring for someone or a thing. It's a universal language that cuts across traditions, and cultures. We speak it daily. Love is patient, love is kind	127:156	0:156	Love is patient, love is kind
52_(1 Corinthians 13:4)	Love is patient, love is kind, and what our loves express is true. No amount of tragedy can tear, or break the love I have for you	0:29	0:130	Love is patient, love is kind
40_(1 Corinthians 13:4)	Doing all this is everything the scripture says love is patient, love is kind, does not envy. Love is more than a kiss	48:77	0:118	Love is patient, love is kind
43_(1 Corinthians 13:4)	Love is patient, love is kind. It is always ready to excuse, to trust, to hope, and to endure whatever comes.	0:29	0:109	Love is patient, love is kind
39_(1 Corinthians 13:4)	Love is patient, love is kind. Love always forgives, trusts, supports, and endures. Love never fails. When every star in the heavens grows cold, and when silence lies once more on the face of the deep, three things will endure: faith, hope, and love.	0:29	0:250	Love is patient, love is kind
54_(1 Corinthians 13:4)	Of course, love is patient, love is kind but also temperamental. Even mutual love is seasonal. Love has its moments, moments that can make us question it. I'm still learning that love is not an assumption, it's a practice	11:40	0:221	Love is patient, love is kind
51_(1 Corinthians 13:4)	Love is patient, love is kind. It does not envy, it does not boast, it is not proud. It does not dishonor others, it is not self-seeking, it is not easily angered, IT KEEPS NO RECORD OF WRONGS. Forgive me dear, I love you	0:29	0:221	Love is patient, love is kind
