dataID	context	indices_target_token	indices_target_sentence	lemma
1171_(1 John 4:8)	Love At It's Best - God is love, so we daily need to be refreshed in His Love. The best living of all is when we live in God's love. Everyone who loves has been born of God and knows God. 8Whoever does not love does not know God, because God is love.	189:249	0:250	Whoever does not love does not know God, because God is love
1172_(1 John 4:8)	Whoever does not love does not know God, because God is love. God showed how much he loved us by sending his one and only Son into the world so that we might have eternal life through him. This is real love - not that we loved God, but that he loved us and sent his Son as a sacrifice to take away our sins.	0:60	0:307	Whoever does not love does not know God, because God is love
1173_(1 John 4:8)	The truth is that God loves everyone. This includes you. His love is not conditional; it is rooted in God's character and based on the fact that He is a God of love. 1 John 4:8 says, "Whoever does not love does not know God, because God is love"	184:244	0:245	Whoever does not love does not know God, because God is love
1174_(1 John 4:8)	Whoever does not love does not know God, because God is love. To truly love, we must first know God. Love starts with God and ends with God because #GodIsLove. Love never fails.	0:60	0:177	Whoever does not love does not know God, because God is love
1175_(1 John 4:8)	If you are reading this, just know that... God loves you 🕊️. He who doesn't love does not know God, for God is love	61:115	0:115	Whoever does not love does not know God, because God is love
1176_(1 John 4:8)	God's Power is Awesome! At the same time, 1 John 4:8 says, "Whoever does not love does not know God, because God is Love." God is love... the magnitude of this is also difficult for us to understand.	60:120	0:199	Whoever does not love does not know God, because God is love
1177_(1 John 4:8)	The Bible says "Whoever does not love does not know God, because God is love." So one of the best ways to connect with God is to cultivate your own capacity for love (which includes kindness, compassion, friendship, and charity).	16:76	0:229	Whoever does not love does not know God, because God is love
1178_(1 John 4:8)	Love is one of God's most central attributes. The Scriptures tell us that “Whoever does not love does not know God, because God is love." God's love is clearly shown in His plan for our salvation, which was worked out through His only Son as a sacrifice for us.	75:135	0:261	Whoever does not love does not know God, because God is love
1179_(1 John 4:8)	Whoever does not love does not know God, because God is love. All Mighty God loves us just the way we are AND too much to leave us that way. May we not resent leaving useless, mean, unholy, inequitable, unGodly, ... ways behind and grasp and hold dear to God's ways of doing and being right, amen.	0:60	0:297	Whoever does not love does not know God, because God is love
1180_(1 John 4:8)	At the same time, 1 John 4:8 says, "Whoever does not love does not know God, because God is Love." God is love... the magnitude of this is also difficult for us to understand. The most compassion, care, empathy, sympathy, sacrifice, we can feel or express is just a drop compared to God's love, because God is Love.	36:96	0:315	Whoever does not love does not know God, because God is love
1181_(1 John 4:8)	Whoever does not love does not know God, because God is love. I don't think some people understand this God is Love - this IS WHO GOD IS!! -Our REDEEMER WHO IS MIGHTY TO SAVE	0:60	0:174	Whoever does not love does not know God, because God is love
1182_(1 John 4:8)	Furthermore, God has given us a spirit of love. Love is a foundational characteristic of God Himself, as stated in 1 John 4:8, "Whoever does not love does not know God, because God is love."	128:188	0:190	Whoever does not love does not know God, because God is love
1183_(1 John 4:8)	Whoever does not love does not know God, because God is love. [He is the originator of love, and it is an enduring attribute of His nature. If all they do is cause you hurt, they are not of God!	0:60	0:194	Whoever does not love does not know God, because God is love
1184_(1 John 4:8)	Stand strong and know love (God) never fail. Whoever does not love does not know God, because God is love. I love you, God Bless! Sometimes we think we love someone or are in love when it's only infatuation and desires that promote happiness through luxury and fame/attention.	45:105	0:276	Whoever does not love does not know God, because God is love
1185_(1 John 4:8)	Whoever does not love does not know God, because God is love. Those little funny feelings you get around a person are just emotions. They don't last. Love is not a feeling. That is why over half of people who do marry end up with divorced, because they got deceived by their feelings.	0:60	0:284	Whoever does not love does not know God, because God is love
1186_(1 John 4:8)	Good morning Saints! In the eyes of God, Love is the most powerful, beautiful and important quality in His people. Have a great day! "Whoever does not love does not know God, because God is love."	134:194	0:196	Whoever does not love does not know God, because God is love
1187_(1 John 4:8)	But we know cops don't kill trans people, only religious pagans kill in the name of christ and use his cross as justification to kill. "Whoever does not love does not know God, because God is love."	136:196	0:198	Whoever does not love does not know God, because God is love
1188_(1 John 4:8)	There is no excuse for not LOVing. Whoever does not love does not know God, because God is love.	35:95	0:96	Whoever does not love does not know God, because God is love
1189_(1 John 4:8)	Whoever does not love does not know God, because God is love. By this the love of God was manifested in us, that God has sent His only begotten Son into the world so that we might live through Him.	0:60	0:197	Whoever does not love does not know God, because God is love
1190_(1 John 4:8)	"Whoever does not love does not know God, because God is love." "Loving" is not merely an activity of God, nor is love an attribute, per se, but God IS love. The human capacity to love is a gift from God. Without God, love cannot be defined or even exist. God is love.	1:61	0:268	Whoever does not love does not know God, because God is love
1191_(1 John 4:8)	Whoever does not love does not know God, because God is love. When we talk about the love of God, it's actually the demonstration of the righteousness of God. The love of God is the righteousness of God at work. Why does God love? It's because of His righteousness.	0:60	0:265	Whoever does not love does not know God, because God is love
1192_(1 John 4:8)	No, love is all it takes to know God."Whoever does not love does not know God, because God is love."	38:98	0:100	Whoever does not love does not know God, because God is love
1193_(1 John 4:8)	I may not be part of the LGBTQ group myself, but I support you all. You are all valid!"Whoever does not love does not know God, because God is love."	87:147	0:149	Whoever does not love does not know God, because God is love
1194_(1 John 4:8)	Whoever does not love does not know God, because God is love. Love is not self serving. If your view of God is that His ultimate purpose in all He does is for His own glory and not to express His love then your God is a liar.	0:60	0:225	Whoever does not love does not know God, because God is love
1195_(1 John 4:8)	Wow, I just remembered an interaction I had with an LGBTQ "Christian." Their claim was that we can't know God, and they also claimed that they knew love better than me. I brought up 1 John 4:8 "Whoever does not love does not know God, because God is love", and of course they called me hateful for that. What do you think this means for LGBTQ?	194:254	0:343	Whoever does not love does not know God, because God is love
1196_(1 John 4:8)	I accept your apology. Also, you've got a problem: 1 John 4:8 explicitly equates man's love with God's love: "Whoever does not love does not know God, because God is love"	110:170	0:171	Whoever does not love does not know God, because God is love
1197_(1 John 4:8)	Whoever does not love does not know God, because God is love. How can someone know how to love if u don't know the Almighty God and what He did for u through His Son Jesus Christ (Rom. 5:8)? One might die for a good person, but how bout u? R u a good person?	0:60	0:258	Whoever does not love does not know God, because God is love
1198_(1 John 4:8)	God is love, you don't know God, and you believe Love is harmful, i.e. you don't know what love is. Sad. "Whoever does not love does not know God, because God is love."	106:166	0:168	Whoever does not love does not know God, because God is love
1199_(1 John 4:8)	Correction, love is not love. God is love. "Whoever does not love does not know God, because God is love. In this the love of God was made manifest among us, that God sent his only Son into the world, so that we might live through him"	44:104	0:235	Whoever does not love does not know God, because God is love
