instanceID	dataIDs	label_set	non_label
pair_0_(1 Samuel 16:7)	1058_(1 Samuel 16:7),1078_(1 Samuel 16:7)	1,2,3,4	-
pair_1_(1 Samuel 16:7)	1072_(1 Samuel 16:7),1071_(1 Samuel 16:7)	1,2,3,4	-
pair_2_(1 Samuel 16:7)	1068_(1 Samuel 16:7),1064_(1 Samuel 16:7)	1,2,3,4	-
pair_3_(1 Samuel 16:7)	1066_(1 Samuel 16:7),1052_(1 Samuel 16:7)	1,2,3,4	-
pair_4_(1 Samuel 16:7)	1076_(1 Samuel 16:7),1059_(1 Samuel 16:7)	1,2,3,4	-
pair_5_(1 Samuel 16:7)	1070_(1 Samuel 16:7),1061_(1 Samuel 16:7)	1,2,3,4	-
pair_6_(1 Samuel 16:7)	1055_(1 Samuel 16:7),1054_(1 Samuel 16:7)	1,2,3,4	-
pair_7_(1 Samuel 16:7)	1067_(1 Samuel 16:7),1074_(1 Samuel 16:7)	1,2,3,4	-
pair_8_(1 Samuel 16:7)	1063_(1 Samuel 16:7),1059_(1 Samuel 16:7)	1,2,3,4	-
pair_9_(1 Samuel 16:7)	1055_(1 Samuel 16:7),1064_(1 Samuel 16:7)	1,2,3,4	-
pair_10_(1 Samuel 16:7)	1068_(1 Samuel 16:7),1077_(1 Samuel 16:7)	1,2,3,4	-
pair_11_(1 Samuel 16:7)	1070_(1 Samuel 16:7),1065_(1 Samuel 16:7)	1,2,3,4	-
pair_12_(1 Samuel 16:7)	1055_(1 Samuel 16:7),1059_(1 Samuel 16:7)	1,2,3,4	-
pair_13_(1 Samuel 16:7)	1062_(1 Samuel 16:7),1054_(1 Samuel 16:7)	1,2,3,4	-
pair_14_(1 Samuel 16:7)	1068_(1 Samuel 16:7),1069_(1 Samuel 16:7)	1,2,3,4	-
pair_15_(1 Samuel 16:7)	1073_(1 Samuel 16:7),1077_(1 Samuel 16:7)	1,2,3,4	-
pair_16_(1 Samuel 16:7)	1056_(1 Samuel 16:7),1065_(1 Samuel 16:7)	1,2,3,4	-
pair_17_(1 Samuel 16:7)	1067_(1 Samuel 16:7),1069_(1 Samuel 16:7)	1,2,3,4	-
pair_18_(1 Samuel 16:7)	1056_(1 Samuel 16:7),1059_(1 Samuel 16:7)	1,2,3,4	-
pair_19_(1 Samuel 16:7)	1068_(1 Samuel 16:7),1051_(1 Samuel 16:7)	1,2,3,4	-
pair_20_(1 Samuel 16:7)	1076_(1 Samuel 16:7),1075_(1 Samuel 16:7)	1,2,3,4	-
pair_21_(1 Samuel 16:7)	1058_(1 Samuel 16:7),1065_(1 Samuel 16:7)	1,2,3,4	-
