dataID	context	indices_target_token	indices_target_sentence	lemma
1062_(1 Samuel 16:7)	You might be singing in harmony, but I know you’re out of tune with me and with others in the fellowship. People make judgments based on outward appearances, but the Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart	162:285	0:285	The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart
1073_(1 Samuel 16:7)	How I know God isn’t racist..."for The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart." The Almighty doesn’t care if you are red, green, purple, black or white. As long as you obey His word	35:158	0:262	The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart
1060_(1 Samuel 16:7)	As a member of the Church, do you realize the damage comments like this are doing? Our Savior DOES NOT CARE how you dress to go to church. "The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart."	140:263	0:265	The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart
1070_(1 Samuel 16:7)	"The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart." O Lord, help us not to judge others by appearance alone but strive to discern their inner qualities. Amen.	1:124	0:233	The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart
1066_(1 Samuel 16:7)	Healed and Whole"For The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart." Throughout His ministry on earth, Jesus always got to the root of things. He didn’t just give band-aids to people;	21:144	0:261	The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart
1053_(1 Samuel 16:7)	But the Lord said to Samuel: Do not consider his appearance or his height, for I have rejected him. The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart. God can not prejudge 🙏	100:223	0:247	The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart
1067_(1 Samuel 16:7)	"The LORD does not look at the things people look at. People look at the outward appearance, but the LORD looks at the heart."How’s your heart?	1:124	0:143	The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart
1072_(1 Samuel 16:7)	The Heart Above All. The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart	21:144	0:144	The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart
1058_(1 Samuel 16:7)	"But the Lord said to Samuel, 'Do not consider his appearance or his height, for I have rejected him. The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart." Just about sums it up really.	102:225	0:257	The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart
1055_(1 Samuel 16:7)	We can be so grateful that our God sees into our hearts. The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart.	57:180	0:181	The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart
1056_(1 Samuel 16:7)	Goodness, so edgy and dark. I might suggest a walk outside, some time in nature. "The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart." With such concern and strong feelings for yoga teachers, long hair and yoga...	82:205	0:286	The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart
1063_(1 Samuel 16:7)	Who am I? Not judged based on what others see. But the Lord said to Samuel, "Do not consider his appearance or his height, for I have rejected him. The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart."	148:271	0:273	The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart
1068_(1 Samuel 16:7)	But the Lord said to Samuel, "Do not consider his appearance or his height, for I have rejected him. The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart." God reveals the difference between himself and the world here when it comes to judging people. Man looks at appearance. This is why humankind spends so much time, energy, and money to look like a person of status.	101:224	0:440	The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart
1076_(1 Samuel 16:7)	The heart is what you are, in the secrecy of your thoughts & feelings, when nobody knows but God. & what you are at the invisible root matters as much to God as what you are at the visible branch. The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart.	197:320	0:321	The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart
1065_(1 Samuel 16:7)	Don't be deceived: But the Lord said to Samuel, "Do not consider his appearance or his height, for I have rejected him. The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart."Adios Friends.	120:243	0:259	The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart
1051_(1 Samuel 16:7)	Transgenderism is a contradiction of God. God does not make mistakes. God doesn't put people in the 'wrong body'"The LORD does not look at the things people look at. People look at the outward appearance, but the LORD looks at the heart."	113:236	0:238	The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart
1078_(1 Samuel 16:7)	You're nose is beautiful the way God made it. Ignore them."The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart."	59:182	0:184	The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart
1061_(1 Samuel 16:7)	Our value is not based on the standards of this fallen world. Our value is found in Jesus Christ and who He declares us to be! "The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart."	128:251	0:253	The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart
1075_(1 Samuel 16:7)	Transgender people don't believe God made a mistake. We believe the doctor who assigned our gender at birth did. "For The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart." Hope this helps! <3	118:241	0:263	The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart
1069_(1 Samuel 16:7)	With doors that are open you have NO idea what is on the other side. Never judge an opportunity by the quality of a door. I promise you you could miss out on something amazing if you do that. The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart.	192:315	0:316	The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart
1074_(1 Samuel 16:7)	The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart. In the eyes of God, we are beautiful and infinitely valuable. That is because He knows our heart. ❤️	0:123	0:225	The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart
1057_(1 Samuel 16:7)	God Sees. Your Deeper Being. But the Lord said to Samuel, 'Do not consider his appearance or his height, for I have rejected him. The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart.	130:253	0:254	The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart
