instanceID	dataIDs	label_set	non_label
pair_0_(1 Timothy 2:12)	18_(1 Timothy 2:12),3_(1 Timothy 2:12)	1,2,3,4	-
pair_1_(1 Timothy 2:12)	27_(1 Timothy 2:12),24_(1 Timothy 2:12)	1,2,3,4	-
pair_2_(1 Timothy 2:12)	17_(1 Timothy 2:12),9_(1 Timothy 2:12)	1,2,3,4	-
pair_3_(1 Timothy 2:12)	10_(1 Timothy 2:12),9_(1 Timothy 2:12)	1,2,3,4	-
pair_4_(1 Timothy 2:12)	27_(1 Timothy 2:12),15_(1 Timothy 2:12)	1,2,3,4	-
pair_5_(1 Timothy 2:12)	29_(1 Timothy 2:12),3_(1 Timothy 2:12)	1,2,3,4	-
pair_6_(1 Timothy 2:12)	26_(1 Timothy 2:12),14_(1 Timothy 2:12)	1,2,3,4	-
pair_7_(1 Timothy 2:12)	21_(1 Timothy 2:12),28_(1 Timothy 2:12)	1,2,3,4	-
pair_8_(1 Timothy 2:12)	19_(1 Timothy 2:12),13_(1 Timothy 2:12)	1,2,3,4	-
pair_9_(1 Timothy 2:12)	11_(1 Timothy 2:12),25_(1 Timothy 2:12)	1,2,3,4	-
pair_10_(1 Timothy 2:12)	21_(1 Timothy 2:12),5_(1 Timothy 2:12)	1,2,3,4	-
pair_11_(1 Timothy 2:12)	7_(1 Timothy 2:12),15_(1 Timothy 2:12)	1,2,3,4	-
pair_12_(1 Timothy 2:12)	26_(1 Timothy 2:12),9_(1 Timothy 2:12)	1,2,3,4	-
pair_13_(1 Timothy 2:12)	17_(1 Timothy 2:12),13_(1 Timothy 2:12)	1,2,3,4	-
pair_14_(1 Timothy 2:12)	29_(1 Timothy 2:12),9_(1 Timothy 2:12)	1,2,3,4	-
pair_15_(1 Timothy 2:12)	22_(1 Timothy 2:12),15_(1 Timothy 2:12)	1,2,3,4	-
pair_16_(1 Timothy 2:12)	22_(1 Timothy 2:12),28_(1 Timothy 2:12)	1,2,3,4	-
pair_17_(1 Timothy 2:12)	22_(1 Timothy 2:12),14_(1 Timothy 2:12)	1,2,3,4	-
pair_18_(1 Timothy 2:12)	17_(1 Timothy 2:12),24_(1 Timothy 2:12)	1,2,3,4	-
pair_19_(1 Timothy 2:12)	22_(1 Timothy 2:12),1_(1 Timothy 2:12)	1,2,3,4	-
pair_20_(1 Timothy 2:12)	19_(1 Timothy 2:12),24_(1 Timothy 2:12)	1,2,3,4	-
pair_21_(1 Timothy 2:12)	29_(1 Timothy 2:12),2_(1 Timothy 2:12)	1,2,3,4	-
pair_22_(1 Timothy 2:12)	11_(1 Timothy 2:12),28_(1 Timothy 2:12)	1,2,3,4	-
pair_23_(1 Timothy 2:12)	16_(1 Timothy 2:12),28_(1 Timothy 2:12)	1,2,3,4	-
pair_24_(1 Timothy 2:12)	17_(1 Timothy 2:12),20_(1 Timothy 2:12)	1,2,3,4	-
pair_25_(1 Timothy 2:12)	30_(1 Timothy 2:12),20_(1 Timothy 2:12)	1,2,3,4	-
pair_26_(1 Timothy 2:12)	19_(1 Timothy 2:12),9_(1 Timothy 2:12)	1,2,3,4	-
pair_27_(1 Timothy 2:12)	16_(1 Timothy 2:12),3_(1 Timothy 2:12)	1,2,3,4	-
pair_28_(1 Timothy 2:12)	7_(1 Timothy 2:12),23_(1 Timothy 2:12)	1,2,3,4	-
pair_29_(1 Timothy 2:12)	12_(1 Timothy 2:12),24_(1 Timothy 2:12)	1,2,3,4	-
pair_30_(1 Timothy 2:12)	16_(1 Timothy 2:12),23_(1 Timothy 2:12)	1,2,3,4	-
