dataID	context	indices_target_token	indices_target_sentence	lemma
15_(1 Timothy 2:12)	You're wrong. And you're demonstrating your ignorance of God's word as a woman who seems to think she can teach God's Word (always leads to heresy). "Let the woman learn in silence with all subjection. But I suffer not a woman to teach, nor to usurp authority over the man".	202:259	0:274	But I suffer not a woman to teach, nor to usurp authority
2_(1 Timothy 2:12)	Women are not called to be Preachers according to the Word of God. If you go to a Church that has one you need to leave, and find a real Bible believing Church. But I suffer not a woman to teach, nor to usurp authority over the man, but to be in silence. For Adam was first formed, then Eve. And Adam was not deceived, but the woman being deceived was in the transgression.	161:218	0:373	But I suffer not a woman to teach, nor to usurp authority
22_(1 Timothy 2:12)	But I suffer not a woman to teach, nor to usurp authority over the man, but to be in silence. Women, you're definitely going to hell for lecturing us, I'm sorry but those are the rules.	0:57	0:185	But I suffer not a woman to teach, nor to usurp authority
21_(1 Timothy 2:12)	But I suffer not a woman to teach, nor to usurp authority over the man, but to be in silence. Zip your lips lady.	0:57	0:113	But I suffer not a woman to teach, nor to usurp authority
11_(1 Timothy 2:12)	Did your husband give you permission to tweet this? Stay silient lady! "But I suffer not a woman to teach, nor to usurp authority over the man, but to be in silence."	72:129	0:166	But I suffer not a woman to teach, nor to usurp authority
17_(1 Timothy 2:12)	A real woman would know her place and keep her mouth shut. Either you're a good man or you're disobeying your god. "But I suffer not a woman to teach, nor to usurp authority over the man, but to be in silence."	116:173	0:210	But I suffer not a woman to teach, nor to usurp authority
18_(1 Timothy 2:12)	But I suffer not a woman to teach, nor to usurp authority over the man but to be in silence thats a man job jesus choose twelve male apostle no where in scripture tells us that women were call to preach what were written afore time was written for our learning	0:57	0:260	But I suffer not a woman to teach, nor to usurp authority
10_(1 Timothy 2:12)	All women preachers are false prophets but people would rather skip these verses: "But I suffer not a woman to teach, nor to usurp authority over the man". Let your women keep silence in the churches: for it is not permitted unto them to speak.	83:140	0:244	But I suffer not a woman to teach, nor to usurp authority
16_(1 Timothy 2:12)	She calls herself a Conservative Christian. I hate to burst her bubble, but I doubt she's read the Beatitudes. Or how much Christ despised conservatives, the wealthy and greedy. bible: But I suffer not a woman to teach, nor to usurp authority over the man, but to be in silence	185:242	0:277	But I suffer not a woman to teach, nor to usurp authority
7_(1 Timothy 2:12)	Patriarchal Rule is inherent to Nature. Adam was first formed then Eve for him. "But I suffer not a woman to teach, nor to usurp authority over the man, but to be in silence. For Adam was first formed, then Eve."	81:138	0:212	But I suffer not a woman to teach, nor to usurp authority
12_(1 Timothy 2:12)	I grew up Catholic. Women were made from a rib according to your fake god. Let's see what the Bible that you've definitely read has to say about women though... "But I suffer not a woman to teach, nor to usurp authority over the man, but to be in silence."	162:219	0:256	But I suffer not a woman to teach, nor to usurp authority
26_(1 Timothy 2:12)	Considering the same guy wrote "But I suffer not a woman to teach, nor to usurp authority over the man". Yeah, it's an abused verse by people who think reality is oppressive and stats are a conspiracy.	32:89	0:201	But I suffer not a woman to teach, nor to usurp authority
19_(1 Timothy 2:12)	But I suffer not a woman to teach, nor to usurp authority over the man, but to be in silence. Let a woman learn quietly with all submissiveness. I do not permit a woman to teach or to exercise authority over a man; rather, she is to remain quiet.	0:57	0:246	But I suffer not a woman to teach, nor to usurp authority
27_(1 Timothy 2:12)	What saith the scriptures. But I suffer not a woman to teach, nor to usurp authority over the man, but to be in silence. Not to teach. To be silent! So please, be silent.	27:84	0:170	But I suffer not a woman to teach, nor to usurp authority
