instanceID	dataIDs	label_set	non_label
pair_0_(Ecclesiastes 3:1)	941_(Ecclesiastes 3:1),955_(Ecclesiastes 3:1)	1,2,3,4	-
pair_1_(Ecclesiastes 3:1)	938_(Ecclesiastes 3:1),940_(Ecclesiastes 3:1)	1,2,3,4	-
pair_2_(Ecclesiastes 3:1)	943_(Ecclesiastes 3:1),955_(Ecclesiastes 3:1)	1,2,3,4	-
pair_3_(Ecclesiastes 3:1)	949_(Ecclesiastes 3:1),952_(Ecclesiastes 3:1)	1,2,3,4	-
pair_4_(Ecclesiastes 3:1)	944_(Ecclesiastes 3:1),957_(Ecclesiastes 3:1)	1,2,3,4	-
pair_5_(Ecclesiastes 3:1)	937_(Ecclesiastes 3:1),947_(Ecclesiastes 3:1)	1,2,3,4	-
pair_6_(Ecclesiastes 3:1)	946_(Ecclesiastes 3:1),953_(Ecclesiastes 3:1)	1,2,3,4	-
pair_7_(Ecclesiastes 3:1)	937_(Ecclesiastes 3:1),953_(Ecclesiastes 3:1)	1,2,3,4	-
pair_8_(Ecclesiastes 3:1)	957_(Ecclesiastes 3:1),958_(Ecclesiastes 3:1)	1,2,3,4	-
pair_9_(Ecclesiastes 3:1)	932_(Ecclesiastes 3:1),939_(Ecclesiastes 3:1)	1,2,3,4	-
pair_10_(Ecclesiastes 3:1)	938_(Ecclesiastes 3:1),945_(Ecclesiastes 3:1)	1,2,3,4	-
pair_11_(Ecclesiastes 3:1)	936_(Ecclesiastes 3:1),938_(Ecclesiastes 3:1)	1,2,3,4	-
pair_12_(Ecclesiastes 3:1)	946_(Ecclesiastes 3:1),959_(Ecclesiastes 3:1)	1,2,3,4	-
pair_13_(Ecclesiastes 3:1)	940_(Ecclesiastes 3:1),947_(Ecclesiastes 3:1)	1,2,3,4	-
pair_14_(Ecclesiastes 3:1)	938_(Ecclesiastes 3:1),950_(Ecclesiastes 3:1)	1,2,3,4	-
pair_15_(Ecclesiastes 3:1)	947_(Ecclesiastes 3:1),954_(Ecclesiastes 3:1)	1,2,3,4	-
pair_16_(Ecclesiastes 3:1)	945_(Ecclesiastes 3:1),952_(Ecclesiastes 3:1)	1,2,3,4	-
pair_17_(Ecclesiastes 3:1)	942_(Ecclesiastes 3:1),945_(Ecclesiastes 3:1)	1,2,3,4	-
pair_18_(Ecclesiastes 3:1)	938_(Ecclesiastes 3:1),958_(Ecclesiastes 3:1)	1,2,3,4	-
pair_19_(Ecclesiastes 3:1)	943_(Ecclesiastes 3:1),950_(Ecclesiastes 3:1)	1,2,3,4	-
pair_20_(Ecclesiastes 3:1)	944_(Ecclesiastes 3:1),954_(Ecclesiastes 3:1)	1,2,3,4	-
pair_21_(Ecclesiastes 3:1)	942_(Ecclesiastes 3:1),955_(Ecclesiastes 3:1)	1,2,3,4	-
pair_22_(Ecclesiastes 3:1)	933_(Ecclesiastes 3:1),940_(Ecclesiastes 3:1)	1,2,3,4	-
pair_23_(Ecclesiastes 3:1)	934_(Ecclesiastes 3:1),950_(Ecclesiastes 3:1)	1,2,3,4	-
pair_24_(Ecclesiastes 3:1)	952_(Ecclesiastes 3:1),958_(Ecclesiastes 3:1)	1,2,3,4	-
pair_25_(Ecclesiastes 3:1)	932_(Ecclesiastes 3:1),942_(Ecclesiastes 3:1)	1,2,3,4	-
pair_26_(Ecclesiastes 3:1)	934_(Ecclesiastes 3:1),941_(Ecclesiastes 3:1)	1,2,3,4	-
pair_27_(Ecclesiastes 3:1)	939_(Ecclesiastes 3:1),953_(Ecclesiastes 3:1)	1,2,3,4	-
pair_28_(Ecclesiastes 3:1)	933_(Ecclesiastes 3:1),947_(Ecclesiastes 3:1)	1,2,3,4	-
pair_29_(Ecclesiastes 3:1)	953_(Ecclesiastes 3:1),958_(Ecclesiastes 3:1)	1,2,3,4	-
pair_30_(Ecclesiastes 3:1)	931_(Ecclesiastes 3:1),936_(Ecclesiastes 3:1)	1,2,3,4	-
pair_31_(Ecclesiastes 3:1)	952_(Ecclesiastes 3:1),954_(Ecclesiastes 3:1)	1,2,3,4	-
pair_32_(Ecclesiastes 3:1)	951_(Ecclesiastes 3:1),957_(Ecclesiastes 3:1)	1,2,3,4	-
pair_33_(Ecclesiastes 3:1)	955_(Ecclesiastes 3:1),957_(Ecclesiastes 3:1)	1,2,3,4	-
pair_34_(Ecclesiastes 3:1)	931_(Ecclesiastes 3:1),935_(Ecclesiastes 3:1)	1,2,3,4	-
pair_35_(Ecclesiastes 3:1)	938_(Ecclesiastes 3:1),951_(Ecclesiastes 3:1)	1,2,3,4	-
pair_36_(Ecclesiastes 3:1)	947_(Ecclesiastes 3:1),949_(Ecclesiastes 3:1)	1,2,3,4	-
pair_37_(Ecclesiastes 3:1)	935_(Ecclesiastes 3:1),959_(Ecclesiastes 3:1)	1,2,3,4	-
pair_38_(Ecclesiastes 3:1)	939_(Ecclesiastes 3:1),945_(Ecclesiastes 3:1)	1,2,3,4	-
pair_39_(Ecclesiastes 3:1)	940_(Ecclesiastes 3:1),948_(Ecclesiastes 3:1)	1,2,3,4	-
pair_40_(Ecclesiastes 3:1)	934_(Ecclesiastes 3:1),939_(Ecclesiastes 3:1)	1,2,3,4	-
pair_41_(Ecclesiastes 3:1)	951_(Ecclesiastes 3:1),958_(Ecclesiastes 3:1)	1,2,3,4	-
pair_42_(Ecclesiastes 3:1)	935_(Ecclesiastes 3:1),941_(Ecclesiastes 3:1)	1,2,3,4	-
pair_43_(Ecclesiastes 3:1)	943_(Ecclesiastes 3:1),953_(Ecclesiastes 3:1)	1,2,3,4	-
pair_44_(Ecclesiastes 3:1)	936_(Ecclesiastes 3:1),957_(Ecclesiastes 3:1)	1,2,3,4	-
pair_45_(Ecclesiastes 3:1)	941_(Ecclesiastes 3:1),956_(Ecclesiastes 3:1)	1,2,3,4	-
pair_46_(Ecclesiastes 3:1)	934_(Ecclesiastes 3:1),957_(Ecclesiastes 3:1)	1,2,3,4	-
pair_47_(Ecclesiastes 3:1)	940_(Ecclesiastes 3:1),952_(Ecclesiastes 3:1)	1,2,3,4	-
pair_48_(Ecclesiastes 3:1)	932_(Ecclesiastes 3:1),937_(Ecclesiastes 3:1)	1,2,3,4	-
pair_49_(Ecclesiastes 3:1)	954_(Ecclesiastes 3:1),956_(Ecclesiastes 3:1)	1,2,3,4	-
pair_50_(Ecclesiastes 3:1)	938_(Ecclesiastes 3:1),952_(Ecclesiastes 3:1)	1,2,3,4	-
pair_51_(Ecclesiastes 3:1)	932_(Ecclesiastes 3:1),953_(Ecclesiastes 3:1)	1,2,3,4	-
pair_52_(Ecclesiastes 3:1)	941_(Ecclesiastes 3:1),944_(Ecclesiastes 3:1)	1,2,3,4	-
pair_53_(Ecclesiastes 3:1)	940_(Ecclesiastes 3:1),953_(Ecclesiastes 3:1)	1,2,3,4	-
pair_54_(Ecclesiastes 3:1)	932_(Ecclesiastes 3:1),941_(Ecclesiastes 3:1)	1,2,3,4	-
pair_55_(Ecclesiastes 3:1)	937_(Ecclesiastes 3:1),952_(Ecclesiastes 3:1)	1,2,3,4	-
pair_56_(Ecclesiastes 3:1)	943_(Ecclesiastes 3:1),958_(Ecclesiastes 3:1)	1,2,3,4	-
pair_57_(Ecclesiastes 3:1)	940_(Ecclesiastes 3:1),956_(Ecclesiastes 3:1)	1,2,3,4	-
pair_58_(Ecclesiastes 3:1)	948_(Ecclesiastes 3:1),957_(Ecclesiastes 3:1)	1,2,3,4	-
pair_59_(Ecclesiastes 3:1)	957_(Ecclesiastes 3:1),960_(Ecclesiastes 3:1)	1,2,3,4	-
pair_60_(Ecclesiastes 3:1)	943_(Ecclesiastes 3:1),948_(Ecclesiastes 3:1)	1,2,3,4	-
pair_61_(Ecclesiastes 3:1)	934_(Ecclesiastes 3:1),951_(Ecclesiastes 3:1)	1,2,3,4	-
pair_62_(Ecclesiastes 3:1)	932_(Ecclesiastes 3:1),943_(Ecclesiastes 3:1)	1,2,3,4	-
pair_63_(Ecclesiastes 3:1)	931_(Ecclesiastes 3:1),944_(Ecclesiastes 3:1)	1,2,3,4	-
pair_64_(Ecclesiastes 3:1)	934_(Ecclesiastes 3:1),955_(Ecclesiastes 3:1)	1,2,3,4	-
pair_65_(Ecclesiastes 3:1)	948_(Ecclesiastes 3:1),949_(Ecclesiastes 3:1)	1,2,3,4	-
pair_66_(Ecclesiastes 3:1)	941_(Ecclesiastes 3:1),953_(Ecclesiastes 3:1)	1,2,3,4	-
pair_67_(Ecclesiastes 3:1)	931_(Ecclesiastes 3:1),956_(Ecclesiastes 3:1)	1,2,3,4	-
pair_68_(Ecclesiastes 3:1)	950_(Ecclesiastes 3:1),959_(Ecclesiastes 3:1)	1,2,3,4	-
pair_69_(Ecclesiastes 3:1)	943_(Ecclesiastes 3:1),945_(Ecclesiastes 3:1)	1,2,3,4	-
