dataID	context	indices_target_token	indices_target_sentence	lemma
936_(Ecclesiastes 3:1)	IF YOU DO KNOW THE BIBLE AND ARE NOT USING IT SELECTIVELY, WHAT DOES THIS MEAN?"For everything there is a season, and a time for every matter under heaven:"WHY DO SEEM TO HAVE A PROBLEM WITH THAT VERSE & FORCING YOUR UNWHOLESOME WILL ON US AND THE WORLD?	80:112	0:254	For everything there is a season
935_(Ecclesiastes 3:1)	Time And Purpose "FOR EVERYTHING there is a season and a time for every matter or purpose under heaven." It is one thing to discover your purpose, it's another to know the timing of your purpose.	18:50	0:195	For everything there is a season
942_(Ecclesiastes 3:1)	God is never LATE, because He is the controller of times and seasons. Your breakthrough cannot be late, if it is delayed, it is being prepared for a perfect time and season. For everything there is a season, and a time for every matter under heaven 😍👇 😍👇 😍👇	174:206	0:257	For everything there is a season
934_(Ecclesiastes 3:1)	Pray & trust God. Even when it doesn't make sense to U about where U are or where you're going. 1. For everything there is a season, a time for every purpose under heaven. We go thru seasons of preparation for purpose. The Lord is your help & your guide.	99:131	0:254	For everything there is a season
938_(Ecclesiastes 3:1)	"For everything there is a season, and a time for every matter under heaven:"Thank you JESUS 😍🙏🌌🙏 😍🙌🌌🙏 ❤️ never loose hope always never give up and always persevere JEHOVAH GOD almighty is with us all 😍🙏🌌🙏.	1:33	0:206	For everything there is a season
954_(Ecclesiastes 3:1)	Ecclesiastes 3:1 says "For everything there is a season, and a time for every matter under heaven:" And yet people think that we can create art involving such things?	23:55	0:166	For everything there is a season
941_(Ecclesiastes 3:1)	"For everything there is a season, and a time for every matter under heaven... a time to break down, and a time to build up... a time to weep, and a time to laugh"4 years ago, a lot of us wept with Hanbin, today we are delighted with new converts. 😍	1:33	0:249	For everything there is a season
945_(Ecclesiastes 3:1)	Ecclesiastes tells us that God is a God of timing: "For everything there is a season, and a time for every matter under heaven"	52:84	0:127	For everything there is a season
943_(Ecclesiastes 3:1)	Sunday Reminder: Give up your timeline in exchange for God's timeline. It's not your responsibility to know when it will happen, only to trust that He will make it happen. "For everything there is a season, and a time for every matter under heaven:"	173:205	0:249	For everything there is a season
950_(Ecclesiastes 3:1)	"For everything there is a season, and a time for every matter under heaven" ✨ 😍 God has been so good to me. Thank you, Lord! Congratulations to all March 2023 CSE Passer	1:33	0:170	For everything there is a season
932_(Ecclesiastes 3:1)	Everyone and everything has a season. And your seasons and timings are not identical to other people's. "For everything there is a season, and a time for every matter under heaven:"	105:137	0:181	For everything there is a season
953_(Ecclesiastes 3:1)	Today at Bible study we learn about our time & God ( Kairos ) time. "For everything there is a season, and a time for every matter under heaven" Nothing can change your set purpose. Your set time & set purpose is under God authority.	69:101	0:233	For everything there is a season
959_(Ecclesiastes 3:1)	"For everything there is a season, and a time for every matter under heaven" A reckoning is coming sure as night follows day.	1:33	0:125	For everything there is a season
949_(Ecclesiastes 3:1)	"For everything there is a season, and a time for every matter under heaven" It's just a matter of time. Just trust the process!	1:33	0:128	For everything there is a season
933_(Ecclesiastes 3:1)	"For everything there is a season, and a time for every matter under heaven: a time of war, and a time of peace."When the council of Elohim by their Divine counsel declare that God wants to make us "a new sharp threshing instrument having teeth: [that will] thresh the mountains", it is an indicator that we are in a season of warfare because the kingdom advances by conquest. But to war effectively you need strategies and wise counsel. Join us at the threshing floor as God gives us direction for the season. It's 2 days to go.	1:33	0:529	For everything there is a season
948_(Ecclesiastes 3:1)	"For everything there is a season, and a time..."What time is it? What season is it? Am laughing & joyful? Is my joy due to my salvation or selfishness? Am I in distress or turmoil? Is my drama self induced or consequence of living Godly?	1:33	0:238	For everything there is a season
937_(Ecclesiastes 3:1)	The time. "For everything there is a season, and a time for every matter under heaven". This word from God is so powerful that it gives meaning to purpose and existence. Understanding the TIME of your studentship. Stuentship is such an important phase of ones live that is engulfed with so much good things if properly harnessed but you may not see farther if you are bond by religion. By religion I mean the norm of going to school, studying, getting a good grade and graduating with a distinction . Just look around your varsity community. Can you see opportunities imbedded ? Check my next post tomorrow by 8pm . I will be sharing five secrets on how you can utilize your student days and be financially viable.	11:43	0:714	For everything there is a season
944_(Ecclesiastes 3:1)	For everything there is a season, and a time for every matter under heaven. Thank you my God for being so good!	0:32	0:111	For everything there is a season
