instanceID	dataIDs	label_set	non_label
pair_0_(Ephesians 5:25)	739_(Ephesians 5:25),735_(Ephesians 5:25)	1,2,3,4	-
pair_1_(Ephesians 5:25)	748_(Ephesians 5:25),728_(Ephesians 5:25)	1,2,3,4	-
pair_2_(Ephesians 5:25)	726_(Ephesians 5:25),742_(Ephesians 5:25)	1,2,3,4	-
pair_3_(Ephesians 5:25)	751_(Ephesians 5:25),741_(Ephesians 5:25)	1,2,3,4	-
pair_4_(Ephesians 5:25)	724_(Ephesians 5:25),736_(Ephesians 5:25)	1,2,3,4	-
pair_5_(Ephesians 5:25)	739_(Ephesians 5:25),728_(Ephesians 5:25)	1,2,3,4	-
pair_6_(Ephesians 5:25)	730_(Ephesians 5:25),742_(Ephesians 5:25)	1,2,3,4	-
pair_7_(Ephesians 5:25)	751_(Ephesians 5:25),742_(Ephesians 5:25)	1,2,3,4	-
pair_8_(Ephesians 5:25)	748_(Ephesians 5:25),747_(Ephesians 5:25)	1,2,3,4	-
pair_9_(Ephesians 5:25)	724_(Ephesians 5:25),728_(Ephesians 5:25)	1,2,3,4	-
pair_10_(Ephesians 5:25)	729_(Ephesians 5:25),741_(Ephesians 5:25)	1,2,3,4	-
pair_11_(Ephesians 5:25)	723_(Ephesians 5:25),722_(Ephesians 5:25)	1,2,3,4	-
pair_12_(Ephesians 5:25)	738_(Ephesians 5:25),742_(Ephesians 5:25)	1,2,3,4	-
pair_13_(Ephesians 5:25)	729_(Ephesians 5:25),733_(Ephesians 5:25)	1,2,3,4	-
pair_14_(Ephesians 5:25)	738_(Ephesians 5:25),741_(Ephesians 5:25)	1,2,3,4	-
pair_15_(Ephesians 5:25)	739_(Ephesians 5:25),737_(Ephesians 5:25)	1,2,3,4	-
pair_16_(Ephesians 5:25)	732_(Ephesians 5:25),725_(Ephesians 5:25)	1,2,3,4	-
pair_17_(Ephesians 5:25)	739_(Ephesians 5:25),740_(Ephesians 5:25)	1,2,3,4	-
pair_18_(Ephesians 5:25)	739_(Ephesians 5:25),736_(Ephesians 5:25)	1,2,3,4	-
pair_19_(Ephesians 5:25)	723_(Ephesians 5:25),735_(Ephesians 5:25)	1,2,3,4	-
pair_20_(Ephesians 5:25)	750_(Ephesians 5:25),733_(Ephesians 5:25)	1,2,3,4	-
pair_21_(Ephesians 5:25)	738_(Ephesians 5:25),747_(Ephesians 5:25)	1,2,3,4	-
pair_22_(Ephesians 5:25)	723_(Ephesians 5:25),743_(Ephesians 5:25)	1,2,3,4	-
pair_23_(Ephesians 5:25)	748_(Ephesians 5:25),743_(Ephesians 5:25)	1,2,3,4	-
pair_24_(Ephesians 5:25)	730_(Ephesians 5:25),736_(Ephesians 5:25)	1,2,3,4	-
pair_25_(Ephesians 5:25)	730_(Ephesians 5:25),746_(Ephesians 5:25)	1,2,3,4	-
pair_26_(Ephesians 5:25)	751_(Ephesians 5:25),743_(Ephesians 5:25)	1,2,3,4	-
pair_27_(Ephesians 5:25)	726_(Ephesians 5:25),741_(Ephesians 5:25)	1,2,3,4	-
pair_28_(Ephesians 5:25)	738_(Ephesians 5:25),722_(Ephesians 5:25)	1,2,3,4	-
pair_29_(Ephesians 5:25)	731_(Ephesians 5:25),735_(Ephesians 5:25)	1,2,3,4	-
pair_30_(Ephesians 5:25)	745_(Ephesians 5:25),727_(Ephesians 5:25)	1,2,3,4	-
pair_31_(Ephesians 5:25)	729_(Ephesians 5:25),725_(Ephesians 5:25)	1,2,3,4	-
pair_32_(Ephesians 5:25)	726_(Ephesians 5:25),737_(Ephesians 5:25)	1,2,3,4	-
pair_33_(Ephesians 5:25)	749_(Ephesians 5:25),740_(Ephesians 5:25)	1,2,3,4	-
pair_34_(Ephesians 5:25)	732_(Ephesians 5:25),743_(Ephesians 5:25)	1,2,3,4	-
pair_35_(Ephesians 5:25)	723_(Ephesians 5:25),741_(Ephesians 5:25)	1,2,3,4	-
pair_36_(Ephesians 5:25)	724_(Ephesians 5:25),743_(Ephesians 5:25)	1,2,3,4	-
pair_37_(Ephesians 5:25)	749_(Ephesians 5:25),743_(Ephesians 5:25)	1,2,3,4	-
pair_38_(Ephesians 5:25)	751_(Ephesians 5:25),746_(Ephesians 5:25)	1,2,3,4	-
pair_39_(Ephesians 5:25)	738_(Ephesians 5:25),736_(Ephesians 5:25)	1,2,3,4	-
pair_40_(Ephesians 5:25)	739_(Ephesians 5:25),747_(Ephesians 5:25)	1,2,3,4	-
pair_41_(Ephesians 5:25)	745_(Ephesians 5:25),746_(Ephesians 5:25)	1,2,3,4	-
pair_42_(Ephesians 5:25)	750_(Ephesians 5:25),742_(Ephesians 5:25)	1,2,3,4	-
pair_43_(Ephesians 5:25)	739_(Ephesians 5:25),725_(Ephesians 5:25)	1,2,3,4	-
pair_44_(Ephesians 5:25)	729_(Ephesians 5:25),734_(Ephesians 5:25)	1,2,3,4	-
pair_45_(Ephesians 5:25)	724_(Ephesians 5:25),725_(Ephesians 5:25)	1,2,3,4	-
pair_46_(Ephesians 5:25)	749_(Ephesians 5:25),742_(Ephesians 5:25)	1,2,3,4	-
pair_47_(Ephesians 5:25)	745_(Ephesians 5:25),736_(Ephesians 5:25)	1,2,3,4	-
pair_48_(Ephesians 5:25)	749_(Ephesians 5:25),746_(Ephesians 5:25)	1,2,3,4	-
pair_49_(Ephesians 5:25)	738_(Ephesians 5:25),735_(Ephesians 5:25)	1,2,3,4	-
pair_50_(Ephesians 5:25)	732_(Ephesians 5:25),734_(Ephesians 5:25)	1,2,3,4	-
pair_51_(Ephesians 5:25)	729_(Ephesians 5:25),728_(Ephesians 5:25)	1,2,3,4	-
pair_52_(Ephesians 5:25)	723_(Ephesians 5:25),742_(Ephesians 5:25)	1,2,3,4	-
pair_53_(Ephesians 5:25)	745_(Ephesians 5:25),747_(Ephesians 5:25)	1,2,3,4	-
pair_54_(Ephesians 5:25)	730_(Ephesians 5:25),722_(Ephesians 5:25)	1,2,3,4	-
pair_55_(Ephesians 5:25)	726_(Ephesians 5:25),725_(Ephesians 5:25)	1,2,3,4	-
pair_56_(Ephesians 5:25)	751_(Ephesians 5:25),728_(Ephesians 5:25)	1,2,3,4	-
pair_57_(Ephesians 5:25)	749_(Ephesians 5:25),727_(Ephesians 5:25)	1,2,3,4	-
pair_58_(Ephesians 5:25)	745_(Ephesians 5:25),734_(Ephesians 5:25)	1,2,3,4	-
pair_59_(Ephesians 5:25)	729_(Ephesians 5:25),736_(Ephesians 5:25)	1,2,3,4	-
pair_60_(Ephesians 5:25)	729_(Ephesians 5:25),746_(Ephesians 5:25)	1,2,3,4	-
pair_61_(Ephesians 5:25)	751_(Ephesians 5:25),735_(Ephesians 5:25)	1,2,3,4	-
pair_62_(Ephesians 5:25)	748_(Ephesians 5:25),734_(Ephesians 5:25)	1,2,3,4	-
pair_63_(Ephesians 5:25)	724_(Ephesians 5:25),734_(Ephesians 5:25)	1,2,3,4	-
pair_64_(Ephesians 5:25)	732_(Ephesians 5:25),733_(Ephesians 5:25)	1,2,3,4	-
pair_65_(Ephesians 5:25)	751_(Ephesians 5:25),736_(Ephesians 5:25)	1,2,3,4	-
pair_66_(Ephesians 5:25)	732_(Ephesians 5:25),727_(Ephesians 5:25)	1,2,3,4	-
pair_67_(Ephesians 5:25)	730_(Ephesians 5:25),747_(Ephesians 5:25)	1,2,3,4	-
pair_68_(Ephesians 5:25)	730_(Ephesians 5:25),741_(Ephesians 5:25)	1,2,3,4	-
pair_69_(Ephesians 5:25)	750_(Ephesians 5:25),743_(Ephesians 5:25)	1,2,3,4	-
