dataID	context	indices_target_token	indices_target_sentence	lemma
726_(Ephesians 5:25)	The Bible teaches, "Husbands, love your wives, as Christ loved the church" and "teach the young women to love their husbands". Love in marriage can be deeper and more selfless than in any other relationship. It is this type of love that Jesus expects of HIS followers.	20:73	0:268	Husbands, love your wives, as Christ loved the church
745_(Ephesians 5:25)	"Husbands, love your wives, as Christ loved the church and gave himself up for her" So I'm the context of marriage the matter of love does not really conceren woman but it is the define assignment of A man to love his wife unconditionally.	1:54	0:239	Husbands, love your wives, as Christ loved the church
732_(Ephesians 5:25)	Ooga Booga I hope people aren't using the Bible to justify abuse. Husbands, love your wives, as Christ loved the church. Seek the highest good for her and surround her with a caring, unselfish love	66:119	0:197	Husbands, love your wives, as Christ loved the church
744_(Ephesians 5:25)	Ephesians 5:25 is the key to you getting the respect and honor you want from your woman. "Husbands, love your wives, as Christ loved the church and gave himself for her". Christ refers to the church as his BRIDE. He SACRIFICED his life for his bride (the church). This is the standard.	90:143	0:285	Husbands, love your wives, as Christ loved the church
730_(Ephesians 5:25)	Husbands, love your wives, as Christ loved the church and gave Himself up for her. Husbands are called to serve their wives and family. Men, time to start making them sammiches.	0:53	0:177	Husbands, love your wives, as Christ loved the church
739_(Ephesians 5:25)	Not just that, Ephesians 5:25 says, "Husbands, love your wives, as Christ loved the church, and gave himself for it." Any husband who really loves his wife the way Paul commanded him to under inspiration of the Holy Spirit (2 Tim 3:16), he would be willing to die for her.	37:90	0:272	Husbands, love your wives, as Christ loved the church
738_(Ephesians 5:25)	I love being married to an Ephesians 5 man. "Husbands, love your wives, as Christ loved the church and gave Himself for her"	45:98	0:124	Husbands, love your wives, as Christ loved the church
748_(Ephesians 5:25)	For the record, that guy isn't speaking for me. I've been married for many decades and counseled many couples. This is the standard:Husbands, love your wives, as Christ loved the church, and gave himself for it; Forcing a spouse to bed isn't Biblical.	132:185	0:251	Husbands, love your wives, as Christ loved the church
724_(Ephesians 5:25)	Husbands, love your wives, as Christ loved the church, and gave himself for it. 2x, a wife is a true gift from GOD. What a blessing baby. Don't you ever give up on each other. You keep going. Congratulations. Love yall, GOD bless you	0:53	0:233	Husbands, love your wives, as Christ loved the church
751_(Ephesians 5:25)	Reason why men are mostly the first to say the word I LOVE YOU. Husbands, love your wives, as Christ loved the church and gave Himself up for her; So this means, men are programmed to love at first, even if is for real or deceitfully.	64:117	0:234	Husbands, love your wives, as Christ loved the church
750_(Ephesians 5:25)	Husbands, love your wives, as Christ loved the church and gave himself up for her. Husbands are to have sacrificial love for their wives, so, it's not misogyny.	0:53	0:160	Husbands, love your wives, as Christ loved the church
