instanceID	dataIDs	label_set	non_label
pair_0_(Exodus 20:3)	1154_(Exodus 20:3),1156_(Exodus 20:3)	1,2,3,4	-
pair_1_(Exodus 20:3)	1149_(Exodus 20:3),1161_(Exodus 20:3)	1,2,3,4	-
pair_2_(Exodus 20:3)	1153_(Exodus 20:3),1159_(Exodus 20:3)	1,2,3,4	-
pair_3_(Exodus 20:3)	1158_(Exodus 20:3),1165_(Exodus 20:3)	1,2,3,4	-
pair_4_(Exodus 20:3)	1162_(Exodus 20:3),1168_(Exodus 20:3)	1,2,3,4	-
pair_5_(Exodus 20:3)	1157_(Exodus 20:3),1160_(Exodus 20:3)	1,2,3,4	-
pair_6_(Exodus 20:3)	1156_(Exodus 20:3),1162_(Exodus 20:3)	1,2,3,4	-
pair_7_(Exodus 20:3)	1155_(Exodus 20:3),1156_(Exodus 20:3)	1,2,3,4	-
pair_8_(Exodus 20:3)	1152_(Exodus 20:3),1156_(Exodus 20:3)	1,2,3,4	-
pair_9_(Exodus 20:3)	1150_(Exodus 20:3),1154_(Exodus 20:3)	1,2,3,4	-
pair_10_(Exodus 20:3)	1145_(Exodus 20:3),1156_(Exodus 20:3)	1,2,3,4	-
pair_11_(Exodus 20:3)	1144_(Exodus 20:3),1148_(Exodus 20:3)	1,2,3,4	-
pair_12_(Exodus 20:3)	1156_(Exodus 20:3),1164_(Exodus 20:3)	1,2,3,4	-
pair_13_(Exodus 20:3)	1144_(Exodus 20:3),1165_(Exodus 20:3)	1,2,3,4	-
pair_14_(Exodus 20:3)	1151_(Exodus 20:3),1157_(Exodus 20:3)	1,2,3,4	-
pair_15_(Exodus 20:3)	1156_(Exodus 20:3),1157_(Exodus 20:3)	1,2,3,4	-
pair_16_(Exodus 20:3)	1141_(Exodus 20:3),1147_(Exodus 20:3)	1,2,3,4	-
pair_17_(Exodus 20:3)	1165_(Exodus 20:3),1166_(Exodus 20:3)	1,2,3,4	-
pair_18_(Exodus 20:3)	1149_(Exodus 20:3),1152_(Exodus 20:3)	1,2,3,4	-
pair_19_(Exodus 20:3)	1169_(Exodus 20:3),1170_(Exodus 20:3)	1,2,3,4	-
pair_20_(Exodus 20:3)	1165_(Exodus 20:3),1168_(Exodus 20:3)	1,2,3,4	-
pair_21_(Exodus 20:3)	1145_(Exodus 20:3),1170_(Exodus 20:3)	1,2,3,4	-
pair_22_(Exodus 20:3)	1142_(Exodus 20:3),1151_(Exodus 20:3)	1,2,3,4	-
pair_23_(Exodus 20:3)	1148_(Exodus 20:3),1167_(Exodus 20:3)	1,2,3,4	-
pair_24_(Exodus 20:3)	1146_(Exodus 20:3),1169_(Exodus 20:3)	1,2,3,4	-
pair_25_(Exodus 20:3)	1155_(Exodus 20:3),1158_(Exodus 20:3)	1,2,3,4	-
pair_26_(Exodus 20:3)	1148_(Exodus 20:3),1154_(Exodus 20:3)	1,2,3,4	-
pair_27_(Exodus 20:3)	1150_(Exodus 20:3),1157_(Exodus 20:3)	1,2,3,4	-
pair_28_(Exodus 20:3)	1145_(Exodus 20:3),1166_(Exodus 20:3)	1,2,3,4	-
pair_29_(Exodus 20:3)	1144_(Exodus 20:3),1163_(Exodus 20:3)	1,2,3,4	-
pair_30_(Exodus 20:3)	1150_(Exodus 20:3),1168_(Exodus 20:3)	1,2,3,4	-
pair_31_(Exodus 20:3)	1144_(Exodus 20:3),1150_(Exodus 20:3)	1,2,3,4	-
pair_32_(Exodus 20:3)	1142_(Exodus 20:3),1161_(Exodus 20:3)	1,2,3,4	-
pair_33_(Exodus 20:3)	1164_(Exodus 20:3),1170_(Exodus 20:3)	1,2,3,4	-
pair_34_(Exodus 20:3)	1143_(Exodus 20:3),1162_(Exodus 20:3)	1,2,3,4	-
pair_35_(Exodus 20:3)	1164_(Exodus 20:3),1165_(Exodus 20:3)	1,2,3,4	-
pair_36_(Exodus 20:3)	1152_(Exodus 20:3),1160_(Exodus 20:3)	1,2,3,4	-
pair_37_(Exodus 20:3)	1140_(Exodus 20:3),1158_(Exodus 20:3)	1,2,3,4	-
pair_38_(Exodus 20:3)	1147_(Exodus 20:3),1162_(Exodus 20:3)	1,2,3,4	-
pair_39_(Exodus 20:3)	1146_(Exodus 20:3),1165_(Exodus 20:3)	1,2,3,4	-
pair_40_(Exodus 20:3)	1144_(Exodus 20:3),1151_(Exodus 20:3)	1,2,3,4	-
pair_41_(Exodus 20:3)	1160_(Exodus 20:3),1164_(Exodus 20:3)	1,2,3,4	-
pair_42_(Exodus 20:3)	1156_(Exodus 20:3),1163_(Exodus 20:3)	1,2,3,4	-
pair_43_(Exodus 20:3)	1144_(Exodus 20:3),1160_(Exodus 20:3)	1,2,3,4	-
pair_44_(Exodus 20:3)	1148_(Exodus 20:3),1152_(Exodus 20:3)	1,2,3,4	-
pair_45_(Exodus 20:3)	1140_(Exodus 20:3),1150_(Exodus 20:3)	1,2,3,4	-
pair_46_(Exodus 20:3)	1144_(Exodus 20:3),1164_(Exodus 20:3)	1,2,3,4	-
pair_47_(Exodus 20:3)	1146_(Exodus 20:3),1170_(Exodus 20:3)	1,2,3,4	-
pair_48_(Exodus 20:3)	1146_(Exodus 20:3),1163_(Exodus 20:3)	1,2,3,4	-
pair_49_(Exodus 20:3)	1141_(Exodus 20:3),1168_(Exodus 20:3)	1,2,3,4	-
pair_50_(Exodus 20:3)	1159_(Exodus 20:3),1164_(Exodus 20:3)	1,2,3,4	-
pair_51_(Exodus 20:3)	1140_(Exodus 20:3),1151_(Exodus 20:3)	1,2,3,4	-
pair_52_(Exodus 20:3)	1141_(Exodus 20:3),1165_(Exodus 20:3)	1,2,3,4	-
pair_53_(Exodus 20:3)	1146_(Exodus 20:3),1161_(Exodus 20:3)	1,2,3,4	-
pair_54_(Exodus 20:3)	1157_(Exodus 20:3),1170_(Exodus 20:3)	1,2,3,4	-
pair_55_(Exodus 20:3)	1160_(Exodus 20:3),1166_(Exodus 20:3)	1,2,3,4	-
pair_56_(Exodus 20:3)	1147_(Exodus 20:3),1163_(Exodus 20:3)	1,2,3,4	-
pair_57_(Exodus 20:3)	1164_(Exodus 20:3),1168_(Exodus 20:3)	1,2,3,4	-
pair_58_(Exodus 20:3)	1152_(Exodus 20:3),1158_(Exodus 20:3)	1,2,3,4	-
pair_59_(Exodus 20:3)	1144_(Exodus 20:3),1145_(Exodus 20:3)	1,2,3,4	-
pair_60_(Exodus 20:3)	1142_(Exodus 20:3),1154_(Exodus 20:3)	1,2,3,4	-
pair_61_(Exodus 20:3)	1142_(Exodus 20:3),1156_(Exodus 20:3)	1,2,3,4	-
pair_62_(Exodus 20:3)	1140_(Exodus 20:3),1152_(Exodus 20:3)	1,2,3,4	-
pair_63_(Exodus 20:3)	1150_(Exodus 20:3),1166_(Exodus 20:3)	1,2,3,4	-
pair_64_(Exodus 20:3)	1143_(Exodus 20:3),1159_(Exodus 20:3)	1,2,3,4	-
pair_65_(Exodus 20:3)	1167_(Exodus 20:3),1170_(Exodus 20:3)	1,2,3,4	-
pair_66_(Exodus 20:3)	1145_(Exodus 20:3),1159_(Exodus 20:3)	1,2,3,4	-
pair_67_(Exodus 20:3)	1153_(Exodus 20:3),1167_(Exodus 20:3)	1,2,3,4	-
