dataID	context	indices_target_token	indices_target_sentence	lemma
1168_(Exodus 20:3)	You shall have no other gods before me. Ex 20:3 means you shall not worship imaginary gods that don't exist. Many Bible verses say that God said God is the only God who exists.	0:38	0:176	You shall have no other gods before me
1147_(Exodus 20:3)	Christians have 10 commandments: 1. You shall have no other gods before me; 2. You shall not make for yourself an idol or worship any other gods; 3. ... . I truly believe that Christianity has taken a different direction due to the influence of other people's beliefs and how it's portrayed. What I mean is that some people have interpreted it in their own way, like the LGBTQ+ movement, which has complicated matters.	36:74	0:418	You shall have no other gods before me
1164_(Exodus 20:3)	The 1st commandment says it clearly for all who doubt. Exodus 20: 3. You shall have no other gods before me	69:107	0:107	You shall have no other gods before me
1157_(Exodus 20:3)	"You shall have no other gods before me." Exodus 20:3. Idolizing anything besides God himself is a sin. Wake up brother. Your lord and savor loves you and will welcome you back into his arms when you repent and turn to him.	1:39	0:223	You shall have no other gods before me
1162_(Exodus 20:3)	The very first of the Ten Commandments: You shall have no other gods before me. For most of my life I never understood why this was the first. Its so very easy to understand though. Just listen to Atheism's biggest spokesperson.	40:78	0:228	You shall have no other gods before me
1146_(Exodus 20:3)	The Unknown God: God's First Commandment is, "You shall have no other gods before Me." Yet many today do not clearly understand who and what God really is.	46:84	0:155	You shall have no other gods before me
1143_(Exodus 20:3)	Even the Bible says there's more than one. 1st Commandment "You shall have no other Gods before me". It doesn't say to recognize I am the only God or the one true god, but that I am the most important god.	60:98	0:205	You shall have no other gods before me
1144_(Exodus 20:3)	Exodus 20:3 - God says: You shall have no other gods before Me. 😍 😍😉	24:62	0:68	You shall have no other gods before me
1166_(Exodus 20:3)	Most Christians (not all) haven't read the Old Testament. Exodus 20:1-3 And God spoke all these words, saying, "I am the Lord your God, who brought you out of the land of Egypt, out of the house of slavery. You shall have no other gods before me." Why we Jews don't worship Jesus	207:245	0:279	You shall have no other gods before me
1145_(Exodus 20:3)	Your idea that it doesn't 'hurt' God to worship un-real entities, also, can be dismissed because of the very first of the 10 commandments. You shall have no other gods before Me. Why? If it doesn't offend Him, why would he give such an order?	139:177	0:242	You shall have no other gods before me
1154_(Exodus 20:3)	The Commandments can be found a.o. in Exodus 20 in the Bible. I have seen them listed in various order. For the sake of clarity, let me reproduce them as found on the Hope and Truth website. 1. You shall have no other Gods before Me.	194:232	0:233	You shall have no other gods before me
1152_(Exodus 20:3)	That's the thing...Not even God says he's the only god. He says "you shall have no other gods before Me," He wiped the worshippers of Muloch(?) for human sacrifice from the earth. He is the head honcho. The big kahuna. The "King of kings," Reading is hard, I know. Hehheh.	65:103	0:272	You shall have no other gods before me
1150_(Exodus 20:3)	Does this judge also refuse to perform marriages for people of different religions other than Christianity, since one of the Ten Commandments is "you shall have no other gods before me"? Or is she cherry-picking? Homosexuality didn't even make the Biblical top 10 list of sins.	146:184	0:277	You shall have no other gods before me
1165_(Exodus 20:3)	Did not God say, You shall have no other gods before me? Why are you idolising someone who doesn't have the power to intercede for you? Is he the Messiah?	17:55	0:154	You shall have no other gods before me
1151_(Exodus 20:3)	How many people will not go to haven because these two commandments? "You shall have no other gods before me".	70:108	0:110	You shall have no other gods before me
1163_(Exodus 20:3)	How can you say the lord is the center of the universe when a guy like Trump is the front runner of your party? And half of republicans worship him like a God. You shall have no other gods before me. The first comment.	160:198	0:218	You shall have no other gods before me
1156_(Exodus 20:3)	Exodus 20 3 states... "You shall have no other gods before me." That acknowledges the existence of other gods. There are other places in the bible where it says similar.	23:61	0:169	You shall have no other gods before me
1148_(Exodus 20:3)	The Lord said, you shall have no other Gods before me. I'm seeing far too many Christians treat their race as divine.	15:53	0:117	You shall have no other gods before me
1142_(Exodus 20:3)	God's First Commandment is, You shall have no other gods before Me. Yet many today do not clearly understand who and what God really is. Here is the plain truth from the Bible!	28:66	0:176	You shall have no other gods before me
1169_(Exodus 20:3)	You shall have no other gods before me. You shall not make any graven images; you shall not bow down to them or serve them. It's idolatry. Christian idolatry doesn't justify Muslim idolatry. They are both a problem.	0:38	0:215	You shall have no other gods before me
1160_(Exodus 20:3)	Took until I was 35 before I realized that "You shall have no other gods before me." Actually means: Yes, there are other Gods, but I'm the main one, so don't be worshipping them over me. The entire Old testament assumes there are actually other valid Gods you could pick...	44:82	0:274	You shall have no other gods before me
1153_(Exodus 20:3)	RULE #1: You shall have no other Gods before me. Jesus - Hold my wine. What could possibly go wrong?	9:47	0:100	You shall have no other gods before me
1159_(Exodus 20:3)	And NO I don't believe in your god #traitortrump the DEMONIC FORCE YOU WORSHIP. Commandment 1 "YOU SHALL HAVE NO OTHER gods before Me"Exodus 20:3.#GETWOKE #STAYWOKE	95:133	0:164	You shall have no other gods before me
1139_(Exodus 20:3)	The Bible is clear in its teachings that worship is to be directed solely towards God. Exodus 20:3-5a states, You shall have no other gods before me. You shall not make for yourself a carved image	110:148	0:196	You shall have no other gods before me
1158_(Exodus 20:3)	What they were doing was just obeying what God says, which is, "You shall have no other gods before me."	64:102	0:104	You shall have no other gods before me
1167_(Exodus 20:3)	our own Bible says, You shall have no other gods before me. You can pretend that this means false gods but it isnt what the original authors meant. They knew other gods existed, they just thought their god ruled over them. It is highly unlikely any gods exist.	20:58	0:260	You shall have no other gods before me
1155_(Exodus 20:3)	With your understanding of God, and God's commandment that you shall have no other gods before me, and your claim that God is unchanging, why was it not a sin for the disciples to worship Jesus at the end of Matthew?	59:97	0:216	You shall have no other gods before me
1141_(Exodus 20:3)	Be careful what you make your god, be it lust, or greed... or pride. You shall have no other gods before me.	69:107	0:108	You shall have no other gods before me
1161_(Exodus 20:3)	You shall have no other gods before me doesn't say there aren't other Gods which he has the character space to do so, it says worship him first. Try some reading comprehension.	0:38	0:176	You shall have no other gods before me
1140_(Exodus 20:3)	1. You shall have no other gods before Me; 2. You shall not make idols; 3. You shall not take the name of the LORD your God in vain; 4. Remember the Sabbath day, to keep it holy; 5. Honor your father and your mother.	3:41	0:216	You shall have no other gods before me
1149_(Exodus 20:3)	1. You shall have no other Gods before me. Okay, so which god are you telling the Jewish, Muslim, Atheist, and Hindu kids they have to worship?	3:41	0:143	You shall have no other gods before me
