instanceID	dataIDs	label_set	non_label
pair_0_(Genesis 1:1)	284_(Genesis 1:1),271_(Genesis 1:1)	1,2,3,4	-
pair_1_(Genesis 1:1)	274_(Genesis 1:1),279_(Genesis 1:1)	1,2,3,4	-
pair_2_(Genesis 1:1)	269_(Genesis 1:1),290_(Genesis 1:1)	1,2,3,4	-
pair_3_(Genesis 1:1)	294_(Genesis 1:1),257_(Genesis 1:1)	1,2,3,4	-
pair_4_(Genesis 1:1)	274_(Genesis 1:1),262_(Genesis 1:1)	1,2,3,4	-
pair_5_(Genesis 1:1)	275_(Genesis 1:1),260_(Genesis 1:1)	1,2,3,4	-
pair_6_(Genesis 1:1)	277_(Genesis 1:1),285_(Genesis 1:1)	1,2,3,4	-
pair_7_(Genesis 1:1)	259_(Genesis 1:1),293_(Genesis 1:1)	1,2,3,4	-
pair_8_(Genesis 1:1)	263_(Genesis 1:1),292_(Genesis 1:1)	1,2,3,4	-
pair_9_(Genesis 1:1)	286_(Genesis 1:1),288_(Genesis 1:1)	1,2,3,4	-
pair_10_(Genesis 1:1)	272_(Genesis 1:1),283_(Genesis 1:1)	1,2,3,4	-
pair_11_(Genesis 1:1)	266_(Genesis 1:1),281_(Genesis 1:1)	1,2,3,4	-
pair_12_(Genesis 1:1)	258_(Genesis 1:1),278_(Genesis 1:1)	1,2,3,4	-
pair_13_(Genesis 1:1)	275_(Genesis 1:1),285_(Genesis 1:1)	1,2,3,4	-
pair_14_(Genesis 1:1)	269_(Genesis 1:1),288_(Genesis 1:1)	1,2,3,4	-
pair_15_(Genesis 1:1)	289_(Genesis 1:1),293_(Genesis 1:1)	1,2,3,4	-
pair_16_(Genesis 1:1)	259_(Genesis 1:1),267_(Genesis 1:1)	1,2,3,4	-
pair_17_(Genesis 1:1)	275_(Genesis 1:1),271_(Genesis 1:1)	1,2,3,4	-
pair_18_(Genesis 1:1)	284_(Genesis 1:1),267_(Genesis 1:1)	1,2,3,4	-
pair_19_(Genesis 1:1)	264_(Genesis 1:1),262_(Genesis 1:1)	1,2,3,4	-
pair_20_(Genesis 1:1)	275_(Genesis 1:1),270_(Genesis 1:1)	1,2,3,4	-
pair_21_(Genesis 1:1)	269_(Genesis 1:1),281_(Genesis 1:1)	1,2,3,4	-
pair_22_(Genesis 1:1)	289_(Genesis 1:1),270_(Genesis 1:1)	1,2,3,4	-
pair_23_(Genesis 1:1)	263_(Genesis 1:1),281_(Genesis 1:1)	1,2,3,4	-
pair_24_(Genesis 1:1)	258_(Genesis 1:1),291_(Genesis 1:1)	1,2,3,4	-
pair_25_(Genesis 1:1)	263_(Genesis 1:1),262_(Genesis 1:1)	1,2,3,4	-
pair_26_(Genesis 1:1)	277_(Genesis 1:1),283_(Genesis 1:1)	1,2,3,4	-
pair_27_(Genesis 1:1)	284_(Genesis 1:1),285_(Genesis 1:1)	1,2,3,4	-
pair_28_(Genesis 1:1)	294_(Genesis 1:1),293_(Genesis 1:1)	1,2,3,4	-
pair_29_(Genesis 1:1)	289_(Genesis 1:1),278_(Genesis 1:1)	1,2,3,4	-
pair_30_(Genesis 1:1)	280_(Genesis 1:1),260_(Genesis 1:1)	1,2,3,4	-
pair_31_(Genesis 1:1)	272_(Genesis 1:1),265_(Genesis 1:1)	1,2,3,4	-
pair_32_(Genesis 1:1)	266_(Genesis 1:1),273_(Genesis 1:1)	1,2,3,4	-
pair_33_(Genesis 1:1)	280_(Genesis 1:1),291_(Genesis 1:1)	1,2,3,4	-
pair_34_(Genesis 1:1)	287_(Genesis 1:1),288_(Genesis 1:1)	1,2,3,4	-
pair_35_(Genesis 1:1)	282_(Genesis 1:1),268_(Genesis 1:1)	1,2,3,4	-
