dataID	context	indices_target_token	indices_target_sentence	lemma
261_(Genesis 1:1)	Genesis 1:1 gives a clear definition of God. In the beginning God created the heaven and the earth. In other words, He existed before time on earth began and He created everything. Why is it up to God to prove Himself? Have you been seeking Him?	45:84	0:245	In the beginning God created the heaven
277_(Genesis 1:1)	In the beginning God created the heaven. Do you think god stays in heaven because he's afraid of what he has created.	0:39	0:117	In the beginning God created the heaven
275_(Genesis 1:1)	in the beginning God created the heaven and the earth, we see the earth but do we see heaven? No, hence my explanations, I was literally describing heaven like you asked	0:39	0:169	In the beginning God created the heaven
289_(Genesis 1:1)	Good morning my precious loved ones! I pray, as you travel through your day, you will recognize the glory of God that is all around us. In the beginning God created the heaven and the earth.	136:175	0:190	In the beginning God created the heaven
280_(Genesis 1:1)	In the beginning God created the heaven and the earth. So please we are here for a reason, and his plan for man kind is explained in detail within a a book called Bible. With faith in God and his word find the book read it to gain wisdom and purpose	0:39	0:249	In the beginning God created the heaven
269_(Genesis 1:1)	So i just started reading the bible again since i was like 9 and it said "in the beginning god created the heavens" does that mean there multiple heavens and if we die which one we go to?	74:113	0:187	In the beginning God created the heaven
272_(Genesis 1:1)	In the beginning God created the heavens and the earth and Terry Crews	0:39	0:70	In the beginning God created the heaven
259_(Genesis 1:1)	Check out this product 😍😍 In the beginning GOD created the heaven and the earth Short-Sleeve Unisex... 😍😍 by CoxWebSales starting at $16.99. Show now 😍👉 😍👉 https://shortlink.store/iorkbcfeotzo	26:65	0:192	In the beginning God created the heaven
263_(Genesis 1:1)	Yo, in the beginning God created the heaven & the earth, it was lit! He made day & night, and it was all chill. Trust the process, fam. 	4:43	0:136	In the beginning God created the heaven
294_(Genesis 1:1)	In the beginning God created the heaven and the earth. He can create situations for you. What do you need? Ask Him to help you today. Pray.	0:39	0:139	In the beginning God created the heaven
282_(Genesis 1:1)	In the beginning God created the heaven and the Earth. That sounds like a third-person account on an observed event! Question: where was this observer situated while observing God do all this creation?? Ahahahah	0:39	0:211	In the beginning God created the heaven
286_(Genesis 1:1)	In the beginning God Created The heaven's and The earth. How much power does it take to DO this? When you pray understand who you are praying TO? IS there anything to hard for God? Jesus said nothing IS impossible with God.	0:39	0:223	In the beginning God created the heaven
264_(Genesis 1:1)	Pre biblical? The bible starts with "In the beginning God created the heaven and the earth". So they have been doing this before they actually existed!	37:76	0:151	In the beginning God created the heaven
274_(Genesis 1:1)	Does it not seem just a bit strange that in the beginning God created the heaven and all of the creatures from just his will, yet he needed dirt to make a male human and one of his ribs to make a female human?	41:80	0:209	In the beginning God created the heaven
276_(Genesis 1:1)	Fill the gap: In the beginning God created the heaven and the _____	14:53	0:67	In the beginning God created the heaven
258_(Genesis 1:1)	In the beginning God created the heaven and the earth. And the earth was without form, and void; and darkness was upon the face of the deep. And the Spirit of God moved upon the face of the waters. And God said, Let there be light: and there was light.	0:39	0:252	In the beginning God created the heaven
284_(Genesis 1:1)	In the beginning GOD created the heaven and the earth. That is who I pray to GOD from Genesis. Dispenses with all of the complications.	0:39	0:135	In the beginning God created the heaven
266_(Genesis 1:1)	DVDASA - Saga 01 Episode 001: In the Beginning God created the heaven and the earth.	30:69	0:84	In the beginning God created the heaven
279_(Genesis 1:1)	Physical Science has long been rooted in the fields of physics and the study of power, force, time, mass, space, and light. God, through the Bible, revealed His mighty power when he created day 1 in Genesis 1. Looks "In the beginning God created the heavens and the earth" as "In the beginning (time) God (power) created (force) the heavens (space) and the earth (mass)".	217:256	0:371	In the beginning God created the heaven
281_(Genesis 1:1)	In the beginning God created the heaven and the earth. God knew the origin of the universe would be the most debated topic someday, He started his book by answering the question, How did life begin?	0:39	0:198	In the beginning God created the heaven
265_(Genesis 1:1)	Before the universe existed, there was no time, space or matter. Therefore, the only thing that could create the universe, would be something which is outside of time, space and matter, i.e., eternal and transcendent. In the beginning God created the heaven.	218:257	0:258	In the beginning God created the heaven
290_(Genesis 1:1)	Every rough beginning is a sign of glorious future, let's learn from God in the beginning God created the heaven and the earth void, then He began a serious work by putting things in there good order. So don't mind your rough beginning just pray hard and work hard.	73:112	0:265	In the beginning God created the heaven
293_(Genesis 1:1)	Pray with this Scripture verse: In the beginning God created the heaven and the earth.	32:71	0:86	In the beginning God created the heaven
260_(Genesis 1:1)	Ok, but science is certainly found therein. Consider "In the beginning God created the heaven and the earth". In the beginning (that's time) God created the heaven (that's space which has 3 dimensions, that is length, width, and heighth) and the earth (that's matter, also 3D: liquid, solid, gas). Space, Time, Matter Continuum, creation explains stuff.	54:93	0:353	In the beginning God created the heaven
273_(Genesis 1:1)	Science has the Big Bang as marking the beginning of time and space in the universe, whereas The Bible states that In the beginning God created the heaven and the earth. What is your own interpretation of the beginning of time?	115:154	0:227	In the beginning God created the heaven
268_(Genesis 1:1)	In the beginning God created the heavens and the earth. And Dr. Pepper.	0:39	0:71	In the beginning God created the heaven
288_(Genesis 1:1)	No, my friend, God did create us. The Holy Bible reads Genesis 1:1 In the beginning GOD created the heaven and the earth. I'll pray for you. 😍😉3 Hope your having a great day. God bless you!	67:106	0:189	In the beginning God created the heaven
278_(Genesis 1:1)	In the beginning God created the heaven and then he drowned everybody because he didn't like what he created, the humans. It probably did happen, the alien cloned itself, the hormones takes over, they fuck everything with similarities genitals.	0:39	0:244	In the beginning God created the heaven
291_(Genesis 1:1)	t's the beginning of a new week. What will YOU create? I pray God will continue to open up your creativity and give you witty inventions. In the beginning God created the heaven and the earth.	138:177	0:192	In the beginning God created the heaven
271_(Genesis 1:1)	Biblenauts - In the beginning God created the heavens and the earth - It was amazing and you missed it	13:52	0:102	In the beginning God created the heaven
267_(Genesis 1:1)	TheBibleFeed: "In The Beginning God Created The Heaven And The Earth. You Won't Believe What Happened Next!"	15:54	0:108	In the beginning God created the heaven
287_(Genesis 1:1)	I Pray For You 😍🙏. In the beginning God created the heaven and the earth. 😍🙏 Genesis 1:1 😍🙏 Just as God created the heaven and earth from nothing. He can make you somebody from nothing. Just Type Amen. God Bless you. 😍🙏	19:58	0:219	In the beginning God created the heaven
270_(Genesis 1:1)	In the beginning God created the heavens and the Earth. Unfortunately creation was his only power and now he lives as an immortal but otherwise powerless human within his own creation.	0:39	0:184	In the beginning God created the heaven
262_(Genesis 1:1)	For me, it starts with: In the beginning God created the heaven and the earth... For me, it continues with every Word in-between and leading up to: The grace of our Lord Jesus Christ be with you all. Amen.	24:63	0:205	In the beginning God created the heaven
257_(Genesis 1:1)	All our convictions rest on this truth: In the beginning God created the heaven and the earth. God created everything good. Everything. Angels, animals, man and woman. The evil you experience, the misery you can clearly see was not originated in God. God is good and we hope to live in the city that He made, the city of God, the New Jerusalem. The New Eden, where a new heaven meets the new earth. Once there, we will never experience evil and pain! Thanks to the sacrifice of our Lord Jesus Christ, blessed be His name forever.	40:79	0:529	In the beginning God created the heaven
283_(Genesis 1:1)	The ESV states: "heavens". The ASV says "heavens". The KJV states "heaven". Which is a direct translation from the Hebrew: "Bereshit bara Elohim et hashamayim ve'et ha'arets.". That is, "In the beginning God created the heaven and the earth." Whatever eh? God made everything, why quibble?	187:226	0:289	In the beginning God created the heaven
292_(Genesis 1:1)	#Bible #Jesus #pray THE #POWER OF #GOD IS #AWESOME In the beginning God created the #heaven and the #earth.	51:106	0:107	In the beginning God created the heaven
285_(Genesis 1:1)	In the beginning God created the heaven and the earth. Let us pray	0:39	0:66	In the beginning God created the heaven
