instanceID	dataIDs	label_set	non_label
pair_0_(Hebrews 11:1)	1127_(Hebrews 11:1),1130_(Hebrews 11:1)	1,2,3,4	-
pair_1_(Hebrews 11:1)	1110_(Hebrews 11:1),1123_(Hebrews 11:1)	1,2,3,4	-
pair_2_(Hebrews 11:1)	1134_(Hebrews 11:1),1125_(Hebrews 11:1)	1,2,3,4	-
pair_3_(Hebrews 11:1)	1132_(Hebrews 11:1),1121_(Hebrews 11:1)	1,2,3,4	-
pair_4_(Hebrews 11:1)	1122_(Hebrews 11:1),1125_(Hebrews 11:1)	1,2,3,4	-
pair_5_(Hebrews 11:1)	1112_(Hebrews 11:1),1125_(Hebrews 11:1)	1,2,3,4	-
pair_6_(Hebrews 11:1)	1109_(Hebrews 11:1),1135_(Hebrews 11:1)	1,2,3,4	-
pair_7_(Hebrews 11:1)	1112_(Hebrews 11:1),1117_(Hebrews 11:1)	1,2,3,4	-
pair_8_(Hebrews 11:1)	1111_(Hebrews 11:1),1125_(Hebrews 11:1)	1,2,3,4	-
pair_9_(Hebrews 11:1)	1119_(Hebrews 11:1),1133_(Hebrews 11:1)	1,2,3,4	-
pair_10_(Hebrews 11:1)	1127_(Hebrews 11:1),1133_(Hebrews 11:1)	1,2,3,4	-
pair_11_(Hebrews 11:1)	1112_(Hebrews 11:1),1129_(Hebrews 11:1)	1,2,3,4	-
pair_12_(Hebrews 11:1)	1109_(Hebrews 11:1),1117_(Hebrews 11:1)	1,2,3,4	-
pair_13_(Hebrews 11:1)	1122_(Hebrews 11:1),1133_(Hebrews 11:1)	1,2,3,4	-
pair_14_(Hebrews 11:1)	1138_(Hebrews 11:1),1118_(Hebrews 11:1)	1,2,3,4	-
pair_15_(Hebrews 11:1)	1137_(Hebrews 11:1),1131_(Hebrews 11:1)	1,2,3,4	-
pair_16_(Hebrews 11:1)	1112_(Hebrews 11:1),1121_(Hebrews 11:1)	1,2,3,4	-
pair_17_(Hebrews 11:1)	1109_(Hebrews 11:1),1131_(Hebrews 11:1)	1,2,3,4	-
pair_18_(Hebrews 11:1)	1110_(Hebrews 11:1),1114_(Hebrews 11:1)	1,2,3,4	-
pair_19_(Hebrews 11:1)	1128_(Hebrews 11:1),1126_(Hebrews 11:1)	1,2,3,4	-
pair_20_(Hebrews 11:1)	1137_(Hebrews 11:1),1118_(Hebrews 11:1)	1,2,3,4	-
pair_21_(Hebrews 11:1)	1127_(Hebrews 11:1),1121_(Hebrews 11:1)	1,2,3,4	-
pair_22_(Hebrews 11:1)	1111_(Hebrews 11:1),1129_(Hebrews 11:1)	1,2,3,4	-
pair_23_(Hebrews 11:1)	1137_(Hebrews 11:1),1126_(Hebrews 11:1)	1,2,3,4	-
pair_24_(Hebrews 11:1)	1127_(Hebrews 11:1),1114_(Hebrews 11:1)	1,2,3,4	-
pair_25_(Hebrews 11:1)	1138_(Hebrews 11:1),1123_(Hebrews 11:1)	1,2,3,4	-
pair_26_(Hebrews 11:1)	1109_(Hebrews 11:1),1136_(Hebrews 11:1)	1,2,3,4	-
pair_27_(Hebrews 11:1)	1138_(Hebrews 11:1),1125_(Hebrews 11:1)	1,2,3,4	-
pair_28_(Hebrews 11:1)	1109_(Hebrews 11:1),1130_(Hebrews 11:1)	1,2,3,4	-
pair_29_(Hebrews 11:1)	1138_(Hebrews 11:1),1124_(Hebrews 11:1)	1,2,3,4	-
pair_30_(Hebrews 11:1)	1128_(Hebrews 11:1),1133_(Hebrews 11:1)	1,2,3,4	-
pair_31_(Hebrews 11:1)	1127_(Hebrews 11:1),1125_(Hebrews 11:1)	1,2,3,4	-
pair_32_(Hebrews 11:1)	1120_(Hebrews 11:1),1124_(Hebrews 11:1)	1,2,3,4	-
pair_33_(Hebrews 11:1)	1127_(Hebrews 11:1),1126_(Hebrews 11:1)	1,2,3,4	-
pair_34_(Hebrews 11:1)	1111_(Hebrews 11:1),1133_(Hebrews 11:1)	1,2,3,4	-
pair_35_(Hebrews 11:1)	1115_(Hebrews 11:1),1125_(Hebrews 11:1)	1,2,3,4	-
pair_36_(Hebrews 11:1)	1113_(Hebrews 11:1),1131_(Hebrews 11:1)	1,2,3,4	-
pair_37_(Hebrews 11:1)	1122_(Hebrews 11:1),1136_(Hebrews 11:1)	1,2,3,4	-
pair_38_(Hebrews 11:1)	1120_(Hebrews 11:1),1116_(Hebrews 11:1)	1,2,3,4	-
pair_39_(Hebrews 11:1)	1128_(Hebrews 11:1),1121_(Hebrews 11:1)	1,2,3,4	-
pair_40_(Hebrews 11:1)	1115_(Hebrews 11:1),1123_(Hebrews 11:1)	1,2,3,4	-
pair_41_(Hebrews 11:1)	1111_(Hebrews 11:1),1126_(Hebrews 11:1)	1,2,3,4	-
pair_42_(Hebrews 11:1)	1138_(Hebrews 11:1),1114_(Hebrews 11:1)	1,2,3,4	-
pair_43_(Hebrews 11:1)	1120_(Hebrews 11:1),1130_(Hebrews 11:1)	1,2,3,4	-
pair_44_(Hebrews 11:1)	1122_(Hebrews 11:1),1114_(Hebrews 11:1)	1,2,3,4	-
pair_45_(Hebrews 11:1)	1120_(Hebrews 11:1),1133_(Hebrews 11:1)	1,2,3,4	-
pair_46_(Hebrews 11:1)	1119_(Hebrews 11:1),1125_(Hebrews 11:1)	1,2,3,4	-
pair_47_(Hebrews 11:1)	1128_(Hebrews 11:1),1125_(Hebrews 11:1)	1,2,3,4	-
pair_48_(Hebrews 11:1)	1111_(Hebrews 11:1),1130_(Hebrews 11:1)	1,2,3,4	-
pair_49_(Hebrews 11:1)	1132_(Hebrews 11:1),1131_(Hebrews 11:1)	1,2,3,4	-
pair_50_(Hebrews 11:1)	1120_(Hebrews 11:1),1121_(Hebrews 11:1)	1,2,3,4	-
pair_51_(Hebrews 11:1)	1128_(Hebrews 11:1),1114_(Hebrews 11:1)	1,2,3,4	-
pair_52_(Hebrews 11:1)	1132_(Hebrews 11:1),1125_(Hebrews 11:1)	1,2,3,4	-
pair_53_(Hebrews 11:1)	1127_(Hebrews 11:1),1129_(Hebrews 11:1)	1,2,3,4	-
pair_54_(Hebrews 11:1)	1122_(Hebrews 11:1),1126_(Hebrews 11:1)	1,2,3,4	-
pair_55_(Hebrews 11:1)	1138_(Hebrews 11:1),1121_(Hebrews 11:1)	1,2,3,4	-
pair_56_(Hebrews 11:1)	1113_(Hebrews 11:1),1118_(Hebrews 11:1)	1,2,3,4	-
pair_57_(Hebrews 11:1)	1119_(Hebrews 11:1),1126_(Hebrews 11:1)	1,2,3,4	-
pair_58_(Hebrews 11:1)	1122_(Hebrews 11:1),1124_(Hebrews 11:1)	1,2,3,4	-
pair_59_(Hebrews 11:1)	1132_(Hebrews 11:1),1123_(Hebrews 11:1)	1,2,3,4	-
pair_60_(Hebrews 11:1)	1120_(Hebrews 11:1),1114_(Hebrews 11:1)	1,2,3,4	-
pair_61_(Hebrews 11:1)	1134_(Hebrews 11:1),1114_(Hebrews 11:1)	1,2,3,4	-
pair_62_(Hebrews 11:1)	1138_(Hebrews 11:1),1135_(Hebrews 11:1)	1,2,3,4	-
pair_63_(Hebrews 11:1)	1122_(Hebrews 11:1),1131_(Hebrews 11:1)	1,2,3,4	-
pair_64_(Hebrews 11:1)	1109_(Hebrews 11:1),1133_(Hebrews 11:1)	1,2,3,4	-
pair_65_(Hebrews 11:1)	1138_(Hebrews 11:1),1133_(Hebrews 11:1)	1,2,3,4	-
pair_66_(Hebrews 11:1)	1111_(Hebrews 11:1),1118_(Hebrews 11:1)	1,2,3,4	-
pair_67_(Hebrews 11:1)	1115_(Hebrews 11:1),1114_(Hebrews 11:1)	1,2,3,4	-
pair_68_(Hebrews 11:1)	1127_(Hebrews 11:1),1116_(Hebrews 11:1)	1,2,3,4	-
pair_69_(Hebrews 11:1)	1109_(Hebrews 11:1),1125_(Hebrews 11:1)	1,2,3,4	-
