instanceID	dataIDs	label_set	non_label
pair_0_(Hosea 8:7)	144_(Hosea 8:7),159_(Hosea 8:7)	1,2,3,4	-
pair_1_(Hosea 8:7)	156_(Hosea 8:7),137_(Hosea 8:7)	1,2,3,4	-
pair_2_(Hosea 8:7)	149_(Hosea 8:7),134_(Hosea 8:7)	1,2,3,4	-
pair_3_(Hosea 8:7)	140_(Hosea 8:7),137_(Hosea 8:7)	1,2,3,4	-
pair_4_(Hosea 8:7)	156_(Hosea 8:7),145_(Hosea 8:7)	1,2,3,4	-
pair_5_(Hosea 8:7)	153_(Hosea 8:7),152_(Hosea 8:7)	1,2,3,4	-
pair_6_(Hosea 8:7)	147_(Hosea 8:7),158_(Hosea 8:7)	1,2,3,4	-
pair_7_(Hosea 8:7)	140_(Hosea 8:7),142_(Hosea 8:7)	1,2,3,4	-
pair_8_(Hosea 8:7)	147_(Hosea 8:7),152_(Hosea 8:7)	1,2,3,4	-
pair_9_(Hosea 8:7)	149_(Hosea 8:7),141_(Hosea 8:7)	1,2,3,4	-
pair_10_(Hosea 8:7)	144_(Hosea 8:7),135_(Hosea 8:7)	1,2,3,4	-
pair_11_(Hosea 8:7)	155_(Hosea 8:7),138_(Hosea 8:7)	1,2,3,4	-
pair_12_(Hosea 8:7)	147_(Hosea 8:7),138_(Hosea 8:7)	1,2,3,4	-
pair_13_(Hosea 8:7)	154_(Hosea 8:7),143_(Hosea 8:7)	1,2,3,4	-
pair_14_(Hosea 8:7)	156_(Hosea 8:7),141_(Hosea 8:7)	1,2,3,4	-
pair_15_(Hosea 8:7)	157_(Hosea 8:7),159_(Hosea 8:7)	1,2,3,4	-
pair_16_(Hosea 8:7)	144_(Hosea 8:7),151_(Hosea 8:7)	1,2,3,4	-
pair_17_(Hosea 8:7)	136_(Hosea 8:7),137_(Hosea 8:7)	1,2,3,4	-
pair_18_(Hosea 8:7)	157_(Hosea 8:7),146_(Hosea 8:7)	1,2,3,4	-
pair_19_(Hosea 8:7)	149_(Hosea 8:7),158_(Hosea 8:7)	1,2,3,4	-
pair_20_(Hosea 8:7)	136_(Hosea 8:7),134_(Hosea 8:7)	1,2,3,4	-
pair_21_(Hosea 8:7)	148_(Hosea 8:7),137_(Hosea 8:7)	1,2,3,4	-
pair_22_(Hosea 8:7)	154_(Hosea 8:7),159_(Hosea 8:7)	1,2,3,4	-
pair_23_(Hosea 8:7)	155_(Hosea 8:7),135_(Hosea 8:7)	1,2,3,4	-
pair_24_(Hosea 8:7)	136_(Hosea 8:7),146_(Hosea 8:7)	1,2,3,4	-
pair_25_(Hosea 8:7)	147_(Hosea 8:7),143_(Hosea 8:7)	1,2,3,4	-
pair_26_(Hosea 8:7)	148_(Hosea 8:7),158_(Hosea 8:7)	1,2,3,4	-
pair_27_(Hosea 8:7)	154_(Hosea 8:7),158_(Hosea 8:7)	1,2,3,4	-
pair_28_(Hosea 8:7)	156_(Hosea 8:7),146_(Hosea 8:7)	1,2,3,4	-
pair_29_(Hosea 8:7)	156_(Hosea 8:7),138_(Hosea 8:7)	1,2,3,4	-
pair_30_(Hosea 8:7)	157_(Hosea 8:7),134_(Hosea 8:7)	1,2,3,4	-
pair_31_(Hosea 8:7)	153_(Hosea 8:7),134_(Hosea 8:7)	1,2,3,4	-
pair_32_(Hosea 8:7)	150_(Hosea 8:7),145_(Hosea 8:7)	1,2,3,4	-
pair_33_(Hosea 8:7)	157_(Hosea 8:7),141_(Hosea 8:7)	1,2,3,4	-
pair_34_(Hosea 8:7)	144_(Hosea 8:7),138_(Hosea 8:7)	1,2,3,4	-
pair_35_(Hosea 8:7)	139_(Hosea 8:7),159_(Hosea 8:7)	1,2,3,4	-
pair_36_(Hosea 8:7)	154_(Hosea 8:7),134_(Hosea 8:7)	1,2,3,4	-
pair_37_(Hosea 8:7)	153_(Hosea 8:7),138_(Hosea 8:7)	1,2,3,4	-
pair_38_(Hosea 8:7)	153_(Hosea 8:7),137_(Hosea 8:7)	1,2,3,4	-
pair_39_(Hosea 8:7)	155_(Hosea 8:7),151_(Hosea 8:7)	1,2,3,4	-
pair_40_(Hosea 8:7)	136_(Hosea 8:7),138_(Hosea 8:7)	1,2,3,4	-
pair_41_(Hosea 8:7)	139_(Hosea 8:7),151_(Hosea 8:7)	1,2,3,4	-
pair_42_(Hosea 8:7)	153_(Hosea 8:7),151_(Hosea 8:7)	1,2,3,4	-
pair_43_(Hosea 8:7)	154_(Hosea 8:7),146_(Hosea 8:7)	1,2,3,4	-
pair_44_(Hosea 8:7)	155_(Hosea 8:7),134_(Hosea 8:7)	1,2,3,4	-
pair_45_(Hosea 8:7)	148_(Hosea 8:7),146_(Hosea 8:7)	1,2,3,4	-
pair_46_(Hosea 8:7)	150_(Hosea 8:7),146_(Hosea 8:7)	1,2,3,4	-
pair_47_(Hosea 8:7)	153_(Hosea 8:7),159_(Hosea 8:7)	1,2,3,4	-
pair_48_(Hosea 8:7)	148_(Hosea 8:7),134_(Hosea 8:7)	1,2,3,4	-
pair_49_(Hosea 8:7)	157_(Hosea 8:7),135_(Hosea 8:7)	1,2,3,4	-
pair_50_(Hosea 8:7)	153_(Hosea 8:7),143_(Hosea 8:7)	1,2,3,4	-
pair_51_(Hosea 8:7)	136_(Hosea 8:7),145_(Hosea 8:7)	1,2,3,4	-
pair_52_(Hosea 8:7)	156_(Hosea 8:7),142_(Hosea 8:7)	1,2,3,4	-
pair_53_(Hosea 8:7)	140_(Hosea 8:7),145_(Hosea 8:7)	1,2,3,4	-
pair_54_(Hosea 8:7)	147_(Hosea 8:7),137_(Hosea 8:7)	1,2,3,4	-
pair_55_(Hosea 8:7)	155_(Hosea 8:7),142_(Hosea 8:7)	1,2,3,4	-
pair_56_(Hosea 8:7)	156_(Hosea 8:7),134_(Hosea 8:7)	1,2,3,4	-
pair_57_(Hosea 8:7)	140_(Hosea 8:7),141_(Hosea 8:7)	1,2,3,4	-
pair_58_(Hosea 8:7)	157_(Hosea 8:7),151_(Hosea 8:7)	1,2,3,4	-
pair_59_(Hosea 8:7)	144_(Hosea 8:7),146_(Hosea 8:7)	1,2,3,4	-
pair_60_(Hosea 8:7)	144_(Hosea 8:7),137_(Hosea 8:7)	1,2,3,4	-
pair_61_(Hosea 8:7)	157_(Hosea 8:7),142_(Hosea 8:7)	1,2,3,4	-
pair_62_(Hosea 8:7)	147_(Hosea 8:7),145_(Hosea 8:7)	1,2,3,4	-
pair_63_(Hosea 8:7)	150_(Hosea 8:7),137_(Hosea 8:7)	1,2,3,4	-
pair_64_(Hosea 8:7)	156_(Hosea 8:7),152_(Hosea 8:7)	1,2,3,4	-
pair_65_(Hosea 8:7)	144_(Hosea 8:7),158_(Hosea 8:7)	1,2,3,4	-
pair_66_(Hosea 8:7)	150_(Hosea 8:7),134_(Hosea 8:7)	1,2,3,4	-
pair_67_(Hosea 8:7)	148_(Hosea 8:7),142_(Hosea 8:7)	1,2,3,4	-
pair_68_(Hosea 8:7)	139_(Hosea 8:7),137_(Hosea 8:7)	1,2,3,4	-
pair_69_(Hosea 8:7)	153_(Hosea 8:7),135_(Hosea 8:7)	1,2,3,4	-
