dataID	context	indices_target_token	indices_target_sentence	lemma
143_(Hosea 8:7)	I have only one message to the developers of the Saints Row reboot. For they have sown the wind, and they shall reap the whirlwind	72:130	0:130	They have sown the wind, and they shall reap the whirlwind
148_(Hosea 8:7)	Sir Isaac Newton: For every action, there is an opposite and equal reaction. The Bible said it first: For they have sown the wind, and they shall reap the whirlwind.	106:164	0:165	They have sown the wind, and they shall reap the whirlwind
153_(Hosea 8:7)	Russia is not even able to protect it's borders!! How will you protect your people? ❤️🤣 ❤️🤣 ❤️🤣 #russiaIsCollapsing They have sown the wind, and they shall reap the whirlwind	116:174	0:174	They have sown the wind, and they shall reap the whirlwind
139_(Hosea 8:7)	Two things regarding the morbid gynocentrism and rabied feminism in our country and the upcoming marital rape law: For they have sown the wind, and they shall reap the whirlwind.	119:177	0:178	They have sown the wind, and they shall reap the whirlwind
157_(Hosea 8:7)	Are the Russians exempt? "The Nazis entered this war under the rather childish delusion that they were going to bomb everyone else, and nobody was going to bomb them. They have sown the wind, and they shall reap the whirlwind."	167:225	0:227	They have sown the wind, and they shall reap the whirlwind
147_(Hosea 8:7)	They've all been cleared multiple times by Congress and Trump's DOJ. What's coming for the maga traitors and their financiers is going to make the War on Drugs look like preschool. For they have sown the wind, and they shall reap the whirlwind.	185:243	0:244	They have sown the wind, and they shall reap the whirlwind
155_(Hosea 8:7)	For they have sown the wind, and they shall reap the whirlwind. Shorter! non-ecclesiastical version: Y'aint seen nothin' yet, Clowndaddy.	4:62	0:137	They have sown the wind, and they shall reap the whirlwind
149_(Hosea 8:7)	If you wage a war on another country, you shall be ready that your people will die too. Anywhere, in your capital or hundreds of kms behind the frontline. For they have sown the wind, and they shall reap the whirlwind.	159:217	0:218	They have sown the wind, and they shall reap the whirlwind
140_(Hosea 8:7)	Today's Bible verse for Hawley, Trump and the others who incited the insurrection: For they have sown the wind, and they shall reap the whirlwind.	87:145	0:146	They have sown the wind, and they shall reap the whirlwind
144_(Hosea 8:7)	For they have sown the wind, and they shall reap the whirlwind means that works have rewards and actions have consequences, with a focus on negative consequences for bad actions.	4:62	0:178	They have sown the wind, and they shall reap the whirlwind
156_(Hosea 8:7)	The cowardly terrorists who attacked us a few days ago should know that they have sown the wind, and they shall reap the whirlwind.	72:130	0:131	They have sown the wind, and they shall reap the whirlwind
136_(Hosea 8:7)	You don't get to vote do disenfranchise millions and then preach unity. For they have sown the wind, and they shall reap the whirlwind: it hath no stalk; the bud shall yield no meal: if so be it yield, the strangers shall swallow it up.	76:134	0:236	They have sown the wind, and they shall reap the whirlwind
150_(Hosea 8:7)	Putin and Russia started this war thinking they could bomb everyone else and no one would bomb them. They have sewn the wind and for they have sown the wind, and they shall reap the whirlwind. Slava Ukraini	133:191	0:206	They have sown the wind, and they shall reap the whirlwind
158_(Hosea 8:7)	Remember Susan Sarandon and Chris Hayes giggling on MSNBC over the prospect of Trump's chaos hastening Bernie's sacred "Revolution." For they have sown the wind, and they shall reap the whirlwind.	137:195	0:196	They have sown the wind, and they shall reap the whirlwind
151_(Hosea 8:7)	😍📍% correct. There could be no better use of funds. Russia has sown the wind, and for they have sown the wind, and they shall reap the whirlwind. Don't forget that they are waging war not only against Ukraine but against the whole West.	86:144	0:236	They have sown the wind, and they shall reap the whirlwind
152_(Hosea 8:7)	"They have sown the wind, and they shall reap the whirlwind." This image represents the total combat losses of the enemy from February 24, 2022 to May 26, 2023.	1:59	0:160	They have sown the wind, and they shall reap the whirlwind
159_(Hosea 8:7)	I realise it's unfashionable these days to quote scripture in political discourse, but does the phrase "they have sown the wind, and they shall reap the whirlwind" mean nothing to these people?	104:162	0:193	They have sown the wind, and they shall reap the whirlwind
137_(Hosea 8:7)	I conclude with prophetic words that were spoken centuries ago: They have sown the wind, and they shall reap the whirlwind. These are the words of the Prophet Hosea to be found in Hosea 8:7. He that has an ear let him hear.	64:122	0:223	They have sown the wind, and they shall reap the whirlwind
134_(Hosea 8:7)	Keep it up. For they have sown the wind, and they shall reap the whirlwind. For the idiots that went to government schools. Actions have consequences, especially that people may face negative consequences for their bad actions. Once said by this wise man.	16:74	0:255	They have sown the wind, and they shall reap the whirlwind
154_(Hosea 8:7)	Russia started this war under the childish delusion that they could attack everyone, and no one could attack them. But for they have sown the wind, and they shall reap the whirlwind	123:181	0:181	They have sown the wind, and they shall reap the whirlwind
138_(Hosea 8:7)	Trump picked a fight he was never going to win. He was warned not to do so. He did anyway. Now he'll suffer the consequences. @realdonaldTrump For they have sown the wind, and they shall reap the whirlwind	147:205	0:205	They have sown the wind, and they shall reap the whirlwind
145_(Hosea 8:7)	People's consensual sex lives don't bother or interest me a whit. 1 exception is when it exposes Xtian hypocrisy & an elitist abuse of the People's house. They that sow the wind shall reap the whirlwind. For they have sown the wind, and they shall reap the whirlwind	208:266	0:266	They have sown the wind, and they shall reap the whirlwind
141_(Hosea 8:7)	Like all bullies, Russia doesn't like it when the victim of its aggression hits back. For they have sown the wind, and they shall reap the whirlwind	90:148	0:148	They have sown the wind, and they shall reap the whirlwind
135_(Hosea 8:7)	It's not release the whirlwind, jackass, It's reap the whirlwind. Why am I not surprised this joke of an attorney can't even cite the Bible correctly. The right version is: For they have sown the wind, and they shall reap the whirlwind.	177:235	0:236	They have sown the wind, and they shall reap the whirlwind
146_(Hosea 8:7)	People arguing against AMZN etc. for not paying taxes, are the same people who blame the QBs for the record number of touch down passes, not realizing they are just taking advantage of the pro passing rules. For they have sown the wind, and they shall reap the whirlwind.	212:270	0:271	They have sown the wind, and they shall reap the whirlwind
142_(Hosea 8:7)	The best comment on what we see now in the Belgorod/Bilhorod region of Russia is in the Bible. For they have sown the wind, and they shall reap the whirlwind.	99:157	0:158	They have sown the wind, and they shall reap the whirlwind
