instanceID	dataIDs	label_set	non_label
pair_0_(Isaiah 43:4)	525_(Isaiah 43:4),517_(Isaiah 43:4)	1,2,3,4	-
pair_1_(Isaiah 43:4)	536_(Isaiah 43:4),523_(Isaiah 43:4)	1,2,3,4	-
pair_2_(Isaiah 43:4)	531_(Isaiah 43:4),514_(Isaiah 43:4)	1,2,3,4	-
pair_3_(Isaiah 43:4)	528_(Isaiah 43:4),541_(Isaiah 43:4)	1,2,3,4	-
pair_4_(Isaiah 43:4)	524_(Isaiah 43:4),535_(Isaiah 43:4)	1,2,3,4	-
pair_5_(Isaiah 43:4)	537_(Isaiah 43:4),527_(Isaiah 43:4)	1,2,3,4	-
pair_6_(Isaiah 43:4)	513_(Isaiah 43:4),517_(Isaiah 43:4)	1,2,3,4	-
pair_7_(Isaiah 43:4)	540_(Isaiah 43:4),514_(Isaiah 43:4)	1,2,3,4	-
pair_8_(Isaiah 43:4)	515_(Isaiah 43:4),541_(Isaiah 43:4)	1,2,3,4	-
pair_9_(Isaiah 43:4)	526_(Isaiah 43:4),541_(Isaiah 43:4)	1,2,3,4	-
pair_10_(Isaiah 43:4)	537_(Isaiah 43:4),535_(Isaiah 43:4)	1,2,3,4	-
pair_11_(Isaiah 43:4)	531_(Isaiah 43:4),530_(Isaiah 43:4)	1,2,3,4	-
pair_12_(Isaiah 43:4)	529_(Isaiah 43:4),530_(Isaiah 43:4)	1,2,3,4	-
pair_13_(Isaiah 43:4)	536_(Isaiah 43:4),517_(Isaiah 43:4)	1,2,3,4	-
pair_14_(Isaiah 43:4)	531_(Isaiah 43:4),527_(Isaiah 43:4)	1,2,3,4	-
pair_15_(Isaiah 43:4)	529_(Isaiah 43:4),523_(Isaiah 43:4)	1,2,3,4	-
pair_16_(Isaiah 43:4)	526_(Isaiah 43:4),523_(Isaiah 43:4)	1,2,3,4	-
pair_17_(Isaiah 43:4)	537_(Isaiah 43:4),532_(Isaiah 43:4)	1,2,3,4	-
pair_18_(Isaiah 43:4)	515_(Isaiah 43:4),539_(Isaiah 43:4)	1,2,3,4	-
pair_19_(Isaiah 43:4)	513_(Isaiah 43:4),530_(Isaiah 43:4)	1,2,3,4	-
pair_20_(Isaiah 43:4)	526_(Isaiah 43:4),530_(Isaiah 43:4)	1,2,3,4	-
pair_21_(Isaiah 43:4)	534_(Isaiah 43:4),530_(Isaiah 43:4)	1,2,3,4	-
pair_22_(Isaiah 43:4)	513_(Isaiah 43:4),519_(Isaiah 43:4)	1,2,3,4	-
pair_23_(Isaiah 43:4)	540_(Isaiah 43:4),527_(Isaiah 43:4)	1,2,3,4	-
pair_24_(Isaiah 43:4)	529_(Isaiah 43:4),521_(Isaiah 43:4)	1,2,3,4	-
pair_25_(Isaiah 43:4)	540_(Isaiah 43:4),541_(Isaiah 43:4)	1,2,3,4	-
pair_26_(Isaiah 43:4)	540_(Isaiah 43:4),519_(Isaiah 43:4)	1,2,3,4	-
pair_27_(Isaiah 43:4)	522_(Isaiah 43:4),533_(Isaiah 43:4)	1,2,3,4	-
pair_28_(Isaiah 43:4)	525_(Isaiah 43:4),541_(Isaiah 43:4)	1,2,3,4	-
pair_29_(Isaiah 43:4)	520_(Isaiah 43:4),527_(Isaiah 43:4)	1,2,3,4	-
pair_30_(Isaiah 43:4)	515_(Isaiah 43:4),514_(Isaiah 43:4)	1,2,3,4	-
pair_31_(Isaiah 43:4)	522_(Isaiah 43:4),517_(Isaiah 43:4)	1,2,3,4	-
pair_32_(Isaiah 43:4)	531_(Isaiah 43:4),523_(Isaiah 43:4)	1,2,3,4	-
pair_33_(Isaiah 43:4)	513_(Isaiah 43:4),541_(Isaiah 43:4)	1,2,3,4	-
pair_34_(Isaiah 43:4)	534_(Isaiah 43:4),539_(Isaiah 43:4)	1,2,3,4	-
pair_35_(Isaiah 43:4)	531_(Isaiah 43:4),533_(Isaiah 43:4)	1,2,3,4	-
pair_36_(Isaiah 43:4)	522_(Isaiah 43:4),518_(Isaiah 43:4)	1,2,3,4	-
pair_37_(Isaiah 43:4)	528_(Isaiah 43:4),539_(Isaiah 43:4)	1,2,3,4	-
pair_38_(Isaiah 43:4)	529_(Isaiah 43:4),514_(Isaiah 43:4)	1,2,3,4	-
pair_39_(Isaiah 43:4)	529_(Isaiah 43:4),539_(Isaiah 43:4)	1,2,3,4	-
pair_40_(Isaiah 43:4)	537_(Isaiah 43:4),521_(Isaiah 43:4)	1,2,3,4	-
