instanceID	dataIDs	label_set	non_label
pair_0_(Jeremiah 17:9)	561_(Jeremiah 17:9),552_(Jeremiah 17:9)	1,2,3,4	-
pair_1_(Jeremiah 17:9)	545_(Jeremiah 17:9),555_(Jeremiah 17:9)	1,2,3,4	-
pair_2_(Jeremiah 17:9)	565_(Jeremiah 17:9),548_(Jeremiah 17:9)	1,2,3,4	-
pair_3_(Jeremiah 17:9)	554_(Jeremiah 17:9),564_(Jeremiah 17:9)	1,2,3,4	-
pair_4_(Jeremiah 17:9)	561_(Jeremiah 17:9),546_(Jeremiah 17:9)	1,2,3,4	-
pair_5_(Jeremiah 17:9)	572_(Jeremiah 17:9),555_(Jeremiah 17:9)	1,2,3,4	-
pair_6_(Jeremiah 17:9)	562_(Jeremiah 17:9),552_(Jeremiah 17:9)	1,2,3,4	-
pair_7_(Jeremiah 17:9)	559_(Jeremiah 17:9),570_(Jeremiah 17:9)	1,2,3,4	-
pair_8_(Jeremiah 17:9)	571_(Jeremiah 17:9),556_(Jeremiah 17:9)	1,2,3,4	-
pair_9_(Jeremiah 17:9)	558_(Jeremiah 17:9),550_(Jeremiah 17:9)	1,2,3,4	-
pair_10_(Jeremiah 17:9)	559_(Jeremiah 17:9),548_(Jeremiah 17:9)	1,2,3,4	-
pair_11_(Jeremiah 17:9)	572_(Jeremiah 17:9),570_(Jeremiah 17:9)	1,2,3,4	-
pair_12_(Jeremiah 17:9)	544_(Jeremiah 17:9),548_(Jeremiah 17:9)	1,2,3,4	-
pair_13_(Jeremiah 17:9)	547_(Jeremiah 17:9),543_(Jeremiah 17:9)	1,2,3,4	-
pair_14_(Jeremiah 17:9)	559_(Jeremiah 17:9),550_(Jeremiah 17:9)	1,2,3,4	-
pair_15_(Jeremiah 17:9)	562_(Jeremiah 17:9),570_(Jeremiah 17:9)	1,2,3,4	-
pair_16_(Jeremiah 17:9)	557_(Jeremiah 17:9),570_(Jeremiah 17:9)	1,2,3,4	-
pair_17_(Jeremiah 17:9)	551_(Jeremiah 17:9),555_(Jeremiah 17:9)	1,2,3,4	-
