instanceID	dataIDs	label_set	non_label
pair_0_(John 15:13)	185_(John 15:13),173_(John 15:13)	1,2,3,4	-
pair_1_(John 15:13)	188_(John 15:13),186_(John 15:13)	1,2,3,4	-
pair_2_(John 15:13)	184_(John 15:13),181_(John 15:13)	1,2,3,4	-
pair_3_(John 15:13)	188_(John 15:13),191_(John 15:13)	1,2,3,4	-
pair_4_(John 15:13)	185_(John 15:13),182_(John 15:13)	1,2,3,4	-
pair_5_(John 15:13)	169_(John 15:13),163_(John 15:13)	1,2,3,4	-
pair_6_(John 15:13)	177_(John 15:13),164_(John 15:13)	1,2,3,4	-
pair_7_(John 15:13)	168_(John 15:13),193_(John 15:13)	1,2,3,4	-
pair_8_(John 15:13)	185_(John 15:13),194_(John 15:13)	1,2,3,4	-
pair_9_(John 15:13)	188_(John 15:13),178_(John 15:13)	1,2,3,4	-
pair_10_(John 15:13)	195_(John 15:13),191_(John 15:13)	1,2,3,4	-
pair_11_(John 15:13)	169_(John 15:13),162_(John 15:13)	1,2,3,4	-
pair_12_(John 15:13)	187_(John 15:13),181_(John 15:13)	1,2,3,4	-
pair_13_(John 15:13)	190_(John 15:13),180_(John 15:13)	1,2,3,4	-
pair_14_(John 15:13)	187_(John 15:13),191_(John 15:13)	1,2,3,4	-
pair_15_(John 15:13)	188_(John 15:13),194_(John 15:13)	1,2,3,4	-
pair_16_(John 15:13)	190_(John 15:13),191_(John 15:13)	1,2,3,4	-
pair_17_(John 15:13)	167_(John 15:13),193_(John 15:13)	1,2,3,4	-
pair_18_(John 15:13)	184_(John 15:13),193_(John 15:13)	1,2,3,4	-
pair_19_(John 15:13)	169_(John 15:13),175_(John 15:13)	1,2,3,4	-
pair_20_(John 15:13)	185_(John 15:13),161_(John 15:13)	1,2,3,4	-
pair_21_(John 15:13)	170_(John 15:13),173_(John 15:13)	1,2,3,4	-
pair_22_(John 15:13)	176_(John 15:13),182_(John 15:13)	1,2,3,4	-
pair_23_(John 15:13)	192_(John 15:13),162_(John 15:13)	1,2,3,4	-
pair_24_(John 15:13)	160_(John 15:13),166_(John 15:13)	1,2,3,4	-
pair_25_(John 15:13)	172_(John 15:13),186_(John 15:13)	1,2,3,4	-
pair_26_(John 15:13)	171_(John 15:13),161_(John 15:13)	1,2,3,4	-
pair_27_(John 15:13)	195_(John 15:13),194_(John 15:13)	1,2,3,4	-
pair_28_(John 15:13)	190_(John 15:13),183_(John 15:13)	1,2,3,4	-
pair_29_(John 15:13)	169_(John 15:13),191_(John 15:13)	1,2,3,4	-
pair_30_(John 15:13)	177_(John 15:13),194_(John 15:13)	1,2,3,4	-
pair_31_(John 15:13)	179_(John 15:13),181_(John 15:13)	1,2,3,4	-
pair_32_(John 15:13)	176_(John 15:13),194_(John 15:13)	1,2,3,4	-
pair_33_(John 15:13)	170_(John 15:13),189_(John 15:13)	1,2,3,4	-
