dataID	context	indices_target_token	indices_target_sentence	lemma
172_(John 15:13)	As we enjoy the freedoms that were fought for and protected by our fallen heroes, let us find solace and strength in these words from John 15:13: Greater love has no one than this: to lay down one's life for one's friends. Their sacrifice will never be forgotten. 	146:221	0:264	Greater love has no one than this: to lay down one's life for one's friends
187_(John 15:13)	Greater love has no one than this: to lay down one's life for one's friends. Dear lord, as we rise to meet each new day, please let us be filled with your spirit. Wherever we go let us spread love, joy, peace, goodness and faithfulness	0:75	0:235	Greater love has no one than this: to lay down one's life for one's friends
192_(John 15:13)	Greater love has no one than this: to lay down one's life for one's friends. Brilliant to see one with real power showing meakness and grace to a wayward youth. Protecting a friend and giving a hand to the lost is one fell swoop	0:75	0:228	Greater love has no one than this: to lay down one's life for one's friends
177_(John 15:13)	June is the month to celebrate and show love 🙏🏾, respect, acceptance, and inclusion to everyone 🌎 🖤 ❤ 🧡 💛 💚 💙 💜. My command is this: Love each other as I have loved you. Greater love has no one than this: to lay down one's life for one's friends.	170:245	0:246	Greater love has no one than this: to lay down one's life for one's friends
179_(John 15:13)	Love is service, love is sacrifice, love is putting down everything that makes you pumped up with pride for the benefit of another, that is why Jesus Christ said: "Greater love has no one than this: to lay down one's life for one's friends". Your partner is your friend	164:239	0:269	Greater love has no one than this: to lay down one's life for one's friends
195_(John 15:13)	This little 6 year old hero rescued his younger sister from a brutal dog attack thinking: "If someone has to die, let it be me". Jesus said: Greater love has no one than this: to lay down one's life for one's friends. Let's follow his example!	141:216	0:243	Greater love has no one than this: to lay down one's life for one's friends
160_(John 15:13)	Putin quotes John 15:13 to hail Ukraine invasion at Moscow rally: 'The words from the Bible'. Greater love has no one than this: to lay down one's life for one's friends. Putin said	94:169	0:181	Greater love has no one than this: to lay down one's life for one's friends
190_(John 15:13)	Please pray for me to walk in the faith the father above is calling me into. If I stumble, take my hand and help me bear my cross. I will do the same for you. I love you all. "Greater love has no one than this: to lay down one's life for one's friends." - Jesus	176:251	0:261	Greater love has no one than this: to lay down one's life for one's friends
185_(John 15:13)	Furthermore, I'm a cis gay man. But even if I was trans, why is it any of your business? It's not. You need to open that book more John 15:12-13. "My command is this: Love each other as I have loved you. Greater love has no one than this: to lay down one's life for one's friends."	204:279	0:281	Greater love has no one than this: to lay down one's life for one's friends
168_(John 15:13)	Love is fulfilled when it Loves without limits. The spear pierced His Heart like an arrow of Love... We're drowning in Love. Greater love has no one than this: to lay down one's life for one's friends.	125:200	0:201	Greater love has no one than this: to lay down one's life for one's friends
170_(John 15:13)	Love is a choice, an act of the will, for the good of the other person. The ultimate expression of love, as Jesus Christ himself said, is this: Greater love has no one than this: to lay down one's life for one's friends.	144:219	0:220	Greater love has no one than this: to lay down one's life for one's friends
174_(John 15:13)	I laugh every time i see other christian's hating on the LGBTQ. Read John 15:12-13: My command is this: Love each other as I have loved you. Greater love has no one than this: to lay down one's life for one's friends. LOVE EACH OTHER, I'm doing what God tells me.	141:216	0:263	Greater love has no one than this: to lay down one's life for one's friends
184_(John 15:13)	My command is this: Love each other as I have loved you. Greater love has no one than this: to lay down one's life for one's friends. But if you're a Rugby League player you don't have to love the gays... well fuck you, bigots	57:132	0:226	Greater love has no one than this: to lay down one's life for one's friends
