instanceID	dataIDs	label_set	non_label
pair_0_(Joshua 1:9)	1268_(Joshua 1:9),1272_(Joshua 1:9)	1,2,3,4	-
pair_1_(Joshua 1:9)	1281_(Joshua 1:9),1274_(Joshua 1:9)	1,2,3,4	-
pair_2_(Joshua 1:9)	1277_(Joshua 1:9),1260_(Joshua 1:9)	1,2,3,4	-
pair_3_(Joshua 1:9)	1281_(Joshua 1:9),1266_(Joshua 1:9)	1,2,3,4	-
pair_4_(Joshua 1:9)	1258_(Joshua 1:9),1278_(Joshua 1:9)	1,2,3,4	-
pair_5_(Joshua 1:9)	1268_(Joshua 1:9),1282_(Joshua 1:9)	1,2,3,4	-
pair_6_(Joshua 1:9)	1271_(Joshua 1:9),1274_(Joshua 1:9)	1,2,3,4	-
pair_7_(Joshua 1:9)	1271_(Joshua 1:9),1279_(Joshua 1:9)	1,2,3,4	-
pair_8_(Joshua 1:9)	1263_(Joshua 1:9),1278_(Joshua 1:9)	1,2,3,4	-
pair_9_(Joshua 1:9)	1271_(Joshua 1:9),1266_(Joshua 1:9)	1,2,3,4	-
pair_10_(Joshua 1:9)	1284_(Joshua 1:9),1259_(Joshua 1:9)	1,2,3,4	-
pair_11_(Joshua 1:9)	1283_(Joshua 1:9),1259_(Joshua 1:9)	1,2,3,4	-
pair_12_(Joshua 1:9)	1276_(Joshua 1:9),1259_(Joshua 1:9)	1,2,3,4	-
pair_13_(Joshua 1:9)	1283_(Joshua 1:9),1285_(Joshua 1:9)	1,2,3,4	-
pair_14_(Joshua 1:9)	1258_(Joshua 1:9),1262_(Joshua 1:9)	1,2,3,4	-
pair_15_(Joshua 1:9)	1276_(Joshua 1:9),1269_(Joshua 1:9)	1,2,3,4	-
pair_16_(Joshua 1:9)	1256_(Joshua 1:9),1259_(Joshua 1:9)	1,2,3,4	-
pair_17_(Joshua 1:9)	1281_(Joshua 1:9),1285_(Joshua 1:9)	1,2,3,4	-
pair_18_(Joshua 1:9)	1267_(Joshua 1:9),1260_(Joshua 1:9)	1,2,3,4	-
pair_19_(Joshua 1:9)	1263_(Joshua 1:9),1259_(Joshua 1:9)	1,2,3,4	-
pair_20_(Joshua 1:9)	1283_(Joshua 1:9),1269_(Joshua 1:9)	1,2,3,4	-
pair_21_(Joshua 1:9)	1281_(Joshua 1:9),1270_(Joshua 1:9)	1,2,3,4	-
pair_22_(Joshua 1:9)	1271_(Joshua 1:9),1275_(Joshua 1:9)	1,2,3,4	-
pair_23_(Joshua 1:9)	1276_(Joshua 1:9),1265_(Joshua 1:9)	1,2,3,4	-
pair_24_(Joshua 1:9)	1257_(Joshua 1:9),1282_(Joshua 1:9)	1,2,3,4	-
pair_25_(Joshua 1:9)	1261_(Joshua 1:9),1266_(Joshua 1:9)	1,2,3,4	-
pair_26_(Joshua 1:9)	1268_(Joshua 1:9),1278_(Joshua 1:9)	1,2,3,4	-
pair_27_(Joshua 1:9)	1268_(Joshua 1:9),1265_(Joshua 1:9)	1,2,3,4	-
pair_28_(Joshua 1:9)	1277_(Joshua 1:9),1279_(Joshua 1:9)	1,2,3,4	-
pair_29_(Joshua 1:9)	1264_(Joshua 1:9),1262_(Joshua 1:9)	1,2,3,4	-
pair_30_(Joshua 1:9)	1284_(Joshua 1:9),1279_(Joshua 1:9)	1,2,3,4	-
pair_31_(Joshua 1:9)	1284_(Joshua 1:9),1265_(Joshua 1:9)	1,2,3,4	-
pair_32_(Joshua 1:9)	1263_(Joshua 1:9),1269_(Joshua 1:9)	1,2,3,4	-
pair_33_(Joshua 1:9)	1267_(Joshua 1:9),1279_(Joshua 1:9)	1,2,3,4	-
pair_34_(Joshua 1:9)	1263_(Joshua 1:9),1275_(Joshua 1:9)	1,2,3,4	-
pair_35_(Joshua 1:9)	1264_(Joshua 1:9),1266_(Joshua 1:9)	1,2,3,4	-
