instanceID	dataIDs	label_set	non_label
pair_0_(Luke 17:3)	806_(Luke 17:3),809_(Luke 17:3)	1,2,3,4	-
pair_1_(Luke 17:3)	798_(Luke 17:3),803_(Luke 17:3)	1,2,3,4	-
pair_2_(Luke 17:3)	783_(Luke 17:3),786_(Luke 17:3)	1,2,3,4	-
pair_3_(Luke 17:3)	794_(Luke 17:3),796_(Luke 17:3)	1,2,3,4	-
pair_4_(Luke 17:3)	798_(Luke 17:3),809_(Luke 17:3)	1,2,3,4	-
pair_5_(Luke 17:3)	793_(Luke 17:3),808_(Luke 17:3)	1,2,3,4	-
pair_6_(Luke 17:3)	794_(Luke 17:3),805_(Luke 17:3)	1,2,3,4	-
pair_7_(Luke 17:3)	790_(Luke 17:3),791_(Luke 17:3)	1,2,3,4	-
pair_8_(Luke 17:3)	799_(Luke 17:3),808_(Luke 17:3)	1,2,3,4	-
pair_9_(Luke 17:3)	801_(Luke 17:3),802_(Luke 17:3)	1,2,3,4	-
pair_10_(Luke 17:3)	785_(Luke 17:3),800_(Luke 17:3)	1,2,3,4	-
pair_11_(Luke 17:3)	782_(Luke 17:3),788_(Luke 17:3)	1,2,3,4	-
pair_12_(Luke 17:3)	795_(Luke 17:3),806_(Luke 17:3)	1,2,3,4	-
pair_13_(Luke 17:3)	782_(Luke 17:3),792_(Luke 17:3)	1,2,3,4	-
pair_14_(Luke 17:3)	782_(Luke 17:3),795_(Luke 17:3)	1,2,3,4	-
pair_15_(Luke 17:3)	782_(Luke 17:3),798_(Luke 17:3)	1,2,3,4	-
pair_16_(Luke 17:3)	796_(Luke 17:3),802_(Luke 17:3)	1,2,3,4	-
pair_17_(Luke 17:3)	785_(Luke 17:3),789_(Luke 17:3)	1,2,3,4	-
pair_18_(Luke 17:3)	784_(Luke 17:3),787_(Luke 17:3)	1,2,3,4	-
pair_19_(Luke 17:3)	791_(Luke 17:3),798_(Luke 17:3)	1,2,3,4	-
pair_20_(Luke 17:3)	796_(Luke 17:3),803_(Luke 17:3)	1,2,3,4	-
pair_21_(Luke 17:3)	790_(Luke 17:3),800_(Luke 17:3)	1,2,3,4	-
pair_22_(Luke 17:3)	788_(Luke 17:3),809_(Luke 17:3)	1,2,3,4	-
pair_23_(Luke 17:3)	801_(Luke 17:3),804_(Luke 17:3)	1,2,3,4	-
pair_24_(Luke 17:3)	803_(Luke 17:3),806_(Luke 17:3)	1,2,3,4	-
pair_25_(Luke 17:3)	787_(Luke 17:3),808_(Luke 17:3)	1,2,3,4	-
pair_26_(Luke 17:3)	782_(Luke 17:3),810_(Luke 17:3)	1,2,3,4	-
