instanceID	dataIDs	label_set	non_label
pair_0_(Mark 9:23)	997_(Mark 9:23),995_(Mark 9:23)	1,2,3,4	-
pair_1_(Mark 9:23)	1014_(Mark 9:23),996_(Mark 9:23)	1,2,3,4	-
pair_2_(Mark 9:23)	1004_(Mark 9:23),996_(Mark 9:23)	1,2,3,4	-
pair_3_(Mark 9:23)	1016_(Mark 9:23),1005_(Mark 9:23)	1,2,3,4	-
pair_4_(Mark 9:23)	993_(Mark 9:23),994_(Mark 9:23)	1,2,3,4	-
pair_5_(Mark 9:23)	1013_(Mark 9:23),994_(Mark 9:23)	1,2,3,4	-
pair_6_(Mark 9:23)	1008_(Mark 9:23),1019_(Mark 9:23)	1,2,3,4	-
pair_7_(Mark 9:23)	1002_(Mark 9:23),991_(Mark 9:23)	1,2,3,4	-
pair_8_(Mark 9:23)	1001_(Mark 9:23),1005_(Mark 9:23)	1,2,3,4	-
pair_9_(Mark 9:23)	1004_(Mark 9:23),990_(Mark 9:23)	1,2,3,4	-
pair_10_(Mark 9:23)	1016_(Mark 9:23),995_(Mark 9:23)	1,2,3,4	-
pair_11_(Mark 9:23)	1018_(Mark 9:23),996_(Mark 9:23)	1,2,3,4	-
pair_12_(Mark 9:23)	1003_(Mark 9:23),1017_(Mark 9:23)	1,2,3,4	-
pair_13_(Mark 9:23)	1004_(Mark 9:23),1011_(Mark 9:23)	1,2,3,4	-
pair_14_(Mark 9:23)	1007_(Mark 9:23),1019_(Mark 9:23)	1,2,3,4	-
pair_15_(Mark 9:23)	1014_(Mark 9:23),1017_(Mark 9:23)	1,2,3,4	-
pair_16_(Mark 9:23)	1003_(Mark 9:23),1000_(Mark 9:23)	1,2,3,4	-
pair_17_(Mark 9:23)	997_(Mark 9:23),990_(Mark 9:23)	1,2,3,4	-
pair_18_(Mark 9:23)	1001_(Mark 9:23),1017_(Mark 9:23)	1,2,3,4	-
pair_19_(Mark 9:23)	999_(Mark 9:23),991_(Mark 9:23)	1,2,3,4	-
pair_20_(Mark 9:23)	1007_(Mark 9:23),1000_(Mark 9:23)	1,2,3,4	-
pair_21_(Mark 9:23)	1008_(Mark 9:23),992_(Mark 9:23)	1,2,3,4	-
pair_22_(Mark 9:23)	1009_(Mark 9:23),994_(Mark 9:23)	1,2,3,4	-
pair_23_(Mark 9:23)	1007_(Mark 9:23),992_(Mark 9:23)	1,2,3,4	-
pair_24_(Mark 9:23)	1009_(Mark 9:23),990_(Mark 9:23)	1,2,3,4	-
pair_25_(Mark 9:23)	1002_(Mark 9:23),1005_(Mark 9:23)	1,2,3,4	-
pair_26_(Mark 9:23)	1003_(Mark 9:23),1019_(Mark 9:23)	1,2,3,4	-
pair_27_(Mark 9:23)	1009_(Mark 9:23),1010_(Mark 9:23)	1,2,3,4	-
pair_28_(Mark 9:23)	993_(Mark 9:23),1006_(Mark 9:23)	1,2,3,4	-
pair_29_(Mark 9:23)	993_(Mark 9:23),991_(Mark 9:23)	1,2,3,4	-
pair_30_(Mark 9:23)	1007_(Mark 9:23),995_(Mark 9:23)	1,2,3,4	-
pair_31_(Mark 9:23)	1012_(Mark 9:23),1019_(Mark 9:23)	1,2,3,4	-
pair_32_(Mark 9:23)	1008_(Mark 9:23),995_(Mark 9:23)	1,2,3,4	-
pair_33_(Mark 9:23)	1003_(Mark 9:23),995_(Mark 9:23)	1,2,3,4	-
pair_34_(Mark 9:23)	1009_(Mark 9:23),995_(Mark 9:23)	1,2,3,4	-
pair_35_(Mark 9:23)	1007_(Mark 9:23),991_(Mark 9:23)	1,2,3,4	-
pair_36_(Mark 9:23)	1012_(Mark 9:23),1015_(Mark 9:23)	1,2,3,4	-
