instanceID	dataIDs	label_set	non_label
pair_0_(Matthew 7:7)	226_(Matthew 7:7),238_(Matthew 7:7)	1,2,3,4	-
pair_1_(Matthew 7:7)	240_(Matthew 7:7),241_(Matthew 7:7)	1,2,3,4	-
pair_2_(Matthew 7:7)	230_(Matthew 7:7),236_(Matthew 7:7)	1,2,3,4	-
pair_3_(Matthew 7:7)	229_(Matthew 7:7),244_(Matthew 7:7)	1,2,3,4	-
pair_4_(Matthew 7:7)	235_(Matthew 7:7),247_(Matthew 7:7)	1,2,3,4	-
pair_5_(Matthew 7:7)	241_(Matthew 7:7),244_(Matthew 7:7)	1,2,3,4	-
pair_6_(Matthew 7:7)	229_(Matthew 7:7),256_(Matthew 7:7)	1,2,3,4	-
pair_7_(Matthew 7:7)	245_(Matthew 7:7),251_(Matthew 7:7)	1,2,3,4	-
pair_8_(Matthew 7:7)	235_(Matthew 7:7),244_(Matthew 7:7)	1,2,3,4	-
pair_9_(Matthew 7:7)	232_(Matthew 7:7),245_(Matthew 7:7)	1,2,3,4	-
pair_10_(Matthew 7:7)	230_(Matthew 7:7),250_(Matthew 7:7)	1,2,3,4	-
pair_11_(Matthew 7:7)	226_(Matthew 7:7),251_(Matthew 7:7)	1,2,3,4	-
pair_12_(Matthew 7:7)	232_(Matthew 7:7),253_(Matthew 7:7)	1,2,3,4	-
pair_13_(Matthew 7:7)	238_(Matthew 7:7),254_(Matthew 7:7)	1,2,3,4	-
pair_14_(Matthew 7:7)	227_(Matthew 7:7),253_(Matthew 7:7)	1,2,3,4	-
pair_15_(Matthew 7:7)	240_(Matthew 7:7),256_(Matthew 7:7)	1,2,3,4	-
pair_16_(Matthew 7:7)	239_(Matthew 7:7),245_(Matthew 7:7)	1,2,3,4	-
pair_17_(Matthew 7:7)	229_(Matthew 7:7),241_(Matthew 7:7)	1,2,3,4	-
pair_18_(Matthew 7:7)	231_(Matthew 7:7),253_(Matthew 7:7)	1,2,3,4	-
pair_19_(Matthew 7:7)	243_(Matthew 7:7),250_(Matthew 7:7)	1,2,3,4	-
pair_20_(Matthew 7:7)	244_(Matthew 7:7),252_(Matthew 7:7)	1,2,3,4	-
pair_21_(Matthew 7:7)	230_(Matthew 7:7),247_(Matthew 7:7)	1,2,3,4	-
pair_22_(Matthew 7:7)	231_(Matthew 7:7),238_(Matthew 7:7)	1,2,3,4	-
pair_23_(Matthew 7:7)	232_(Matthew 7:7),251_(Matthew 7:7)	1,2,3,4	-
pair_24_(Matthew 7:7)	237_(Matthew 7:7),255_(Matthew 7:7)	1,2,3,4	-
pair_25_(Matthew 7:7)	238_(Matthew 7:7),256_(Matthew 7:7)	1,2,3,4	-
pair_26_(Matthew 7:7)	231_(Matthew 7:7),245_(Matthew 7:7)	1,2,3,4	-
pair_27_(Matthew 7:7)	229_(Matthew 7:7),232_(Matthew 7:7)	1,2,3,4	-
pair_28_(Matthew 7:7)	245_(Matthew 7:7),252_(Matthew 7:7)	1,2,3,4	-
pair_29_(Matthew 7:7)	226_(Matthew 7:7),236_(Matthew 7:7)	1,2,3,4	-
pair_30_(Matthew 7:7)	237_(Matthew 7:7),243_(Matthew 7:7)	1,2,3,4	-
pair_31_(Matthew 7:7)	245_(Matthew 7:7),249_(Matthew 7:7)	1,2,3,4	-
pair_32_(Matthew 7:7)	231_(Matthew 7:7),252_(Matthew 7:7)	1,2,3,4	-
pair_33_(Matthew 7:7)	243_(Matthew 7:7),253_(Matthew 7:7)	1,2,3,4	-
pair_34_(Matthew 7:7)	226_(Matthew 7:7),256_(Matthew 7:7)	1,2,3,4	-
pair_35_(Matthew 7:7)	235_(Matthew 7:7),237_(Matthew 7:7)	1,2,3,4	-
pair_36_(Matthew 7:7)	242_(Matthew 7:7),249_(Matthew 7:7)	1,2,3,4	-
pair_37_(Matthew 7:7)	243_(Matthew 7:7),256_(Matthew 7:7)	1,2,3,4	-
pair_38_(Matthew 7:7)	228_(Matthew 7:7),242_(Matthew 7:7)	1,2,3,4	-
pair_39_(Matthew 7:7)	247_(Matthew 7:7),253_(Matthew 7:7)	1,2,3,4	-
pair_40_(Matthew 7:7)	233_(Matthew 7:7),242_(Matthew 7:7)	1,2,3,4	-
pair_41_(Matthew 7:7)	253_(Matthew 7:7),256_(Matthew 7:7)	1,2,3,4	-
pair_42_(Matthew 7:7)	229_(Matthew 7:7),249_(Matthew 7:7)	1,2,3,4	-
pair_43_(Matthew 7:7)	242_(Matthew 7:7),246_(Matthew 7:7)	1,2,3,4	-
pair_44_(Matthew 7:7)	249_(Matthew 7:7),255_(Matthew 7:7)	1,2,3,4	-
pair_45_(Matthew 7:7)	229_(Matthew 7:7),237_(Matthew 7:7)	1,2,3,4	-
pair_46_(Matthew 7:7)	227_(Matthew 7:7),231_(Matthew 7:7)	1,2,3,4	-
pair_47_(Matthew 7:7)	227_(Matthew 7:7),242_(Matthew 7:7)	1,2,3,4	-
pair_48_(Matthew 7:7)	231_(Matthew 7:7),247_(Matthew 7:7)	1,2,3,4	-
pair_49_(Matthew 7:7)	238_(Matthew 7:7),242_(Matthew 7:7)	1,2,3,4	-
pair_50_(Matthew 7:7)	227_(Matthew 7:7),234_(Matthew 7:7)	1,2,3,4	-
pair_51_(Matthew 7:7)	230_(Matthew 7:7),255_(Matthew 7:7)	1,2,3,4	-
pair_52_(Matthew 7:7)	241_(Matthew 7:7),242_(Matthew 7:7)	1,2,3,4	-
pair_53_(Matthew 7:7)	228_(Matthew 7:7),246_(Matthew 7:7)	1,2,3,4	-
pair_54_(Matthew 7:7)	227_(Matthew 7:7),237_(Matthew 7:7)	1,2,3,4	-
pair_55_(Matthew 7:7)	233_(Matthew 7:7),249_(Matthew 7:7)	1,2,3,4	-
pair_56_(Matthew 7:7)	234_(Matthew 7:7),240_(Matthew 7:7)	1,2,3,4	-
pair_57_(Matthew 7:7)	246_(Matthew 7:7),250_(Matthew 7:7)	1,2,3,4	-
pair_58_(Matthew 7:7)	234_(Matthew 7:7),239_(Matthew 7:7)	1,2,3,4	-
pair_59_(Matthew 7:7)	241_(Matthew 7:7),254_(Matthew 7:7)	1,2,3,4	-
pair_60_(Matthew 7:7)	227_(Matthew 7:7),254_(Matthew 7:7)	1,2,3,4	-
pair_61_(Matthew 7:7)	230_(Matthew 7:7),243_(Matthew 7:7)	1,2,3,4	-
pair_62_(Matthew 7:7)	244_(Matthew 7:7),253_(Matthew 7:7)	1,2,3,4	-
pair_63_(Matthew 7:7)	246_(Matthew 7:7),255_(Matthew 7:7)	1,2,3,4	-
