instanceID	dataIDs	label_set	non_label
pair_0_(Philippians 4:13)	773_(Philippians 4:13),775_(Philippians 4:13)	1,2,3,4	-
pair_1_(Philippians 4:13)	761_(Philippians 4:13),780_(Philippians 4:13)	1,2,3,4	-
pair_2_(Philippians 4:13)	763_(Philippians 4:13),769_(Philippians 4:13)	1,2,3,4	-
pair_3_(Philippians 4:13)	760_(Philippians 4:13),766_(Philippians 4:13)	1,2,3,4	-
pair_4_(Philippians 4:13)	758_(Philippians 4:13),764_(Philippians 4:13)	1,2,3,4	-
pair_5_(Philippians 4:13)	774_(Philippians 4:13),777_(Philippians 4:13)	1,2,3,4	-
pair_6_(Philippians 4:13)	752_(Philippians 4:13),766_(Philippians 4:13)	1,2,3,4	-
pair_7_(Philippians 4:13)	752_(Philippians 4:13),753_(Philippians 4:13)	1,2,3,4	-
pair_8_(Philippians 4:13)	763_(Philippians 4:13),780_(Philippians 4:13)	1,2,3,4	-
pair_9_(Philippians 4:13)	754_(Philippians 4:13),766_(Philippians 4:13)	1,2,3,4	-
pair_10_(Philippians 4:13)	758_(Philippians 4:13),767_(Philippians 4:13)	1,2,3,4	-
pair_11_(Philippians 4:13)	778_(Philippians 4:13),779_(Philippians 4:13)	1,2,3,4	-
pair_12_(Philippians 4:13)	779_(Philippians 4:13),781_(Philippians 4:13)	1,2,3,4	-
pair_13_(Philippians 4:13)	762_(Philippians 4:13),776_(Philippians 4:13)	1,2,3,4	-
pair_14_(Philippians 4:13)	759_(Philippians 4:13),760_(Philippians 4:13)	1,2,3,4	-
pair_15_(Philippians 4:13)	754_(Philippians 4:13),776_(Philippians 4:13)	1,2,3,4	-
pair_16_(Philippians 4:13)	754_(Philippians 4:13),780_(Philippians 4:13)	1,2,3,4	-
pair_17_(Philippians 4:13)	757_(Philippians 4:13),760_(Philippians 4:13)	1,2,3,4	-
pair_18_(Philippians 4:13)	769_(Philippians 4:13),772_(Philippians 4:13)	1,2,3,4	-
pair_19_(Philippians 4:13)	752_(Philippians 4:13),754_(Philippians 4:13)	1,2,3,4	-
pair_20_(Philippians 4:13)	754_(Philippians 4:13),764_(Philippians 4:13)	1,2,3,4	-
pair_21_(Philippians 4:13)	759_(Philippians 4:13),774_(Philippians 4:13)	1,2,3,4	-
pair_22_(Philippians 4:13)	755_(Philippians 4:13),775_(Philippians 4:13)	1,2,3,4	-
pair_23_(Philippians 4:13)	755_(Philippians 4:13),779_(Philippians 4:13)	1,2,3,4	-
pair_24_(Philippians 4:13)	761_(Philippians 4:13),767_(Philippians 4:13)	1,2,3,4	-
pair_25_(Philippians 4:13)	763_(Philippians 4:13),779_(Philippians 4:13)	1,2,3,4	-
pair_26_(Philippians 4:13)	756_(Philippians 4:13),779_(Philippians 4:13)	1,2,3,4	-
pair_27_(Philippians 4:13)	763_(Philippians 4:13),767_(Philippians 4:13)	1,2,3,4	-
pair_28_(Philippians 4:13)	760_(Philippians 4:13),778_(Philippians 4:13)	1,2,3,4	-
pair_29_(Philippians 4:13)	756_(Philippians 4:13),762_(Philippians 4:13)	1,2,3,4	-
pair_30_(Philippians 4:13)	763_(Philippians 4:13),777_(Philippians 4:13)	1,2,3,4	-
pair_31_(Philippians 4:13)	767_(Philippians 4:13),781_(Philippians 4:13)	1,2,3,4	-
pair_32_(Philippians 4:13)	765_(Philippians 4:13),768_(Philippians 4:13)	1,2,3,4	-
pair_33_(Philippians 4:13)	758_(Philippians 4:13),777_(Philippians 4:13)	1,2,3,4	-
pair_34_(Philippians 4:13)	762_(Philippians 4:13),765_(Philippians 4:13)	1,2,3,4	-
pair_35_(Philippians 4:13)	769_(Philippians 4:13),779_(Philippians 4:13)	1,2,3,4	-
pair_36_(Philippians 4:13)	773_(Philippians 4:13),778_(Philippians 4:13)	1,2,3,4	-
pair_37_(Philippians 4:13)	773_(Philippians 4:13),781_(Philippians 4:13)	1,2,3,4	-
pair_38_(Philippians 4:13)	755_(Philippians 4:13),759_(Philippians 4:13)	1,2,3,4	-
pair_39_(Philippians 4:13)	767_(Philippians 4:13),771_(Philippians 4:13)	1,2,3,4	-
pair_40_(Philippians 4:13)	760_(Philippians 4:13),779_(Philippians 4:13)	1,2,3,4	-
pair_41_(Philippians 4:13)	771_(Philippians 4:13),780_(Philippians 4:13)	1,2,3,4	-
pair_42_(Philippians 4:13)	759_(Philippians 4:13),769_(Philippians 4:13)	1,2,3,4	-
pair_43_(Philippians 4:13)	757_(Philippians 4:13),765_(Philippians 4:13)	1,2,3,4	-
pair_44_(Philippians 4:13)	763_(Philippians 4:13),778_(Philippians 4:13)	1,2,3,4	-
pair_45_(Philippians 4:13)	766_(Philippians 4:13),778_(Philippians 4:13)	1,2,3,4	-
pair_46_(Philippians 4:13)	778_(Philippians 4:13),781_(Philippians 4:13)	1,2,3,4	-
pair_47_(Philippians 4:13)	764_(Philippians 4:13),781_(Philippians 4:13)	1,2,3,4	-
pair_48_(Philippians 4:13)	770_(Philippians 4:13),780_(Philippians 4:13)	1,2,3,4	-
pair_49_(Philippians 4:13)	756_(Philippians 4:13),770_(Philippians 4:13)	1,2,3,4	-
pair_50_(Philippians 4:13)	766_(Philippians 4:13),777_(Philippians 4:13)	1,2,3,4	-
pair_51_(Philippians 4:13)	755_(Philippians 4:13),760_(Philippians 4:13)	1,2,3,4	-
pair_52_(Philippians 4:13)	766_(Philippians 4:13),767_(Philippians 4:13)	1,2,3,4	-
pair_53_(Philippians 4:13)	762_(Philippians 4:13),781_(Philippians 4:13)	1,2,3,4	-
pair_54_(Philippians 4:13)	754_(Philippians 4:13),763_(Philippians 4:13)	1,2,3,4	-
pair_55_(Philippians 4:13)	753_(Philippians 4:13),769_(Philippians 4:13)	1,2,3,4	-
pair_56_(Philippians 4:13)	769_(Philippians 4:13),777_(Philippians 4:13)	1,2,3,4	-
pair_57_(Philippians 4:13)	762_(Philippians 4:13),770_(Philippians 4:13)	1,2,3,4	-
pair_58_(Philippians 4:13)	756_(Philippians 4:13),776_(Philippians 4:13)	1,2,3,4	-
pair_59_(Philippians 4:13)	767_(Philippians 4:13),775_(Philippians 4:13)	1,2,3,4	-
pair_60_(Philippians 4:13)	763_(Philippians 4:13),765_(Philippians 4:13)	1,2,3,4	-
pair_61_(Philippians 4:13)	761_(Philippians 4:13),773_(Philippians 4:13)	1,2,3,4	-
pair_62_(Philippians 4:13)	764_(Philippians 4:13),769_(Philippians 4:13)	1,2,3,4	-
pair_63_(Philippians 4:13)	768_(Philippians 4:13),778_(Philippians 4:13)	1,2,3,4	-
pair_64_(Philippians 4:13)	772_(Philippians 4:13),778_(Philippians 4:13)	1,2,3,4	-
pair_65_(Philippians 4:13)	767_(Philippians 4:13),777_(Philippians 4:13)	1,2,3,4	-
pair_66_(Philippians 4:13)	753_(Philippians 4:13),768_(Philippians 4:13)	1,2,3,4	-
pair_67_(Philippians 4:13)	757_(Philippians 4:13),780_(Philippians 4:13)	1,2,3,4	-
pair_68_(Philippians 4:13)	756_(Philippians 4:13),773_(Philippians 4:13)	1,2,3,4	-
pair_69_(Philippians 4:13)	752_(Philippians 4:13),767_(Philippians 4:13)	1,2,3,4	-
