dataID	context	indices_target_token	indices_target_sentence	lemma
752_(Philippians 4:13)	"I can do all things through Christ who strengthens me." Go to your place of prayer and renew your energy. Happy sunday	1:54	0:119	I can do all things through Christ who strengthens me
753_(Philippians 4:13)	I can do all things through Christ who strengthens me unless I'm a mega church pastor who has to fly coach 🙄 So many private jets 🤦‍ ♀ 	0:53	0:135	I can do all things through Christ who strengthens me
754_(Philippians 4:13)	"I can do all things through Christ who strengthens me." That was Dan Allen's life verse. What a joy it was to attend his memorial service today. From Liberty University to Cape May, from Ephrata to India, the risen Christ sure did use this brother!	1:54	0:249	I can do all things through Christ who strengthens me
755_(Philippians 4:13)	Wish it was that way! But it's not! Like every other addiction out there! It's a spiritual warfare you need to fight! You got this bro! "You can do ALL things through Christ, your Savior and Redeemer who strengthens you."	137:219	0:221	I can do all things through Christ who strengthens me
756_(Philippians 4:13)	1) Found strength in God's word: "I can do all things through Christ who strengthens me"2) Reminded myself that I'm human and it's NORMAL to make mistakes	34:87	0:154	I can do all things through Christ who strengthens me
757_(Philippians 4:13)	Guys, I sinned again... BUT WORRY NOT, I can do this, for it is Christ who is with me, and I shall prosper against this sin in due time. Almost went a week, which means I can easily go longer. "I can do all things through Christ who strengthens me." Never falter.	194:247	0:263	I can do all things through Christ who strengthens me
758_(Philippians 4:13)	Busy Manifesting:Everything I dream of I put my mind into it I swear! I know I may procrastinate a lot but imma do it... Study study study! Start Early Your Future Realtor 🏠 💜 All in All ⭐ "I can do all things through Christ who strengthens me"	190:243	0:244	I can do all things through Christ who strengthens me
759_(Philippians 4:13)	Nothing is impossible. Know this and get things done. "I can do all things through Christ who strengthens me".	55:108	0:110	I can do all things through Christ who strengthens me
760_(Philippians 4:13)	"I can do all things through Christ who strengthens me." Through God's strength and empowerment, believers can accomplish anything. We are not limited by our own abilities, but rather, by relying on God, we tap into His unlimited power.	1:54	0:236	I can do all things through Christ who strengthens me
761_(Philippians 4:13)	Victory starts in the mindset of a believer. Have faith you can overcome. Refuse to bow to failure & inability. Success comes in "cans" & failures in "cants". Optimism is a key to the ambitious who wants to achieve. The apostle Paul said: I can do all things through Christ who strengthens me	239:292	0:292	I can do all things through Christ who strengthens me
762_(Philippians 4:13)	Through the empowering name of Jesus, you will soar in success and surpass all limitations. With faith as your guide, you will excel and achieve greatness. As Philippians 4:13 declares, "I can do all things through Christ who strengthens me." 	187:240	0:243	I can do all things through Christ who strengthens me
763_(Philippians 4:13)	YOU were made for more. Think, Pray, Believe, Do SOMETHING today that moves you in the direction of your dreams. You are able. You are capable. You can do all things through Christ who strengthens you. Just Do It!	144:200	0:213	I can do all things through Christ who strengthens me
