instanceID	dataIDs	label_set	non_label
pair_0_(Proverbs 10:12)	898_(Proverbs 10:12),899_(Proverbs 10:12)	1,2,3,4	-
pair_1_(Proverbs 10:12)	898_(Proverbs 10:12),877_(Proverbs 10:12)	1,2,3,4	-
pair_2_(Proverbs 10:12)	891_(Proverbs 10:12),896_(Proverbs 10:12)	1,2,3,4	-
pair_3_(Proverbs 10:12)	874_(Proverbs 10:12),878_(Proverbs 10:12)	1,2,3,4	-
pair_4_(Proverbs 10:12)	883_(Proverbs 10:12),871_(Proverbs 10:12)	1,2,3,4	-
pair_5_(Proverbs 10:12)	891_(Proverbs 10:12),882_(Proverbs 10:12)	1,2,3,4	-
pair_6_(Proverbs 10:12)	872_(Proverbs 10:12),877_(Proverbs 10:12)	1,2,3,4	-
pair_7_(Proverbs 10:12)	884_(Proverbs 10:12),886_(Proverbs 10:12)	1,2,3,4	-
pair_8_(Proverbs 10:12)	894_(Proverbs 10:12),887_(Proverbs 10:12)	1,2,3,4	-
pair_9_(Proverbs 10:12)	894_(Proverbs 10:12),896_(Proverbs 10:12)	1,2,3,4	-
pair_10_(Proverbs 10:12)	898_(Proverbs 10:12),896_(Proverbs 10:12)	1,2,3,4	-
pair_11_(Proverbs 10:12)	893_(Proverbs 10:12),878_(Proverbs 10:12)	1,2,3,4	-
pair_12_(Proverbs 10:12)	895_(Proverbs 10:12),881_(Proverbs 10:12)	1,2,3,4	-
pair_13_(Proverbs 10:12)	879_(Proverbs 10:12),899_(Proverbs 10:12)	1,2,3,4	-
pair_14_(Proverbs 10:12)	872_(Proverbs 10:12),875_(Proverbs 10:12)	1,2,3,4	-
pair_15_(Proverbs 10:12)	880_(Proverbs 10:12),876_(Proverbs 10:12)	1,2,3,4	-
pair_16_(Proverbs 10:12)	888_(Proverbs 10:12),877_(Proverbs 10:12)	1,2,3,4	-
pair_17_(Proverbs 10:12)	889_(Proverbs 10:12),890_(Proverbs 10:12)	1,2,3,4	-
pair_18_(Proverbs 10:12)	891_(Proverbs 10:12),875_(Proverbs 10:12)	1,2,3,4	-
pair_19_(Proverbs 10:12)	891_(Proverbs 10:12),878_(Proverbs 10:12)	1,2,3,4	-
pair_20_(Proverbs 10:12)	888_(Proverbs 10:12),899_(Proverbs 10:12)	1,2,3,4	-
pair_21_(Proverbs 10:12)	872_(Proverbs 10:12),882_(Proverbs 10:12)	1,2,3,4	-
pair_22_(Proverbs 10:12)	889_(Proverbs 10:12),881_(Proverbs 10:12)	1,2,3,4	-
pair_23_(Proverbs 10:12)	895_(Proverbs 10:12),885_(Proverbs 10:12)	1,2,3,4	-
pair_24_(Proverbs 10:12)	888_(Proverbs 10:12),881_(Proverbs 10:12)	1,2,3,4	-
