dataID	context	indices_target_token	indices_target_sentence	lemma
1200_(Proverbs 31:10)	A wife of noble character who can find? She is worth far more than rubies To the Hardworking Ladies out there, keep pushing and remain on track. Have a blessed Sunday.	0:73	0:167	A wife of noble character who can find? She is worth far more than rubies
1201_(Proverbs 31:10)	"A wife of noble character who can find? She is worth far more than rubies". A wife of good character is described as worth more than rubies in proverbs 31:10. You don't find her just anywhere. She is someone who doesn't grant access to just anyone. You brothers are picking up stones and calling them wives.	1:74	0:308	A wife of noble character who can find? She is worth far more than rubies
1202_(Proverbs 31:10)	A wife of noble character who can find? She is worth far more than rubies. No man can find one cause they don't exist.	0:73	0:118	A wife of noble character who can find? She is worth far more than rubies
1203_(Proverbs 31:10)	A wife of noble character who can find? She is worth far more than rubies, but it seems many Christian men are revealing they don't believe their wives could ever be this.	0:73	0:171	A wife of noble character who can find? She is worth far more than rubies
1204_(Proverbs 31:10)	We still need to make homes. Who will make them? What is a home? It is not just a dwelling or a place to live. It's an environment where love can blossom and children can grow up. "A wife of noble character who can find? She is worth far more than rubies"	181:254	0:255	A wife of noble character who can find? She is worth far more than rubies
1205_(Proverbs 31:10)	A suggestion for how we Christian husbands should view our Christian wives. "A wife of noble character who can find? She is worth far more than rubies"	77:150	0:151	A wife of noble character who can find? She is worth far more than rubies
1206_(Proverbs 31:10)	A wife's role can be very challenging at times. They wear more "hats" than are sold at a hat store. However, a wife of good character should take comfort in knowing that she is a valued treasure and is a blessing to her husband. "A wife of noble character who can find? She is worth far more than rubies."	230:303	0:305	A wife of noble character who can find? She is worth far more than rubies
1207_(Proverbs 31:10)	Today is the official day in July. Deb's birthday. Proverbs 31:10 says, "A wife of noble character who can find? She is worth far more than rubies". Deb is virtuous, capable, and precious. She loves her family deeply.	73:146	0:217	A wife of noble character who can find? She is worth far more than rubies
1208_(Proverbs 31:10)	"A wife of noble character who can find? She is worth far more than rubies". The bigger the hoop, the higher the virtue 😂?!	1:74	0:123	A wife of noble character who can find? She is worth far more than rubies
1209_(Proverbs 31:10)	Women think that means ANY woman you MAKE a wife 😂. The emphasis is on the RARITY of such women... A wife of noble character who can find? She is worth far more than rubies.	99:172	0:173	A wife of noble character who can find? She is worth far more than rubies
1210_(Proverbs 31:10)	"A wife of noble character who can find? She is worth far more than rubies." Pastor Terri is truly a #radiant woman of God in everything she does, and we are so #grateful for her.	1:74	0:179	A wife of noble character who can find? She is worth far more than rubies
1211_(Proverbs 31:10)	A wife of noble character who can find? She is worth far more than rubies. We literally know what makes a virtuous wife and what to aspire to: of course people don't like talking about it because any woman can aspire to be this wife. No matter her past, she can repent and be forgiven and if she gets married, she can be this beautiful description of a wife.	0:73	0:358	A wife of noble character who can find? She is worth far more than rubies
1212_(Proverbs 31:10)	Of course low-quality females are higher in number! That's what immediately pays! These are all things men can vet for. She have tattoos? Dyed hair? No father? Wears chokers constantly? Not excited about kids? Don't marry her! Proverbs 31:10 says "A wife of noble character who can find? She is worth far more than rubies." is clear that quality is rare!	248:321	0:354	A wife of noble character who can find? She is worth far more than rubies
1213_(Proverbs 31:10)	No more shortcuts. "A wife of noble character who can find? She is worth far more than rubies. Her husband can trust her, and she will greatly enrich his life."	20:93	0:160	A wife of noble character who can find? She is worth far more than rubies
1214_(Proverbs 31:10)	"A wife of noble character who can find? She is worth far more than rubies." How kind of Solomon to speak so highly of such a woman. More husbands need to speak this way about their wives.	1:74	0:188	A wife of noble character who can find? She is worth far more than rubies
1215_(Proverbs 31:10)	Don't go for looks, body shapes or outer appearance... take note of vers 30. A wife of noble character who can find? She is worth far more than rubies.	77:150	0:151	A wife of noble character who can find? She is worth far more than rubies
1216_(Proverbs 31:10)	A wife of noble character who can find? She is worth far more than rubies. The truth is, there are many capable women in the land, but you! You surpass them all. Is it not said? Charm may be deceitful, and beauty maybe be fleeting, but the woman who fears GOD shall be praised. 	0:73	0:278	A wife of noble character who can find? She is worth far more than rubies
1217_(Proverbs 31:10)	Consulting his wife makes him wise... if she's godly. Any man would be a fool to not consider his wife's thoughts and feelings... "A wife of noble character who can find? She is worth far more than rubies."	131:204	0:206	A wife of noble character who can find? She is worth far more than rubies
1218_(Proverbs 31:10)	"A wife of noble character who can find? She is worth far more than rubies."You don't need to wear the pants in order to have a gracious husband who understands his role and has wisdom to take into consideration the wants and needs of his precious wife "who's worth is far above rubies" 	1:74	0:287	A wife of noble character who can find? She is worth far more than rubies
1219_(Proverbs 31:10)	A wife of noble character who can find? She is worth far more than rubies. Seventhly, encourage her personal growth. Empower your wife to acquire new knowledge, skills,&experiences in her career. Motivate her to attend classes, conferences,&connect with like-minded professionals. Proverbs 31:10 extols the virtues of wisdom and kindness.	0:73	0:338	A wife of noble character who can find? She is worth far more than rubies
1220_(Proverbs 31:10)	This is somewhat misleading. Even the Holy Bible mentions the ideal wife to be a strong interdependent working woman. A wife of noble character who can find? She is worth far more than rubies.	118:191	0:192	A wife of noble character who can find? She is worth far more than rubies
1221_(Proverbs 31:10)	"A wife of noble character who can find? She is worth far more than rubies." Good(righteous) men's value doesn't come from the amount of money they have and good women can't be brought by the things of this world.	1:74	0:213	A wife of noble character who can find? She is worth far more than rubies
1222_(Proverbs 31:10)	Inspirational Bible Verse: A wife of noble character who can find? She is worth far more than rubies. Inspirational Message: Never lower your standards in order to find a partner. Instead, know your worth & never settle.	27:100	0:220	A wife of noble character who can find? She is worth far more than rubies
1223_(Proverbs 31:10)	A God fearing woman nowadays is more rare and valuable as any jewel. Any man that has one, you have been blessed. A wife of noble character who can find? She is worth far more than rubies.	114:187	0:188	A wife of noble character who can find? She is worth far more than rubies
