instanceID	dataIDs	label_set	non_label
pair_0_(Psalm 118:24)	847_(Psalm 118:24),845_(Psalm 118:24)	1,2,3,4	-
pair_1_(Psalm 118:24)	851_(Psalm 118:24),841_(Psalm 118:24)	1,2,3,4	-
pair_2_(Psalm 118:24)	847_(Psalm 118:24),867_(Psalm 118:24)	1,2,3,4	-
pair_3_(Psalm 118:24)	870_(Psalm 118:24),845_(Psalm 118:24)	1,2,3,4	-
pair_4_(Psalm 118:24)	852_(Psalm 118:24),845_(Psalm 118:24)	1,2,3,4	-
pair_5_(Psalm 118:24)	850_(Psalm 118:24),859_(Psalm 118:24)	1,2,3,4	-
pair_6_(Psalm 118:24)	857_(Psalm 118:24),865_(Psalm 118:24)	1,2,3,4	-
pair_7_(Psalm 118:24)	851_(Psalm 118:24),867_(Psalm 118:24)	1,2,3,4	-
pair_8_(Psalm 118:24)	849_(Psalm 118:24),868_(Psalm 118:24)	1,2,3,4	-
pair_9_(Psalm 118:24)	847_(Psalm 118:24),855_(Psalm 118:24)	1,2,3,4	-
pair_10_(Psalm 118:24)	862_(Psalm 118:24),868_(Psalm 118:24)	1,2,3,4	-
pair_11_(Psalm 118:24)	858_(Psalm 118:24),845_(Psalm 118:24)	1,2,3,4	-
pair_12_(Psalm 118:24)	848_(Psalm 118:24),859_(Psalm 118:24)	1,2,3,4	-
pair_13_(Psalm 118:24)	870_(Psalm 118:24),866_(Psalm 118:24)	1,2,3,4	-
pair_14_(Psalm 118:24)	857_(Psalm 118:24),866_(Psalm 118:24)	1,2,3,4	-
pair_15_(Psalm 118:24)	870_(Psalm 118:24),863_(Psalm 118:24)	1,2,3,4	-
pair_16_(Psalm 118:24)	844_(Psalm 118:24),864_(Psalm 118:24)	1,2,3,4	-
pair_17_(Psalm 118:24)	870_(Psalm 118:24),865_(Psalm 118:24)	1,2,3,4	-
pair_18_(Psalm 118:24)	850_(Psalm 118:24),855_(Psalm 118:24)	1,2,3,4	-
pair_19_(Psalm 118:24)	843_(Psalm 118:24),855_(Psalm 118:24)	1,2,3,4	-
pair_20_(Psalm 118:24)	842_(Psalm 118:24),869_(Psalm 118:24)	1,2,3,4	-
pair_21_(Psalm 118:24)	861_(Psalm 118:24),860_(Psalm 118:24)	1,2,3,4	-
pair_22_(Psalm 118:24)	843_(Psalm 118:24),860_(Psalm 118:24)	1,2,3,4	-
pair_23_(Psalm 118:24)	858_(Psalm 118:24),869_(Psalm 118:24)	1,2,3,4	-
pair_24_(Psalm 118:24)	861_(Psalm 118:24),868_(Psalm 118:24)	1,2,3,4	-
pair_25_(Psalm 118:24)	844_(Psalm 118:24),859_(Psalm 118:24)	1,2,3,4	-
pair_26_(Psalm 118:24)	870_(Psalm 118:24),856_(Psalm 118:24)	1,2,3,4	-
pair_27_(Psalm 118:24)	851_(Psalm 118:24),864_(Psalm 118:24)	1,2,3,4	-
pair_28_(Psalm 118:24)	861_(Psalm 118:24),864_(Psalm 118:24)	1,2,3,4	-
pair_29_(Psalm 118:24)	852_(Psalm 118:24),856_(Psalm 118:24)	1,2,3,4	-
pair_30_(Psalm 118:24)	854_(Psalm 118:24),855_(Psalm 118:24)	1,2,3,4	-
pair_31_(Psalm 118:24)	857_(Psalm 118:24),846_(Psalm 118:24)	1,2,3,4	-
pair_32_(Psalm 118:24)	862_(Psalm 118:24),859_(Psalm 118:24)	1,2,3,4	-
pair_33_(Psalm 118:24)	848_(Psalm 118:24),860_(Psalm 118:24)	1,2,3,4	-
pair_34_(Psalm 118:24)	849_(Psalm 118:24),863_(Psalm 118:24)	1,2,3,4	-
pair_35_(Psalm 118:24)	857_(Psalm 118:24),845_(Psalm 118:24)	1,2,3,4	-
pair_36_(Psalm 118:24)	850_(Psalm 118:24),864_(Psalm 118:24)	1,2,3,4	-
pair_37_(Psalm 118:24)	849_(Psalm 118:24),846_(Psalm 118:24)	1,2,3,4	-
pair_38_(Psalm 118:24)	861_(Psalm 118:24),853_(Psalm 118:24)	1,2,3,4	-
pair_39_(Psalm 118:24)	854_(Psalm 118:24),841_(Psalm 118:24)	1,2,3,4	-
pair_40_(Psalm 118:24)	848_(Psalm 118:24),846_(Psalm 118:24)	1,2,3,4	-
pair_41_(Psalm 118:24)	842_(Psalm 118:24),867_(Psalm 118:24)	1,2,3,4	-
pair_42_(Psalm 118:24)	849_(Psalm 118:24),864_(Psalm 118:24)	1,2,3,4	-
pair_43_(Psalm 118:24)	843_(Psalm 118:24),859_(Psalm 118:24)	1,2,3,4	-
pair_44_(Psalm 118:24)	842_(Psalm 118:24),863_(Psalm 118:24)	1,2,3,4	-
pair_45_(Psalm 118:24)	847_(Psalm 118:24),859_(Psalm 118:24)	1,2,3,4	-
pair_46_(Psalm 118:24)	851_(Psalm 118:24),865_(Psalm 118:24)	1,2,3,4	-
pair_47_(Psalm 118:24)	843_(Psalm 118:24),867_(Psalm 118:24)	1,2,3,4	-
pair_48_(Psalm 118:24)	843_(Psalm 118:24),856_(Psalm 118:24)	1,2,3,4	-
pair_49_(Psalm 118:24)	847_(Psalm 118:24),869_(Psalm 118:24)	1,2,3,4	-
pair_50_(Psalm 118:24)	858_(Psalm 118:24),846_(Psalm 118:24)	1,2,3,4	-
pair_51_(Psalm 118:24)	870_(Psalm 118:24),855_(Psalm 118:24)	1,2,3,4	-
pair_52_(Psalm 118:24)	861_(Psalm 118:24),856_(Psalm 118:24)	1,2,3,4	-
