dataID	context	indices_target_token	indices_target_sentence	lemma
210_(Psalm 23:1)	The Lord is my shepherd, I want everything I Desire and more	0:23	0:60	The Lord is my shepherd
212_(Psalm 23:1)	the lord is my shepherd, i want a collector for this painting.	0:23	0:62	The Lord is my shepherd
202_(Psalm 23:1)	The Lord is my shepherd and I shall not want. Another year has come and I'm grateful and thankful to the Almighty. Pls kindly spare me a prayer for health, peace and wisdom and pls also pray for our dear nation for the Lord's favor to touch us. Wish ALL a better year ahead	0:23	0:273	The Lord is my shepherd
214_(Psalm 23:1)	The LORD is my shepherd; I shall not want. He maketh me to lie down in green pastures: He leadeth me beside the still waters.	0:23	0:125	The Lord is my shepherd
200_(Psalm 23:1)	Psalm 23 has been stuck in my head for the past 2 days. So in case this is a message for someone else let us pray: The Lord is my Shepherd, I shall not want. He maketh me to lie down in green pastures, He leadeth me beside the still waters He restored my soul: He leadeth	115:138	0:271	The Lord is my shepherd
220_(Psalm 23:1)	Barbara DuBose is asking the world, no matter religion/faith, to pray everyday: The lord is my Shepherd, I shall not want, and develop from there. All that is mandatory is sincerity and unconditional love. Release all conflict, fear, and hate from your <3	80:103	0:255	The Lord is my shepherd
213_(Psalm 23:1)	The Lord is my Shepherd, I have everything I need. Happy Sunday guys	0:23	0:68	The Lord is my shepherd
205_(Psalm 23:1)	The Lord is my shepherd., I shall not want... this week 😁	0:23	0:57	The Lord is my shepherd
207_(Psalm 23:1)	Good Thursday Morning 🙏🏼 ☀ Have a blessed day & lots of coffee ☕ ! The Lord is my shepherd; I shall not want. He makes me to lie down in green pastures; He leads me beside the still waters.	67:90	0:189	The Lord is my shepherd
221_(Psalm 23:1)	The LORD is my shepherd... I shall not want.. 🌕. Carry your monies and iPhone 14 Pro max away jorrr 😌 my ZADDY go provide	0:23	0:121	The Lord is my shepherd
216_(Psalm 23:1)	The Lord is my shepherd, I lack nothing.	0:23	0:40	The Lord is my shepherd
225_(Psalm 23:1)	The Lord is my shepherd so I shall not want. I won't lack anything good, I won't beg, It's my duty to lend to many nations, not to borrow. Because I know who my Father is, so from henceforth, I walk in everything God has for me. I walk in the proclamation of ease.	0:23	0:264	The Lord is my shepherd
211_(Psalm 23:1)	Sheep are one of the few animals that do not have a defense system. Sheep are helpless without a shepherd. The Lord is my Shepherd, I lack nothing.' Without the Lord our Shepherd, we are helpless when our enemy attacks.	107:130	0:219	The Lord is my shepherd
219_(Psalm 23:1)	The Lord is my Shepherd, I want 10,000,000 Dollars 🥹🥹	0:23	0:53	The Lord is my shepherd
199_(Psalm 23:1)	Good morning! Boldly pray with me: The Lord is my Shepherd; I shall not want. He maketh me to lie down in green pastures: He leadeth me beside the still waters. He restoreth my soul: He leadeth me in the paths of righteousness for His Name's sake. Amen.	35:58	0:253	The Lord is my shepherd
203_(Psalm 23:1)	The lord is my shepherd i shall not want. God i beg i dey want $1,000,000	0:23	0:73	The Lord is my shepherd
196_(Psalm 23:1)	For #peace and an end to armed conflict in #Ethiopia, we pray dear Lord, hear our #Prayer. 🕊 🙏 "The Lord is my Shepherd, I shall not want... He leads me near restful waters,.. He restores my soul.." 	96:119	0:199	The Lord is my shepherd
197_(Psalm 23:1)	One of the most powerful prayers you can pray in the Bible is Psalm 23:1: "The Lord is my Shepherd, I shall not want"	75:98	0:117	The Lord is my shepherd
204_(Psalm 23:1)	No matter the mockery you people post on this App, God go still help us. 🤣 🤣 🤣 We go still pray, & He'll answer. We'll still declare, & it shall be established unto us. He'll still intervene for the elect sake. Let me start sef: The Lord is my Shepherd, I SHALL NOT WANT. 😉 💪	229:252	0:275	The Lord is my shepherd
208_(Psalm 23:1)	The lord is my shepherd I want $500,000,000.	0:23	0:44	The Lord is my shepherd
215_(Psalm 23:1)	The lord is my shepherd but I want $20M.	0:23	0:40	The Lord is my shepherd
222_(Psalm 23:1)	The Lord is my shepherd and I shall not want. Watch all the headed goals Terrence Dzvukamanja has scored for Pirates in the #DStvPrem	0:23	0:133	The Lord is my shepherd
218_(Psalm 23:1)	The lord is my shepherd, i want $200,000.	0:23	0:41	The Lord is my shepherd
223_(Psalm 23:1)	The Lord is my shepherd, I shall not want. Join us this #prayersunday as we reflect on a Prayer of Dedication	0:23	0:109	The Lord is my shepherd
201_(Psalm 23:1)	Lord I am praying for the lost sheep. The Lord is my shepherd.. I shall not want. Lord I feel so many are wandering. The herd has thinned and needs help. I pray that they find their way home. Help guide them. Feed them Your Word Lord..The Word only You can provide.	38:61	0:265	The Lord is my shepherd
217_(Psalm 23:1)	The Lord is my shepherd; I have all that I need.	0:23	0:48	The Lord is my shepherd
224_(Psalm 23:1)	Everyday! Always has and always will. I love Jesus, and He loves me and my family. God bless America. The Lord is my shepherd, and I shall not want.	102:125	0:148	The Lord is my shepherd
206_(Psalm 23:1)	Psalm 23 has been my everyday scripture recently and it really is so powerful because The Lord IS my Shepherd, i shall not want, need, fear, worry or get lost. He's always there to guide, provide for me and bring me back if i wander off.	86:109	0:237	The Lord is my shepherd
198_(Psalm 23:1)	Girls will pray "The Lord is my shepherd, I shall not want" but still want to take everything you have. Hmm	17:40	0:107	The Lord is my shepherd
209_(Psalm 23:1)	The lord is my shepherd, i want to graduate from school 😭	0:23	0:57	The Lord is my shepherd
