instanceID	dataIDs	label_set	non_label
pair_0_(Romans 12:10)	636_(Romans 12:10),651_(Romans 12:10)	1,2,3,4	-
pair_1_(Romans 12:10)	634_(Romans 12:10),637_(Romans 12:10)	1,2,3,4	-
pair_2_(Romans 12:10)	635_(Romans 12:10),637_(Romans 12:10)	1,2,3,4	-
pair_3_(Romans 12:10)	638_(Romans 12:10),645_(Romans 12:10)	1,2,3,4	-
pair_4_(Romans 12:10)	650_(Romans 12:10),653_(Romans 12:10)	1,2,3,4	-
pair_5_(Romans 12:10)	633_(Romans 12:10),660_(Romans 12:10)	1,2,3,4	-
pair_6_(Romans 12:10)	643_(Romans 12:10),655_(Romans 12:10)	1,2,3,4	-
pair_7_(Romans 12:10)	650_(Romans 12:10),660_(Romans 12:10)	1,2,3,4	-
pair_8_(Romans 12:10)	654_(Romans 12:10),659_(Romans 12:10)	1,2,3,4	-
pair_9_(Romans 12:10)	656_(Romans 12:10),658_(Romans 12:10)	1,2,3,4	-
pair_10_(Romans 12:10)	636_(Romans 12:10),658_(Romans 12:10)	1,2,3,4	-
pair_11_(Romans 12:10)	642_(Romans 12:10),645_(Romans 12:10)	1,2,3,4	-
pair_12_(Romans 12:10)	633_(Romans 12:10),653_(Romans 12:10)	1,2,3,4	-
pair_13_(Romans 12:10)	638_(Romans 12:10),642_(Romans 12:10)	1,2,3,4	-
pair_14_(Romans 12:10)	647_(Romans 12:10),662_(Romans 12:10)	1,2,3,4	-
pair_15_(Romans 12:10)	634_(Romans 12:10),642_(Romans 12:10)	1,2,3,4	-
pair_16_(Romans 12:10)	641_(Romans 12:10),651_(Romans 12:10)	1,2,3,4	-
pair_17_(Romans 12:10)	638_(Romans 12:10),659_(Romans 12:10)	1,2,3,4	-
pair_18_(Romans 12:10)	651_(Romans 12:10),660_(Romans 12:10)	1,2,3,4	-
pair_19_(Romans 12:10)	644_(Romans 12:10),645_(Romans 12:10)	1,2,3,4	-
pair_20_(Romans 12:10)	657_(Romans 12:10),661_(Romans 12:10)	1,2,3,4	-
pair_21_(Romans 12:10)	645_(Romans 12:10),649_(Romans 12:10)	1,2,3,4	-
pair_22_(Romans 12:10)	649_(Romans 12:10),653_(Romans 12:10)	1,2,3,4	-
pair_23_(Romans 12:10)	647_(Romans 12:10),656_(Romans 12:10)	1,2,3,4	-
