instanceID	dataIDs	label_set	non_label
pair_0_(Solomon 4:7)	1242_(Solomon 4:7),1232_(Solomon 4:7)	1,2,3,4	-
pair_1_(Solomon 4:7)	1239_(Solomon 4:7),1237_(Solomon 4:7)	1,2,3,4	-
pair_2_(Solomon 4:7)	1253_(Solomon 4:7),1240_(Solomon 4:7)	1,2,3,4	-
pair_3_(Solomon 4:7)	1238_(Solomon 4:7),1250_(Solomon 4:7)	1,2,3,4	-
pair_4_(Solomon 4:7)	1244_(Solomon 4:7),1236_(Solomon 4:7)	1,2,3,4	-
pair_5_(Solomon 4:7)	1245_(Solomon 4:7),1240_(Solomon 4:7)	1,2,3,4	-
pair_6_(Solomon 4:7)	1251_(Solomon 4:7),1250_(Solomon 4:7)	1,2,3,4	-
pair_7_(Solomon 4:7)	1230_(Solomon 4:7),1240_(Solomon 4:7)	1,2,3,4	-
pair_8_(Solomon 4:7)	1230_(Solomon 4:7),1237_(Solomon 4:7)	1,2,3,4	-
pair_9_(Solomon 4:7)	1235_(Solomon 4:7),1241_(Solomon 4:7)	1,2,3,4	-
pair_10_(Solomon 4:7)	1244_(Solomon 4:7),1254_(Solomon 4:7)	1,2,3,4	-
pair_11_(Solomon 4:7)	1239_(Solomon 4:7),1232_(Solomon 4:7)	1,2,3,4	-
pair_12_(Solomon 4:7)	1253_(Solomon 4:7),1248_(Solomon 4:7)	1,2,3,4	-
pair_13_(Solomon 4:7)	1238_(Solomon 4:7),1255_(Solomon 4:7)	1,2,3,4	-
pair_14_(Solomon 4:7)	1245_(Solomon 4:7),1233_(Solomon 4:7)	1,2,3,4	-
pair_15_(Solomon 4:7)	1253_(Solomon 4:7),1255_(Solomon 4:7)	1,2,3,4	-
pair_16_(Solomon 4:7)	1253_(Solomon 4:7),1254_(Solomon 4:7)	1,2,3,4	-
pair_17_(Solomon 4:7)	1234_(Solomon 4:7),1243_(Solomon 4:7)	1,2,3,4	-
pair_18_(Solomon 4:7)	1244_(Solomon 4:7),1255_(Solomon 4:7)	1,2,3,4	-
pair_19_(Solomon 4:7)	1231_(Solomon 4:7),1237_(Solomon 4:7)	1,2,3,4	-
pair_20_(Solomon 4:7)	1245_(Solomon 4:7),1252_(Solomon 4:7)	1,2,3,4	-
pair_21_(Solomon 4:7)	1246_(Solomon 4:7),1236_(Solomon 4:7)	1,2,3,4	-
pair_22_(Solomon 4:7)	1253_(Solomon 4:7),1243_(Solomon 4:7)	1,2,3,4	-
pair_23_(Solomon 4:7)	1239_(Solomon 4:7),1236_(Solomon 4:7)	1,2,3,4	-
pair_24_(Solomon 4:7)	1234_(Solomon 4:7),1233_(Solomon 4:7)	1,2,3,4	-
pair_25_(Solomon 4:7)	1235_(Solomon 4:7),1255_(Solomon 4:7)	1,2,3,4	-
pair_26_(Solomon 4:7)	1238_(Solomon 4:7),1248_(Solomon 4:7)	1,2,3,4	-
pair_27_(Solomon 4:7)	1235_(Solomon 4:7),1254_(Solomon 4:7)	1,2,3,4	-
pair_28_(Solomon 4:7)	1238_(Solomon 4:7),1241_(Solomon 4:7)	1,2,3,4	-
pair_29_(Solomon 4:7)	1230_(Solomon 4:7),1248_(Solomon 4:7)	1,2,3,4	-
pair_30_(Solomon 4:7)	1245_(Solomon 4:7),1254_(Solomon 4:7)	1,2,3,4	-
pair_31_(Solomon 4:7)	1238_(Solomon 4:7),1236_(Solomon 4:7)	1,2,3,4	-
pair_32_(Solomon 4:7)	1246_(Solomon 4:7),1241_(Solomon 4:7)	1,2,3,4	-
pair_33_(Solomon 4:7)	1242_(Solomon 4:7),1241_(Solomon 4:7)	1,2,3,4	-
pair_34_(Solomon 4:7)	1245_(Solomon 4:7),1237_(Solomon 4:7)	1,2,3,4	-
pair_35_(Solomon 4:7)	1238_(Solomon 4:7),1232_(Solomon 4:7)	1,2,3,4	-
pair_36_(Solomon 4:7)	1245_(Solomon 4:7),1243_(Solomon 4:7)	1,2,3,4	-
pair_37_(Solomon 4:7)	1253_(Solomon 4:7),1233_(Solomon 4:7)	1,2,3,4	-
pair_38_(Solomon 4:7)	1231_(Solomon 4:7),1255_(Solomon 4:7)	1,2,3,4	-
